,0,1,2,3,4,5
0,0.00585,0.1427,0.12034,0.39493,7e-05,0.38652
1,0.01597,0.28667,0.00839,0.02962,0.40016,0.04906
2,0.98679,0.00675,0.33966,0.42058,0.2611,0.00883
3,0.14832,0.00016,0.28199,0.01864,0.0219,0.14599
4,0.75658,0.11082,0.42584,0.04754,0.0018,0.37031
5,0.88782,0.03791,0.47907,0.3101,0.00163,0.39208
6,0.97042,0.38264,0.15589,0.31798,0.00113,0.36554
7,0.90404,0.3385,0.47477,0.2895,0.02353,0.26402
8,0.26754,0.35137,0.30334,0.2472,0.44313,0.19813
9,1.00001,0.42169,0.08717,0.01233,0.08822,1e-05
10,1.00001,0.01391,0.05065,0.00558,0.01664,2e-05
11,2e-05,0.04691,0.15998,0.00143,0.23901,1e-05
12,0.00566,0.26863,0.14151,0.00027,0.01236,1e-05
13,0.9581,0.00196,0.24654,0.03952,0.48619,0.0005
14,0.00019,0.05643,0.28104,0.01045,0.49787,1e-05
15,0.32013,0.40873,0.03421,0.07813,0.41345,0.12244
16,0.46555,0.00234,0.10186,0.39905,0.04616,0.00389
17,0.7498,0.01348,0.38372,0.16019,0.15636,0.0372
18,0.97262,0.30309,0.16676,0.20302,0.00932,0.02635
19,0.41248,0.30737,0.008,0.09304,0.16111,0.27905
20,0.57681,0.04801,0.33297,0.10415,0.02809,0.31552
21,0.89009,0.35687,0.43118,0.33032,0.06766,0.37419
22,0.95997,0.22168,0.23623,0.3604,0.01956,0.15106
23,0.75764,0.12744,0.40786,0.10695,0.007,0.42935
24,0.89497,0.33564,0.25722,0.21447,0.00323,0.47018
25,0.14163,0.04673,0.41187,0.00362,0.01334,0.03262
26,0.41846,0.28556,0.40256,0.33526,0.21925,0.13133
27,0.86753,0.21457,0.30192,0.10521,0.06003,0.0465
28,0.04097,0.36918,0.08634,0.21715,0.00063,0.32745
29,0.31652,0.01026,0.32453,0.30316,0.13203,0.00163
30,0.58665,0.00042,0.30201,0.34154,0.43409,0.05234
31,0.65187,0.12626,0.15403,0.26783,0.00881,0.20081
32,0.14045,0.4165,0.26537,0.07889,0.35665,0.16375
33,0.53766,0.01798,0.16265,0.01073,0.02576,0.20276
34,0.53865,0.33095,0.2739,0.04563,0.3724,0.05013
35,0.94941,0.30261,0.39951,0.0867,0.00262,0.15538
36,0.98681,0.2105,0.47024,0.39011,0.02711,0.03153
37,0.59177,0.18479,0.37297,0.45693,0.29266,0.44031
38,0.03551,0.25336,0.03486,0.00247,0.17705,0.03428
39,0.02687,0.12437,0.01201,0.02312,0.21092,0.05027
40,0.98909,0.154,0.42024,0.01268,0.0346,0.47044
41,0.11097,0.38356,0.308,0.11643,0.30935,0.15817
42,0.01451,1e-05,0.28849,0.00061,0.00312,0.02875
43,3e-05,0.03375,0.45703,0.00408,0.01057,1e-05
44,0.17458,0.35097,0.1842,0.43576,0.47781,0.06624
45,0.9377,0.43544,0.21825,0.48548,0.0011,0.26728
46,0.96362,8e-05,0.48754,0.06297,0.13029,0.0198
47,0.00026,0.00023,0.27636,0.46167,0.10708,1e-05
48,1.00001,0.00579,0.32088,0.02467,0.33298,1e-05
49,0.99994,0.02587,0.23582,0.44571,0.05338,1e-05
50,1e-05,0.11938,0.46707,0.00347,0.0145,1e-05
51,1e-05,0.24137,0.34788,0.00076,0.00732,1e-05
52,0.99993,0.16014,0.49416,0.0134,0.36621,2e-05
53,2e-05,0.13255,0.0302,0.18074,0.09638,1e-05
54,0.93938,0.02226,0.37784,0.31276,0.01189,2e-05
55,0.26795,0.21819,0.08728,0.34996,0.01163,0.00309
56,0.07008,0.00428,0.24963,0.00882,0.00706,0.00705
57,0.79526,3e-05,0.48097,0.35356,0.00955,0.29655
58,0.99793,1e-05,0.0491,0.14436,0.32715,0.00265
59,0.01141,0.21654,0.48498,0.16073,0.36547,1e-05
60,0.00162,0.37629,0.04609,0.28923,0.12315,1e-05
61,1.0,0.15835,0.41951,0.44621,0.01264,1e-05
62,0.99988,0.13668,0.48563,0.24957,0.18181,1e-05
63,0.02448,0.16575,0.0395,0.21883,0.34772,1e-05
64,1.00001,0.47962,0.49379,0.26741,0.14766,1e-05
65,0.99291,0.05903,0.01537,0.29473,0.01565,0.04447
66,0.77504,0.15191,0.07927,0.37354,0.12914,0.23531
67,0.4574,0.00097,0.1206,0.2353,0.00479,0.12679
68,0.99956,0.33615,0.20987,0.09881,0.12966,8e-05
69,0.77118,0.49905,0.09176,0.36898,0.00961,0.24295
70,0.90236,0.46908,0.06355,0.07371,0.0035,0.07387
71,0.83547,0.0032,0.38679,0.34868,0.00925,0.33163
72,0.99503,0.20809,0.40637,0.24131,0.00019,0.11334
73,0.73678,0.35338,0.02503,0.44559,0.01298,0.30429
74,0.92657,0.01114,0.12246,0.29759,0.10862,0.02132
75,0.99027,0.33927,0.49766,0.3638,0.00503,0.21556
76,0.8621,0.13248,0.44441,0.42308,0.00623,0.34106
77,0.98707,0.29002,0.48633,0.1433,0.09125,0.0009
78,0.99272,0.47289,0.20519,0.01261,0.00922,0.43572
79,0.98746,0.12483,0.16901,0.00215,0.01872,0.44665
80,0.03328,0.31911,0.13765,0.0143,0.05535,0.17291
81,0.8695,0.44885,0.09408,0.40772,0.44684,0.04766
82,0.77132,0.18578,0.17967,0.34892,0.00534,0.08688
83,0.61655,0.36648,0.07142,0.38018,0.12517,0.10237
84,0.79037,0.40946,0.15889,0.34161,0.02807,0.49078
85,0.98356,0.24529,0.27801,0.42541,0.04619,0.04387
86,1e-05,0.29806,0.01955,0.22904,0.0163,1e-05
87,0.17332,0.42834,0.07708,0.31739,0.316,0.38473
88,0.99722,0.45282,0.03021,0.17685,0.03688,0.00162
89,0.99632,0.46582,0.20956,0.17824,0.01152,0.00079
90,0.32661,0.04809,0.47044,0.15924,0.46923,0.14371
91,0.99985,0.26013,0.30352,0.41393,0.00087,0.00064
92,0.25172,2e-05,0.27778,0.00773,3e-05,0.01894
93,0.99999,0.04778,0.21209,0.01778,0.07447,0.00024
94,1.00001,0.06443,0.14933,0.00244,0.04213,8e-05
95,1e-05,1e-05,0.25158,0.00193,0.21832,1e-05
96,1e-05,0.00196,0.0737,0.01364,0.43427,5e-05
97,0.99729,0.03497,0.35588,0.08992,0.27633,0.00557
98,3e-05,0.00106,0.28602,0.0299,0.24489,1e-05
99,0.48591,0.49109,0.34789,0.30501,0.08659,0.01065
100,0.25676,0.00197,0.42944,0.31185,0.00022,4e-05
101,0.98128,0.29583,0.27184,0.20457,0.00338,0.12066
