,0,1,2,3,4,5,6
0,0.9303,0.0008,0.1042,0.2549,0.0003,0.0356,0.0001
1,0.9473,0.269,0.5215,0.2405,0.5437,0.0096,0.2237
2,0.0001,0.2851,0.0019,0.0965,0.5248,0.1556,0.0001
3,0.9862,0.1458,0.0226,0.3211,0.0141,0.2936,0.0001
4,0.9787,0.3777,0.0194,0.2144,0.0085,0.0878,0.0057
5,0.0001,0.1659,0.0001,0.0733,0.0302,0.1578,0.0305
6,0.0012,0.2322,0.02,0.471,0.0004,0.4999,0.0077
7,0.5453,0.0431,0.2271,0.2151,0.0083,0.269,0.1949
8,0.3308,0.0006,0.0118,0.0453,0.0001,0.2168,0.1727
9,0.1677,0.2551,0.0025,0.0139,0.0442,0.1104,0.196
10,0.0029,0.0006,0.4928,0.2049,0.0131,0.0943,0.4056
11,0.0571,0.0001,0.0719,0.449,0.0004,0.0024,0.1302
12,0.8253,0.0001,0.4267,0.0623,0.1419,0.35,0.1618
13,0.0002,0.0034,0.0562,0.4541,0.1412,0.0421,0.0098
14,0.0001,0.0064,0.0651,0.232,0.2827,0.0088,0.3508
15,0.0001,0.209,0.4002,0.173,0.0895,0.0368,0.213
16,0.0001,0.0694,0.0122,0.2503,0.0533,0.435,0.1871
17,0.0001,0.0035,0.0648,0.0218,0.0309,0.0004,0.3727
18,0.0001,0.0669,0.3914,0.0597,0.1881,0.456,0.2134
19,0.0001,0.4803,0.0384,0.0108,0.017,0.1316,0.0001
20,0.0006,0.4062,0.0259,0.0114,0.3972,0.0349,0.0001
21,0.021,0.0651,0.2024,0.0042,0.2037,0.0098,0.3744
22,0.0012,0.0092,0.0041,0.3773,0.0183,0.0143,0.0189
23,0.9749,0.1272,0.07,0.1282,0.641,0.0046,0.0289
24,0.0001,0.0038,0.3073,0.05,0.046,0.0708,0.0001
25,0.8664,0.2679,0.0076,0.3306,0.1476,0.1009,0.0001
26,0.5588,0.0733,0.2111,0.0949,0.0001,0.0138,0.0001
27,0.0757,0.0915,0.177,0.3697,0.0001,0.01,0.0001
28,0.4912,0.0223,0.4592,0.3942,0.0001,0.0135,0.0001
29,0.8924,0.0122,0.5191,0.3649,0.0002,0.4306,0.0001
30,0.9856,0.0873,0.4449,0.4075,0.3988,0.0018,0.2578
31,0.0001,0.0912,0.0032,0.011,0.0001,0.0004,0.0451
32,0.895,0.2898,0.3825,0.3312,0.5546,0.0001,0.1477
33,0.8532,0.0882,0.1308,0.0302,0.0165,0.3579,0.2719
34,0.928,0.0131,0.2239,0.3386,0.5825,0.0015,0.3761
35,0.0008,0.0001,0.0618,0.1126,0.0836,0.0014,0.0001
36,0.0126,0.0013,0.338,0.2292,0.0105,0.0002,0.0001
37,0.6007,0.0008,0.2875,0.007,0.0001,0.001,0.0001
38,0.0001,0.0001,0.1212,0.0052,0.3802,0.0005,0.0001
39,0.0156,0.0022,0.2489,0.1133,0.0207,0.3456,0.0001
