,Totpval,Medpval,Dirpval,Sumpval,SobelTpval
0,0.0109,0.0105,0.0069,0.0115,0.0105
1,0.1719,0.0,0.2893,0.1671,0.0
2,0.0018,0.0,0.004,0.0018,0.0
3,0.0966,0.0,0.0457,0.0966,0.0
4,0.2297,0.0,0.3354,0.2281,0.0
5,0.0009,0.0008,0.0015,0.0008,0.0008
6,0.0174,0.0,0.0426,0.017,0.0
7,0.0028,0.0045,0.0046,0.0025,0.0045
8,0.0104,0.001,0.0162,0.0099,0.001
9,0.0527,0.0,0.0159,0.053,0.0
10,0.0001,0.0219,0.0001,0.0001,0.0219
11,0.0004,0.0,0.0002,0.0004,0.0
12,0.0216,0.0,0.0061,0.0228,0.0
13,0.0914,0.0,0.0481,0.0925,0.0
14,0.2262,0.0,0.0764,0.2287,0.0
15,0.3522,0.0,0.159,0.3538,0.0
16,0.3059,0.0,0.212,0.3068,0.0
17,0.2524,0.0,0.0933,0.2525,0.0
18,0.0184,0.0,0.0077,0.0189,0.0
19,0.2917,0.0031,0.3613,0.2879,0.0031
20,0.0008,0.0051,0.0016,0.0008,0.0051
21,0.0,0.0028,0.0,0.0,0.0028
22,0.1383,0.0,0.2469,0.135,0.0
23,0.4755,0.0,0.2971,0.4834,0.0
24,0.0337,0.0,0.0776,0.0321,0.0
25,0.2768,0.0,0.1691,0.2823,0.0
26,0.0873,0.0,0.1553,0.0859,0.0
27,0.2699,0.0,0.4313,0.2685,0.0
28,0.4577,0.0001,0.4304,0.4533,0.0001
29,0.4273,0.001,0.3421,0.4332,0.001
30,0.0814,0.0,0.1658,0.0806,0.0
31,0.265,0.001,0.3359,0.2608,0.001
32,0.3081,0.0005,0.3904,0.2988,0.0005
33,0.0678,0.0006,0.1043,0.0659,0.0006
34,0.0,0.0246,0.0,0.0,0.0246
35,0.1382,0.0002,0.093,0.1383,0.0002
36,0.211,0.0,0.142,0.2137,0.0
37,0.0,0.0,0.0,0.0,0.0
38,0.0087,0.0,0.0043,0.0093,0.0
39,0.0704,0.0054,0.0484,0.0721,0.0054
40,0.0021,0.0,0.0006,0.0023,0.0
41,0.4581,0.0086,0.3942,0.4625,0.0086
42,0.0005,0.0,0.0002,0.0005,0.0
43,0.1564,0.0,0.0898,0.159,0.0
44,0.0,0.0113,0.0,0.0,0.0113
45,0.0,0.0028,0.0,0.0,0.0028
46,0.0,0.0016,0.0,0.0,0.0016
47,0.0,0.0013,0.0,0.0,0.0012
48,0.0,0.0033,0.0,0.0,0.0033
49,0.0119,0.0056,0.008,0.0128,0.0056
