,DoB_year
1,27
2,42
3,28
4,41
6,44
7,32
8,42
9,35
10,47
14,35
15,28
16,23
17,32
21,55
22,30
23,43
24,40
25,31
26,43
27,51
29,38
31,33
32,47
33,35
34,50
35,30
37,28
39,27
41,70
42,25
43,60
45,43
46,62
47,23
48,61
49,32
50,27
51,34
52,38
55,47
56,71
57,36
58,31
59,27
60,31
62,50
63,22
66,37
67,59
68,39
69,36
70,41
71,39
72,40
73,26
74,41
75,43
76,21
77,32
79,50
82,18
83,25
84,39
85,55
86,31
87,44
88,51
89,29
90,51
91,47
92,49
93,39
94,38
95,33
96,40
97,35
99,30
100,57
101,55
102,65
104,45
105,34
106,47
107,31
108,28
109,55
111,73
112,32
113,53
114,57
115,66
117,59
118,43
119,23
120,39
121,38
122,52
123,25
124,59
125,25
127,54
128,28
130,40
131,33
132,34
133,24
134,41
135,50
136,38
137,47
138,30
139,55
140,39
141,54
142,42
143,41
144,31
146,57
147,28
149,45
151,50
152,45
153,46
155,41
156,33
157,46
159,21
160,48
162,32
164,33
165,32
166,58
167,35
168,32
169,70
170,58
171,62
174,48
175,23
176,36
177,46
178,50
180,44
181,26
183,50
184,41
185,26
186,24
187,38
188,31
189,31
190,24
191,34
193,24
194,20
195,24
196,25
197,24
198,24
199,40
200,33
201,24
202,42
203,34
204,27
205,25
206,27
207,24
208,34
209,47
210,51
211,23
214,25
215,31
216,40
217,50
218,37
219,24
220,33
221,33
222,22
223,34
224,26
226,26
227,35
228,33
229,39
230,28
233,31
235,28
236,43
237,24
238,29
239,23
240,37
241,41
243,48
244,31
245,24
246,53
247,38
248,22
249,40
250,37
251,34
252,27
253,35
254,29
255,30
256,41
257,34
258,57
259,30
260,48
261,32
263,37
264,26
265,60
266,26
268,39
269,39
270,39
273,27
278,27
279,52
280,34
281,44
283,24
285,25
286,55
287,29
288,43
289,32
290,27
291,37
292,47
293,25
294,43
295,55
296,50
297,28
299,35
300,36
301,25
302,24
303,39
304,24
305,38
307,42
308,33
309,30
310,34
311,27
312,20
313,22
314,29
315,28
317,38
318,21
319,57
320,31
321,26
322,39
324,38
325,23
327,23
329,25
330,43
331,39
332,44
334,24
335,23
336,36
338,33
339,60
340,42
341,63
342,39
343,64
344,39
345,35
346,30
347,54
348,28
349,29
350,42
351,28
352,39
353,31
355,25
356,44
357,37
358,26
359,40
360,23
362,39
363,38
364,39
365,18
366,29
367,61
368,72
369,30
374,35
376,32
377,24
379,72
380,45
381,28
382,31
383,34
384,50
386,24
387,33
388,26
389,23
390,24
391,55
392,65
393,69
394,36
396,33
397,26
398,41
399,33
400,27
401,33
402,29
403,41
404,30
405,32
407,32
408,26
409,40
410,42
411,23
412,47
413,30
415,51
416,49
417,29
419,22
420,19
422,32
429,29
432,37
433,30
434,43
435,40
436,45
438,18
439,26
440,27
442,26
443,26
444,26
445,35
447,41
448,64
449,36
450,39
451,19
454,31
456,48
457,47
458,29
459,28
460,40
461,40
462,27
463,64
464,48
465,31
466,53
467,27
468,49
469,31
471,20
472,30
473,21
474,28
475,28
476,35
477,24
478,25
479,47
480,35
481,55
482,35
483,23
484,48
485,30
487,61
488,25
489,32
490,40
491,37
492,66
493,36
494,40
496,53
498,25
499,37
501,28
502,41
503,19
504,39
505,43
506,42
507,20
508,23
509,36
510,35
512,35
513,58
514,56
515,32
516,25
517,48
519,24
520,31
521,55
523,20
524,22
525,25
526,40
527,33
528,61
529,71
530,38
531,24
532,28
533,30
534,47
535,28
538,54
539,44
540,35
541,24
542,54
543,40
544,27
545,39
546,26
547,24
548,42
550,37
551,43
552,27
553,55
554,53
555,25
556,29
557,65
558,31
559,36
561,24
562,34
563,18
565,43
566,38
567,65
568,34
569,42
570,28
571,29
572,26
573,40
574,43
576,38
577,31
578,31
580,41
583,46
585,44
586,32
587,63
588,22
589,40
590,28
591,27
593,41
594,52
596,58
598,26
