,partEdu
1,Bachelor's degree (4 years of college)
2,Bachelor's degree (4 years of college)
3,Bachelor's degree (4 years of college)
4,Some college
6,Bachelor's degree (4 years of college)
7,Master's degree
8,Bachelor's degree (4 years of college)
9,Bachelor's degree (4 years of college)
10,Bachelor's degree (4 years of college)
14,Some college
15,Bachelor's degree (4 years of college)
16,Bachelor's degree (4 years of college)
17,Highschool degree
21,Highschool degree
22,Associate's degree (2 years of college)
23,Bachelor's degree (4 years of college)
24,Highschool degree
25,Some college
26,Highschool degree
27,Some college
29,Master's degree
31,Highschool degree
32,Master's degree
33,Highschool degree
34,Bachelor's degree (4 years of college)
35,Bachelor's degree (4 years of college)
37,Master's degree
39,Some college
41,Associate's degree (2 years of college)
42,Bachelor's degree (4 years of college)
43,Bachelor's degree (4 years of college)
45,Some college
46,Bachelor's degree (4 years of college)
47,Some college
48,Bachelor's degree (4 years of college)
49,Bachelor's degree (4 years of college)
50,Master's degree
51,Some college
52,Highschool degree
55,Master's degree
56,Bachelor's degree (4 years of college)
57,Bachelor's degree (4 years of college)
58,Highschool degree
59,Bachelor's degree (4 years of college)
60,Bachelor's degree (4 years of college)
62,Bachelor's degree (4 years of college)
63,Bachelor's degree (4 years of college)
66,Bachelor's degree (4 years of college)
67,Some college
68,Bachelor's degree (4 years of college)
69,Some college
70,Bachelor's degree (4 years of college)
71,Some college
72,Associate's degree (2 years of college)
73,Bachelor's degree (4 years of college)
74,Master's degree
75,Bachelor's degree (4 years of college)
76,Highschool degree
77,Associate's degree (2 years of college)
79,Associate's degree (2 years of college)
82,Bachelor's degree (4 years of college)
83,Bachelor's degree (4 years of college)
84,Master's degree
85,Bachelor's degree (4 years of college)
86,Bachelor's degree (4 years of college)
87,Bachelor's degree (4 years of college)
88,Bachelor's degree (4 years of college)
89,Bachelor's degree (4 years of college)
90,Some college
91,Master's degree
92,Highschool degree
93,Bachelor's degree (4 years of college)
94,Associate's degree (2 years of college)
95,Master's degree
96,Some college
97,Some college
99,Bachelor's degree (4 years of college)
100,Master's degree
101,Bachelor's degree (4 years of college)
102,Associate's degree (2 years of college)
104,Bachelor's degree (4 years of college)
105,Associate's degree (2 years of college)
106,Bachelor's degree (4 years of college)
107,Some college
108,Bachelor's degree (4 years of college)
109,Highschool degree
111,Some college
112,Associate's degree (2 years of college)
113,Bachelor's degree (4 years of college)
114,Doctoral degree
115,Some college
117,Highschool degree
118,Associate's degree (2 years of college)
119,Some college
120,Master's degree
121,Some college
122,Some college
123,Bachelor's degree (4 years of college)
124,Bachelor's degree (4 years of college)
125,Bachelor's degree (4 years of college)
127,Bachelor's degree (4 years of college)
128,Doctoral degree
130,Bachelor's degree (4 years of college)
131,Bachelor's degree (4 years of college)
132,Bachelor's degree (4 years of college)
133,Bachelor's degree (4 years of college)
134,Bachelor's degree (4 years of college)
135,Bachelor's degree (4 years of college)
136,Master's degree
137,Bachelor's degree (4 years of college)
138,Highschool degree
139,Some college
140,Bachelor's degree (4 years of college)
141,Bachelor's degree (4 years of college)
142,Bachelor's degree (4 years of college)
143,Master's degree
144,Bachelor's degree (4 years of college)
146,Bachelor's degree (4 years of college)
147,Highschool degree
149,Associate's degree (2 years of college)
151,Highschool degree
152,Some college
153,Highschool degree
155,Associate's degree (2 years of college)
156,Master's degree
157,Bachelor's degree (4 years of college)
159,Associate's degree (2 years of college)
160,Bachelor's degree (4 years of college)
162,Highschool degree
164,Bachelor's degree (4 years of college)
165,Bachelor's degree (4 years of college)
166,Master's degree
167,Bachelor's degree (4 years of college)
168,Highschool degree
169,Some college
170,Master's degree
171,Associate's degree (2 years of college)
174,Bachelor's degree (4 years of college)
175,Associate's degree (2 years of college)
176,Doctoral degree
177,Some college
178,Highschool degree
180,Some college
181,Bachelor's degree (4 years of college)
183,Highschool degree
184,Master's degree
185,Master's degree
186,Bachelor's degree (4 years of college)
187,Highschool degree
188,Highschool degree
189,Highschool degree
190,Bachelor's degree (4 years of college)
191,Bachelor's degree (4 years of college)
193,Bachelor's degree (4 years of college)
194,Bachelor's degree (4 years of college)
195,Bachelor's degree (4 years of college)
196,Bachelor's degree (4 years of college)
197,Bachelor's degree (4 years of college)
