,partIncome
1,3
2,1
3,1
4,3
6,3
7,4
8,4
9,4
10,4
14,1
15,4
16,2
17,1
21,2
22,4
23,3
24,1
25,3
26,2
27,3
29,2
31,0
32,3
33,2
34,4
35,3
37,2
39,0
41,2
42,3
43,0
45,3
46,4
47,2
48,4
49,2
50,3
51,2
52,1
55,4
56,3
57,3
58,0
59,3
60,0
62,4
63,3
66,4
67,2
68,3
69,2
70,2
71,0
72,0
73,3
74,4
75,4
76,2
77,1
79,1
82,4
83,4
84,4
85,3
86,3
87,3
88,4
89,4
90,2
91,4
92,3
93,2
94,3
95,4
96,3
97,3
99,3
100,0
101,3
102,2
104,4
105,3
106,3
107,2
108,2
109,3
111,3
112,1
113,1
114,4
115,2
117,3
118,3
119,1
120,0
121,3
122,4
123,4
124,3
125,2
127,4
128,4
130,4
131,3
132,3
133,3
134,3
135,4
136,4
137,4
138,0
139,2
140,4
141,4
142,1
143,3
144,2
146,3
147,1
149,3
151,2
152,3
153,3
155,3
156,4
157,3
159,2
160,1
162,3
164,3
165,3
166,2
167,2
168,0
169,2
170,4
171,3
174,4
175,0
176,4
177,3
178,3
180,4
181,2
183,3
184,1
185,3
186,2
187,3
188,3
189,3
190,4
191,4
193,3
194,3
195,4
196,3
197,3
198,2
199,2
200,2
201,3
202,4
203,1
204,3
205,4
206,3
207,3
208,1
209,4
210,2
211,3
214,4
215,4
216,4
217,4
218,2
219,0
220,3
221,4
222,2
223,3
224,4
226,3
227,4
228,4
229,3
230,3
233,4
235,3
236,2
237,4
238,3
239,2
240,1
241,3
243,2
244,4
245,3
246,4
247,2
248,3
249,0
250,1
251,3
252,4
253,4
254,2
255,4
256,3
257,0
258,0
259,3
260,4
261,4
263,4
264,2
265,4
266,4
268,3
269,3
270,3
273,3
278,1
279,4
280,3
281,3
283,3
285,2
286,3
287,2
288,4
289,4
290,0
291,0
292,0
293,3
294,2
295,3
296,4
297,3
299,4
300,4
301,0
302,2
303,3
304,3
305,4
307,2
308,2
309,2
310,2
311,2
312,0
313,2
314,3
315,3
317,2
318,2
319,4
320,2
321,2
322,0
324,2
325,0
327,2
329,4
330,3
331,2
332,1
334,0
335,3
336,1
338,2
339,3
340,4
341,2
342,2
343,0
344,3
345,3
346,4
347,3
348,0
349,3
350,2
351,3
352,2
353,1
355,3
356,3
357,4
358,3
359,0
360,3
362,3
363,1
364,3
365,4
366,2
367,2
368,3
369,3
374,0
376,3
377,3
379,1
380,2
381,4
382,2
383,3
384,2
386,3
387,2
388,1
389,3
390,3
391,4
392,2
393,2
394,2
396,3
397,3
398,3
399,3
400,4
401,3
402,3
403,2
404,4
405,4
407,4
408,4
409,0
410,3
411,2
412,2
413,3
415,3
416,4
417,2
419,2
420,0
422,2
429,2
432,2
433,3
434,3
435,2
436,4
438,0
439,4
440,2
442,3
443,3
444,3
445,0
447,4
448,1
449,2
450,3
451,0
454,2
456,4
457,4
458,4
459,2
460,3
461,4
462,3
463,4
464,2
465,3
466,4
467,3
468,0
469,3
471,0
472,3
473,1
474,1
475,0
476,4
477,3
478,3
479,1
480,3
481,2
482,2
483,3
484,2
485,3
487,4
488,3
489,2
490,3
491,1
492,1
493,4
494,3
496,2
498,3
499,3
501,2
502,2
503,0
504,3
505,0
506,3
507,0
508,3
509,3
510,3
512,4
513,3
514,2
515,3
516,3
517,3
519,3
520,3
521,3
523,4
524,2
525,2
526,2
527,4
528,2
529,3
530,4
531,4
532,3
533,4
534,1
535,2
538,3
539,3
540,3
541,0
542,4
543,3
544,1
545,0
546,3
547,3
548,2
550,2
551,4
552,0
553,2
554,2
555,0
556,3
557,3
558,0
559,2
561,3
562,4
563,0
565,0
566,4
567,1
568,3
569,0
570,0
571,1
572,4
573,3
574,2
576,3
577,4
578,4
580,4
583,4
585,2
586,1
587,4
588,3
589,1
590,3
591,3
593,2
594,3
596,3
598,2
