,Average
1,-0.37666666666666665
2,-2
3,4.4399999999999995
4,5
6,-2.703333333333333
7,-1.8999999999999997
8,-1.75
9,-1.65
10,-1.3
14,-4.5
15,0.8399999999999999
16,-0.6766666666666667
17,0.12666666666666657
21,-1.0999999999999999
22,-0.8
23,-2.236666666666667
24,-1.8
25,-2.1333333333333333
26,-1.55
27,-1.65
29,-3
31,-1.3599999999999999
32,1.29
33,-1.8
34,4.626666666666666
35,3.88
37,-1.5
39,-1.71
41,4.4399999999999995
42,-2.2
43,5
45,-2.3366666666666664
46,-2.47
47,1.29
48,3.88
49,0.8399999999999999
50,0.8399999999999999
51,-0.4166666666666667
52,-2.955
55,-2.855
56,-2.57
57,-1.6
58,-2.85
59,-2.2
60,-2.505
62,-3.71
63,-1.3
66,-2.4033333333333333
67,-2.2
68,1.29
69,-2.703333333333333
70,-1.3
71,-1.3
72,0.3
73,-1.65
74,-3.71
75,5
76,-2.4
77,-0.10000000000000009
79,-1.7666666666666666
82,3.88
83,-1.75
84,-1.65
85,3.88
86,0.22000000000000006
87,-1.3
88,1.29
89,-1.0999999999999999
90,-3.71
91,-1.65
92,2.93
93,-1.3
94,-2
95,-0.6766666666666667
96,-1.05
97,-1.095
99,-1.8333333333333333
100,-1.7066666666666668
101,-1.3
102,2.4866666666666664
104,-0.75
105,-2.505
106,-1.4666666666666668
107,0.36000000000000004
108,-1.64
109,4.5
111,-3.855
112,-0.4666666666666666
113,-2.2
114,1.8399999999999999
115,-0.2
117,-0.89
118,-1.4
119,-1.75
120,3.88
121,1.0866666666666667
122,3.88
123,-1.3
124,-2
125,-1.75
127,0.6
128,-1.64
130,-1.4066666666666665
131,3.075
132,-2.2
133,1.29
134,-4.355
135,0.7933333333333333
136,-0.37666666666666665
137,-1.9
138,-1.05
139,3.05
140,-2.2
141,-2.2
142,-2.4
143,-2.4033333333333333
144,0.12666666666666662
146,0.94
147,-1.1
149,3.465
151,3.88
152,-1.5
153,1.94
155,-1.4633333333333336
156,-1.65
157,1.94
159,-2.4033333333333333
160,-1.095
162,-2.2
164,1.29
165,-1.67
166,-1.25
167,-1.75
168,1.29
169,3.465
170,-1.4
171,-1.2333333333333334
174,-1.3
175,-1.33
176,-1.05
177,-1
178,-2.4633333333333334
180,0.12666666666666657
181,1.29
183,-1.3599999999999999
184,-2.1333333333333333
185,-1.2733333333333334
186,0.8399999999999999
187,-2.505
188,0.35999999999999993
189,3.88
190,-1.75
191,-1.75
193,0.5933333333333333
194,0.12666666666666662
195,0.5933333333333334
196,-2.4033333333333333
197,3.88
198,-2.2
199,1.29
200,-2.2
201,0.5933333333333334
202,-1.7000000000000002
203,-2.2
204,-1.75
205,0.12666666666666657
206,-1.75
207,1.29
208,-1.3
209,-1.8333333333333333
210,1.29
211,-2.2
214,-1.2966666666666666
215,0.12666666666666662
216,-2.143333333333333
217,3.88
218,-2.47
219,1.29
220,0.12666666666666662
221,-3.71
222,0.12666666666666662
223,-1.75
224,-0.37666666666666665
226,0.8399999999999999
227,-0.37666666666666665
228,-1.3
229,3.88
230,1.29
233,-3.71
235,-1.5999999999999999
236,-2.505
237,3.88
238,1.29
239,-1.3
240,0
241,0.5599999999999999
243,-2.505
244,5
245,1.29
246,-3.71
247,-2.27
248,3.88
249,-2
250,0.3866666666666667
251,-1.67
252,-1.81
253,-1.75
254,0.12666666666666662
255,0.09333333333333342
256,-2.4033333333333333
257,1.23
258,0.31000000000000005
259,-3.71
260,1.29
261,1.29
263,-0.86
264,-2.143333333333333
265,-1.3599999999999999
266,-2.4033333333333333
268,1.29
269,-2.855
270,0
273,-2.2
278,-2.5
279,-1.8333333333333333
280,-2.143333333333333
281,-1.5733333333333333
283,1.29
285,0.8399999999999999
286,-0.37666666666666665
287,-2.2
288,-1.55
289,-1.3
290,-1.3
291,0
292,-1.5
293,-1.75
294,-2.2
295,0.36000000000000004
296,1.29
297,3.88
299,-3.71
300,-0.75
301,0
302,-1.3
303,1.29
304,-2.103333333333333
305,-1.8733333333333333
307,0.22000000000000006
308,-1.095
309,-1.3
310,-1.75
311,1.29
312,3.88
313,-1.3
314,0.12666666666666657
315,0.12666666666666662
317,2.1933333333333334
318,0.12666666666666662
319,3.425
320,-1.75
321,-1.81
322,-1.75
324,-1.5
325,0.26
327,3.88
329,-1.3
330,1.23
331,0.8399999999999999
332,3.88
334,-1.85
335,-1.3
336,0.36000000000000004
338,-1.5
339,-2.955
340,-1.4
341,-1.366666666666667
342,1.29
343,5
344,3.88
345,-2.17
346,-1.3
347,-2.4033333333333333
348,-2.955
349,0.12666666666666662
350,-1.5333333333333332
351,-1.4000000000000001
352,-1.3
353,-0.37666666666666665
355,-1.75
356,-1.3
357,-2.2
358,-1.8333333333333333
359,1.29
360,-2.2
362,-1.5999999999999999
363,3.88
364,-2.103333333333333
365,-0.8
366,-1.3599999999999999
367,-5
368,-2.703333333333333
369,3.88
374,-2.505
376,-1.3
377,1.29
379,-1.64
380,-2.505
381,-1.75
382,0.12666666666666662
383,-1.05
384,2.1933333333333334
386,-1.3
387,1.29
388,-1.5
389,0.12666666666666657
390,0.12666666666666657
391,-1.9666666666666668
392,3.465
393,-2.0366666666666666
394,-0.75
396,-0.44333333333333336
397,0.12666666666666662
398,-1.4
399,-0.9
400,0.5933333333333334
401,-1.9666666666666668
402,0.12666666666666662
403,-1.2333333333333334
404,-1.3
405,-1.2666666666666666
407,-2.2
408,-2.2
409,-1.3
410,-1.3
411,0.8999999999999999
412,1.29
413,-2.1333333333333333
415,4.4399999999999995
416,-1.5733333333333333
417,0.12666666666666662
419,3.88
420,-2.2
422,-2.505
429,0.9833333333333334
432,3.88
433,0.8399999999999999
434,-1.3
435,-1.5733333333333333
436,-1.5333333333333332
438,0.12666666666666662
439,1.29
440,-1.75
442,0.12666666666666662
443,0.12666666666666662
444,0.12666666666666657
445,-0.9066666666666666
447,-1.9000000000000001
448,0.19333333333333327
449,3.075
450,-0.89
451,1.29
454,-2.4033333333333333
456,-1.5733333333333333
457,-1.85
458,-2.565
459,-2.2
460,1.29
461,4.4399999999999995
462,-2.505
463,-2
464,0.8399999999999999
465,-1.71
466,-1.445
467,-1.75
468,-1.9000000000000001
469,0.8399999999999999
471,1.29
472,-1.75
473,-1.75
474,-1.3
475,3.88
476,-1.3
477,-0.89
478,-1.75
479,-3.71
480,-1.1733333333333331
481,2.94
482,-0.17333333333333348
483,1.29
484,-1.65
485,-1.6000000000000003
487,0.36000000000000004
488,1.29
489,0.8399999999999999
490,-1.3
491,-0.9966666666666667
492,-1.61
493,-1.8333333333333333
494,-2.505
496,-0.37666666666666665
498,-1.75
499,-1.5066666666666666
501,1.29
502,-1.3599999999999999
503,-2.2
504,0.3866666666666667
505,-1.5
506,-0.75
507,0.49333333333333335
508,-0.75
509,-2.4433333333333334
510,-1.3
512,-2.2
513,-1.64
514,0.12666666666666662
515,-3.71
516,-2.1033333333333335
517,-2.27
519,-0.37666666666666665
520,-1.3
521,-1.75
523,0.12666666666666662
524,1.29
525,-1.75
526,-1.2333333333333334
527,-1.42
528,-1.2000000000000002
529,-1.5733333333333333
530,-1.3
531,-2.2
532,0.5933333333333334
533,-2.2
534,-1.3
535,0.5933333333333333
538,0.79
539,-2
540,-1.3
541,-0.3766666666666667
542,1.0633333333333332
543,-1.45
544,1.29
545,-1.5333333333333332
546,-0.5
547,-1.75
548,-1.3
550,-2
551,-1.2300000000000002
552,-1.2000000000000002
553,-1.3599999999999999
554,-2.2
555,-1.3
556,1.29
557,-2.505
558,-1.9366666666666665
559,-0.37666666666666665
561,-1.2966666666666666
562,-1.3
563,-1.1
565,-1.4333333333333333
566,-1.7333333333333334
567,4.293333333333333
568,-2.2
569,-2.4033333333333333
570,-2.2
571,0.86
572,0.06666666666666672
573,-1.3
574,-1.8333333333333333
576,1.1266666666666667
577,-1.3
578,-1.3
580,-0.65
583,0
585,1.29
586,-1.8333333333333333
587,-0.49000000000000005
588,0.12666666666666662
589,-0.37666666666666665
590,-1.75
591,3.88
593,-1.3
594,-2.505
596,-2.9
598,-1.75
