,Black or African American
1,0
2,0
3,0
4,0
6,0
7,0
8,0
9,0
10,0
14,0
15,0
16,0
17,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
29,0
31,0
32,0
33,0
34,0
35,0
37,0
39,0
41,0
42,0
43,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
55,0
56,0
57,0
58,0
59,0
60,0
62,0
63,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
79,0
82,1
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
99,0
100,0
101,0
102,0
104,0
105,0
106,0
107,0
108,0
109,0
111,0
112,0
113,0
114,0
115,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
127,0
128,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
146,0
147,0
149,0
151,0
152,0
153,0
155,0
156,0
157,0
159,0
160,0
162,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
174,0
175,0
176,0
177,0
178,0
180,0
181,1
183,0
184,1
185,0
186,0
187,1
188,1
189,1
190,1
191,1
193,1
194,1
195,1
196,0
197,1
198,1
199,1
200,0
201,1
202,1
203,1
204,1
205,1
206,1
207,0
208,1
209,0
210,0
211,1
214,0
215,1
216,1
217,1
218,1
219,1
220,0
221,0
222,1
223,1
224,1
226,1
227,1
228,0
229,1
230,1
233,1
235,1
236,1
237,1
238,1
239,0
240,1
241,1
243,1
244,0
245,0
246,1
247,1
248,0
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,0
258,1
259,1
260,1
261,1
263,1
264,1
265,1
266,1
268,1
269,0
270,1
273,1
278,0
279,1
280,1
281,1
283,1
285,0
286,1
287,0
288,1
289,1
290,1
291,1
292,0
293,1
294,0
295,1
296,1
297,1
299,0
300,0
301,1
302,1
303,1
304,1
305,0
307,1
308,0
309,0
310,0
311,0
312,1
313,1
314,0
315,0
317,1
318,1
319,0
320,0
321,1
322,1
324,1
325,1
327,0
329,1
330,1
331,0
332,0
334,1
335,1
336,1
338,0
339,0
340,0
341,0
342,1
343,0
344,0
345,0
346,1
347,0
348,1
349,0
350,0
351,1
352,0
353,0
355,0
356,1
357,1
358,1
359,1
360,1
362,0
363,1
364,1
365,1
366,1
367,0
368,0
369,0
374,1
376,1
377,1
379,1
380,1
381,1
382,0
383,0
384,1
386,0
387,1
388,1
389,1
390,1
391,1
392,0
393,0
394,0
396,0
397,0
398,0
399,0
400,1
401,0
402,0
403,1
404,1
405,0
407,0
408,1
409,0
410,1
411,0
412,1
413,0
415,1
416,1
417,0
419,0
420,0
422,1
429,1
432,0
433,0
434,1
435,0
436,0
438,0
439,1
440,1
442,0
443,1
444,1
445,1
447,0
448,0
449,0
450,0
451,1
454,1
456,1
457,0
458,0
459,0
460,0
461,0
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,0
479,1
480,1
481,1
482,1
483,1
484,1
485,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
496,1
498,1
499,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
512,1
513,0
514,1
515,1
516,1
517,1
519,1
520,1
521,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
561,1
562,1
563,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
576,1
577,1
578,0
580,0
583,0
585,0
586,0
587,0
588,1
589,1
590,1
591,0
593,1
594,1
596,1
598,1
