Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Randomise questionnaire elements?,comf_religion,comf_science,comf_healthcare,comf_community,comf_firefighter,comf_police,comf_gun,comf_immigration,comf_media,comf_voting,OpenEnded,END QUESTIONNAIRE
1,1729268603631,18/10/2024 16:23:23,1729268600070,-4,18/10/2024 12:23:20,187086,12,questionnaire-xwu3,,40749835,zui0ofa3,11889642,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1366x768,1366x607,,,,Purpose/Comfort Exit Questions,3,No,3,5,4,5,5,5,3,2,4,4,I am not really sure,32194
1,1729268620374,18/10/2024 16:23:40,1729268620005,-4,18/10/2024 12:23:40,187086,12,questionnaire-xwu3,,40749848,o4tnluza,11889648,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 129.0.0.0,1600x900,1592x742,,,,Purpose/Comfort Exit Questions,3,No,7,7,7,7,7,7,7,7,7,7,our views on diff things versus our political party,74058
1,1729268642312,18/10/2024 16:24:02,1729268640060,-5,18/10/2024 11:24:00,187086,12,questionnaire-xwu3,,40749870,uuwwuq9a,11889644,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1920x911,,,,Purpose/Comfort Exit Questions,3,No,1,6,5,4,7,2,3,5,3,7,"I'm not too sure, sorry.",39482
1,1729268762653,18/10/2024 16:26:02,1729268762583,-4,18/10/2024 12:26:02,187086,12,questionnaire-xwu3,,40749948,luw8v74r,11889643,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,2560x1440,1657x1127,,,,Purpose/Comfort Exit Questions,3,No,7,7,7,7,7,7,7,7,7,7,I'm not sure.,37273
1,1729268832231,18/10/2024 16:27:12,1729268832081,-7,18/10/2024 09:27:12,187086,12,questionnaire-xwu3,,40749985,zk6dch3n,11889651,,complete,,,computer,Desktop or Laptop,Linux x86_64,Chrome 129.0.0.0,1280x800,1280x625,,,,Purpose/Comfort Exit Questions,3,No,3,5,5,5,5,5,5,5,3,6,measure how citizens associate concepts with politics,82239
1,1729269009492,18/10/2024 16:30:09,1729269010956,-4,18/10/2024 12:30:10,187086,12,questionnaire-xwu3,,40750067,upb3d4jf,11889652,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1536x864,1536x695,,,,Purpose/Comfort Exit Questions,3,No,5,5,7,7,7,6,5,6,5,7,understand different viewpoints,44698
1,1729269081403,18/10/2024 16:31:21,1729269081933,-4,18/10/2024 12:31:21,187086,12,questionnaire-xwu3,,40750097,9cnnt0ca,11889645,,complete,,,computer,Desktop or Laptop,Windows 10,Opera 114.0.0.0,1536x864,1482x695,,,,Purpose/Comfort Exit Questions,3,No,7,3,6,6,5,2,1,1,7,7,Political beliefs and similar topics. ,46999
1,1729269394252,18/10/2024 16:36:34,1729269394009,-5,18/10/2024 11:36:34,187086,12,questionnaire-xwu3,,40750219,vars8p99,11889655,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1370x620,1366x613,,,,Purpose/Comfort Exit Questions,3,No,6,6,6,6,6,6,6,6,6,6,"Many studies are conducted to gain a deeper understanding of a phenomenon, theory, or process. The purpose might be to fill gaps in existing knowledge, explore new areas, or expand on previous research.",94056
1,1729269403186,18/10/2024 16:36:43,1729269400604,-5,18/10/2024 11:36:40,187086,12,questionnaire-xwu3,,40750223,8ge4j63t,11889654,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 129.0.0.0,1920x1080,1418x875,,,,Purpose/Comfort Exit Questions,3,No,6,7,6,6,7,7,6,6,5,6,learn about how people think about different topics and how they relate to one another,59446
1,1729269419010,18/10/2024 16:36:59,1729269412345,-5,18/10/2024 11:36:52,187086,12,questionnaire-xwu3,,40750231,d3y232sk,11889662,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1200,1279x753,,,,Purpose/Comfort Exit Questions,3,No,7,7,7,4,7,7,4,7,7,7,"my views on orgainasitons, people and groups",67495
