,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
Question Key,SEE1,SEE10,SEE2,SEE3,SEE4,SEE5,SEE6,SEE7,SEE8,SEE9
Participant Completion Code,,,,,,,,,,
aaqmxl,6,5,5,6,6,5,3,5,6,3
acogtt,6,4,5,3,7,6,6,6,6,4
adixob,6,6,2,4,6,6,6,5,5,4
adusps,5,6,1,4,5,5,4,3,2,3
adxtsl,7,6,7,5,6,6,5,3,5,1
aeiuhw,6,3,2,5,5,5,3,3,3,5
aexdme,6,5,2,2,7,7,6,6,6,6
aflltq,7,1,1,7,3,4,2,2,1,7
afpkoh,7,5,5,4,7,7,5,6,6,4
afsdur,7,4,2,6,7,7,5,5,5,3
ahpzxq,7,4,3,2,7,6,5,5,6,3
ahyffc,4,5,2,5,6,6,5,4,4,4
aievnt,7,7,5,4,7,7,7,4,7,4
akfjlt,7,7,3,5,6,6,7,7,7,6
anqogs,3,5,3,4,6,5,3,2,5,3
apdpdy,7,6,5,3,6,6,6,6,6,5
arvyqa,5,3,3,4,2,3,5,3,5,2
atgyep,6,6,5,5,3,5,5,3,5,5
aumwbq,6,5,3,2,5,5,5,6,6,3
auszpl,7,3,6,1,7,7,7,4,5,1
avjvvk,3,3,3,6,4,4,5,5,6,3
avyney,2,3,2,3,5,4,3,3,5,7
axmdkd,7,5,3,3,5,5,4,3,6,2
ayzbgp,6,6,5,6,5,3,5,5,2,2
azqsdu,7,7,1,1,7,7,7,6,6,1
bcgpxa,6,6,5,5,6,7,6,5,6,3
bcusdb,6,6,3,6,5,6,6,4,3,5
bfapup,5,7,2,1,7,7,6,5,6,7
bfbzto,7,4,6,5,6,6,6,6,5,3
bhpdxz,6,6,4,5,7,7,5,6,6,5
biqbww,5,7,6,3,6,5,7,5,3,7
bisnhd,7,7,5,3,6,3,5,3,2,1
bkwuvn,7,6,3,1,7,7,5,6,5,3
bncpak,7,6,3,1,7,6,6,6,6,5
bquykh,6,7,7,5,7,7,7,7,7,6
brwtdd,5,7,3,1,6,6,5,4,5,2
btchmp,6,7,2,5,7,3,4,6,3,6
bykvux,6,5,3,3,5,6,5,6,6,3
bzkuxw,3,4,1,4,5,4,3,3,1,7
bzwjyb,5,5,8,6,5,2,6,7,5,6
ccrgit,6,5,6,6,7,3,5,5,5,6
cdtmsp,7,7,2,4,6,6,6,5,6,3
cftfqo,6,6,2,7,5,2,6,2,2,2
cfxqqu,6,4,2,3,6,7,5,5,4,4
cimlvf,5,6,3,5,5,4,3,5,6,3
ckarrn,5,6,2,2,6,6,5,4,5,4
ckknhj,6,4,4,2,5,5,4,5,4,4
clmzjo,5,4,5,5,5,5,4,4,4,4
cmemoq,2,3,1,3,2,2,2,1,2,4
cmowsg,7,6,6,5,7,7,6,5,5,4
cqbjwf,6,6,3,5,6,6,5,6,4,2
crvkft,5,7,5,7,7,7,5,5,3,7
ctlnwv,6,6,4,2,6,6,6,4,5,4
ctnpdz,7,5,2,2,5,6,4,5,6,2
ctpmrm,7,5,3,3,7,7,7,7,7,4
cwgdfy,7,7,2,6,6,7,5,7,6,2
cyxqrq,3,5,2,5,3,6,3,2,2,3
czeabu,7,6,2,7,7,7,7,1,1,5
cznnff,6,6,6,6,6,5,6,6,6,6
dcjkzc,5,2,5,2,6,7,3,7,4,7
ddfwkg,6,3,4,3,6,6,5,6,3,3
ddvkmy,6,5,2,2,7,7,7,7,7,1
dehbmc,6,6,5,6,5,6,7,5,6,5
dfyrjv,5,5,5,3,3,5,6,5,6,6
dkglyh,6,6,2,5,5,5,3,6,3,2
dkjymc,7,7,5,5,7,7,7,7,7,5
dlnafn,6,6,6,7,6,6,7,6,6,7
dlrggl,6,2,1,2,7,7,3,3,2,6
dmjmoi,1,5,5,6,1,7,5,6,2,3
dmtidu,5,5,2,1,5,5,5,5,4,4
doaryd,5,5,3,7,5,5,5,3,3,3
dodaau,6,6,1,2,2,7,4,5,2,1
dpwkci,6,6,2,2,7,7,6,6,6,5
dsjgzg,5,6,2,6,7,7,3,5,6,2
dtinxe,7,6,6,5,7,7,3,6,6,7
dtylnm,5,7,6,7,6,7,6,5,2,6
dveehp,6,5,3,6,6,5,6,5,5,2
dwuklr,5,4,3,5,6,5,5,4,4,5
dxhzrs,5,5,5,5,5,5,5,5,5,5
dxsukr,7,6,6,6,7,7,6,6,7,6
dyojwc,7,6,2,3,6,6,5,5,5,7
eaxdhh,5,7,3,3,6,6,5,6,3,4
ebhjia,6,5,2,2,7,5,4,3,5,6
ecwbap,7,7,5,7,5,5,6,4,5,7
edrcou,6,5,2,2,5,5,4,4,5,2
eehvtk,5,7,3,3,6,6,5,5,3,3
eekvta,3,5,6,5,5,4,5,4,3,5
efqcxo,3,3,2,2,5,4,6,3,2,3
eifnun,6,7,4,7,5,7,7,5,6,6
ejzjvr,7,5,1,3,7,7,7,7,5,5
ellpfh,6,7,3,3,6,6,6,6,6,5
eokqdi,5,5,2,2,5,5,4,3,4,3
epemwo,7,4,1,4,7,7,4,4,4,7
eppdnt,6,7,3,3,7,7,7,6,7,6
essxlx,7,4,1,4,2,2,5,6,5,5
ewwdkx,7,1,5,1,7,7,5,7,7,5
exgfst,7,7,2,4,7,6,4,3,4,6
fawsmh,7,5,6,3,6,7,6,7,7,1
fctwcz,6,6,5,7,5,3,6,5,6,3
fdwppt,6,6,6,3,5,6,2,6,3,6
fdwrba,6,6,6,3,7,6,6,5,6,2
fejaps,7,6,2,4,6,6,4,5,6,2
