,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
Question Key,SEF1,SEF10,SEF2,SEF3,SEF4,SEF5,SEF6,SEF7,SEF8,SEF9
Participant Completion Code,,,,,,,,,,
aaqmxl,5,5,7,3,6,1,5,3,2,4
acogtt,7,7,7,6,7,1,7,7,2,7
adixob,1,7,7,6,1,7,7,7,6,1
adusps,4,5,7,3,1,1,3,4,3,1
adxtsl,7,7,7,5,3,6,5,7,6,3
aeiuhw,1,6,6,3,1,7,4,5,6,2
aexdme,4,7,6,4,1,6,5,5,5,1
aflltq,2,7,6,6,1,7,7,7,4,7
afpkoh,6,7,7,7,5,3,7,6,3,2
afsdur,1,6,5,6,1,7,6,5,7,1
ahpzxq,4,6,6,4,2,5,6,7,4,1
ahyffc,3,6,5,5,1,6,3,7,6,2
aievnt,3,7,7,4,1,5,3,4,7,4
akfjlt,1,5,5,4,2,3,3,3,3,5
anqogs,6,5,7,6,6,2,5,5,2,3
apdpdy,1,5,7,5,1,3,3,5,3,3
arvyqa,1,5,7,3,4,4,3,3,5,2
atgyep,7,8,5,3,6,3,8,6,6,5
aumwbq,5,6,7,3,2,5,7,7,5,5
auszpl,7,4,7,1,7,1,7,7,4,4
avjvvk,7,6,7,6,5,5,6,7,4,4
avyney,5,4,6,4,6,4,4,5,1,7
axmdkd,3,7,7,7,3,3,5,6,4,7
ayzbgp,2,5,6,6,6,6,5,5,6,5
azqsdu,4,7,6,6,4,4,6,5,7,1
bcgpxa,6,7,7,6,2,6,6,7,6,2
bcusdb,5,6,6,6,3,5,6,7,6,5
bfapup,1,7,5,5,1,6,7,6,7,2
bfbzto,1,3,6,6,4,4,5,6,2,7
bhpdxz,3,6,5,6,2,6,7,7,6,2
biqbww,7,5,5,6,6,4,3,5,5,6
bisnhd,4,6,7,5,6,2,6,6,6,5
bkwuvn,1,7,7,6,1,6,7,7,7,1
bncpak,1,7,7,4,4,5,6,6,7,5
bquykh,5,7,5,6,5,5,6,7,3,1
brwtdd,1,7,5,5,1,6,7,7,7,1
btchmp,5,7,3,6,7,2,7,6,2,6
bykvux,3,6,5,4,3,6,6,7,6,2
bzkuxw,6,6,6,6,6,6,6,6,4,7
bzwjyb,7,4,5,6,4,6,7,5,6,6
ccrgit,6,5,6,5,7,5,6,5,5,6
cdtmsp,1,7,7,5,1,4,4,4,6,3
cftfqo,5,7,6,7,4,3,7,6,5,7
cfxqqu,2,7,4,5,1,7,7,6,7,1
cimlvf,6,2,7,5,1,6,7,5,6,2
ckarrn,4,4,4,4,4,4,4,4,4,5
ckknhj,4,7,6,6,3,6,6,6,4,7
clmzjo,5,5,5,5,6,5,5,6,5,6
cmemoq,2,5,5,4,3,4,4,4,4,7
cmowsg,3,7,6,3,1,5,7,7,6,1
cqbjwf,5,7,6,4,4,6,7,2,7,4
crvkft,7,6,7,7,7,6,6,7,1,7
ctlnwv,4,6,6,1,4,4,4,6,2,4
ctnpdz,1,7,6,3,1,7,4,4,4,5
ctpmrm,3,6,7,5,3,6,7,5,3,2
cwgdfy,1,7,7,5,1,7,6,7,6,1
cyxqrq,3,5,5,5,3,5,6,5,3,2
czeabu,4,5,6,5,5,5,7,2,5,5
cznnff,6,6,6,6,6,6,6,6,5,6
dcjkzc,2,7,6,2,1,7,2,1,1,1
ddfwkg,1,5,6,5,3,5,3,5,5,7
ddvkmy,1,7,5,7,1,6,7,7,7,2
dehbmc,6,6,5,3,5,6,5,6,5,3
dfyrjv,5,5,5,6,5,6,7,6,6,6
dkglyh,3,7,7,6,1,3,5,5,3,3
dkjymc,4,6,7,7,7,1,7,4,2,1
dlnafn,6,6,6,6,6,6,6,6,6,6
dlrggl,2,5,6,1,4,5,6,5,5,5
dmjmoi,2,3,3,3,2,6,3,5,2,2
dmtidu,2,7,7,7,2,7,2,7,5,1
doaryd,6,5,7,3,4,4,3,2,4,4
dodaau,1,7,4,4,1,7,5,2,5,2
dpwkci,2,7,7,5,1,6,2,2,5,1
dsjgzg,7,7,7,6,7,2,6,5,2,1
dtinxe,6,5,6,7,6,7,5,6,5,6
dtylnm,6,7,2,6,7,2,6,6,2,6
dveehp,6,6,5,2,2,6,6,6,5,6
dwuklr,5,6,6,5,2,5,5,6,7,1
dxhzrs,7,7,7,7,7,1,5,7,7,7
dxsukr,6,6,7,6,2,5,7,7,2,7
dyojwc,4,6,7,5,5,5,5,5,4,7
eaxdhh,3,6,4,5,2,4,4,4,5,2
ebhjia,2,2,6,4,5,3,2,1,4,4
ecwbap,6,7,7,7,5,6,7,7,6,7
edrcou,4,4,4,4,4,4,4,4,4,4
eehvtk,1,7,3,5,1,6,5,5,6,1
eekvta,5,5,4,5,3,6,3,3,5,3
efqcxo,4,6,6,6,1,7,1,3,4,2
eifnun,3,6,6,5,4,6,4,4,2,4
ejzjvr,1,5,7,4,1,3,1,5,6,1
ellpfh,3,7,5,5,3,6,5,6,6,4
eokqdi,1,7,5,5,1,2,6,4,7,2
epemwo,1,1,6,4,4,4,4,4,4,7
eppdnt,1,7,7,4,1,6,2,3,6,1
essxlx,4,5,5,4,4,4,5,3,4,4
ewwdkx,1,3,3,5,1,6,7,3,2,2
exgfst,3,7,7,6,2,6,6,7,5,4
fawsmh,7,2,7,7,5,1,3,2,2,7
fctwcz,6,6,5,5,6,5,5,6,5,5
fdwppt,6,7,5,6,3,3,6,6,2,7
fdwrba,6,7,2,7,6,6,6,2,2,6
fejaps,1,4,7,6,2,4,3,3,4,7
ffjesf,2,7,7,5,1,6,4,6,4,1
fggcxz,1,5,4,4,2,5,5,4,4,6
fibcnv,4,4,5,2,4,2,2,3,4,5
fjambo,5,7,7,5,2,6,7,7,5,1
fjbvgc,2,5,7,6,3,4,3,3,3,7
fjqfdp,6,6,3,3,3,7,7,7,7,6
fjufyn,1,6,3,6,1,7,6,7,4,2
flapjg,7,7,7,7,7,7,7,7,7,7
flglki,2,6,5,3,6,6,2,3,2,3
fpzstz,5,5,3,5,5,4,6,3,5,6
frwzje,6,5,5,5,3,6,5,5,6,3
fslsyy,5,5,5,6,4,5,6,5,6,5
fulzff,6,7,6,5,2,7,6,5,7,1
fxxrqq,1,5,7,5,2,6,3,2,2,6
fyukrj,7,7,7,7,3,5,6,6,6,2
fzvqkg,5,3,7,7,2,6,7,7,3,7
gcibtt,1,7,7,4,1,5,1,6,7,1
gckgau,4,4,5,3,3,3,6,7,6,7
gegbqe,5,6,6,3,5,5,5,3,5,5
gflmfv,6,7,6,6,2,6,7,6,6,6
giqzdt,1,7,6,4,1,6,5,6,6,2
gjcqxs,2,7,4,5,2,5,5,5,5,3
glolxh,4,7,7,4,4,4,7,7,7,4
gnmpev,5,7,7,6,4,6,5,6,5,6
gqlonv,6,5,2,7,5,6,5,7,5,6
gqusld,3,7,7,3,1,7,7,7,3,1
gquwbk,2,7,7,7,3,7,7,7,5,7
gtndmy,6,5,6,6,3,5,5,5,4,5
gtnhln,5,2,6,1,5,2,5,2,6,7
gulupd,5,7,5,5,6,5,6,6,3,5
guvxpc,7,7,7,7,6,2,5,5,2,7
guwznl,6,7,6,6,5,5,6,6,6,7
gvajcf,4,5,6,5,5,4,6,6,4,4
gxyjid,6,5,5,6,5,7,5,6,5,7
gzyjre,5,1,5,1,5,2,3,3,3,1
hadzmn,4,4,7,2,4,4,3,1,4,7
haudtb,4,5,7,6,5,1,1,3,1,3
hbsgzy,1,4,4,7,4,4,4,7,4,7
hddnwm,1,7,6,6,1,6,7,7,7,2
hdhvbm,1,3,6,6,1,1,1,1,6,1
hezsxd,1,7,5,5,1,7,5,7,6,1
hfwkvd,1,7,4,7,1,7,7,7,7,4
hihory,2,5,6,5,2,4,4,5,5,1
hjpfnb,1,6,5,5,1,3,2,5,5,1
hkyksz,6,6,6,6,6,6,6,6,6,6
hlwcwz,1,7,5,4,1,7,7,7,5,1
hmwwlw,2,6,7,5,3,5,2,2,6,6
hroabx,4,6,6,5,2,2,6,5,6,1
hscrcc,4,6,7,3,1,5,1,3,2,1
hseiel,5,5,7,4,6,1,4,4,5,7
hszcix,3,6,5,5,3,6,5,6,5,5
htdgvb,6,5,7,6,6,6,5,5,5,6
htnftg,6,7,6,6,5,4,5,7,5,3
htxncz,1,7,2,3,1,6,3,7,6,1
hvckmw,6,6,5,6,1,7,6,6,1,6
hybrju,6,5,6,3,6,3,1,4,3,7
iamyvk,6,7,7,7,6,3,4,4,2,2
iaoads,2,5,7,7,1,7,6,6,5,6
ibedrh,5,5,5,4,5,4,5,4,5,4
ibyyer,4,5,4,5,5,2,4,4,1,4
icfhdu,5,5,7,7,2,7,6,7,5,6
icogvc,7,7,7,6,6,6,6,5,2,2
icovxq,1,7,7,6,1,5,6,4,7,1
ictkon,2,5,7,6,2,6,6,5,3,6
idpwtf,2,7,7,6,1,7,6,5,6,7
ielgkm,1,7,3,3,1,7,7,7,5,5
ihkkfw,6,4,6,4,6,2,4,6,2,4
iiipaj,3,7,7,6,6,5,6,5,5,7
ijutpw,2,5,6,5,4,4,6,7,5,4
ijwpwl,3,6,7,5,1,6,5,5,5,3
immutp,5,4,6,5,4,3,4,4,4,3
inrble,1,7,6,5,1,1,3,2,3,1
isfbio,6,7,6,7,1,7,7,7,7,7
iuekld,5,7,7,6,7,2,7,7,3,7
iulcbx,6,7,6,6,6,4,5,6,3,5
iyeyly,2,5,5,5,3,5,4,4,4,3
izkrfg,3,5,5,4,4,5,5,5,3,5
izuebg,2,6,6,4,2,5,4,4,4,5
jampao,7,7,6,7,7,7,6,7,6,7
jbrach,4,3,7,7,1,1,1,4,7,4
jbwutr,2,5,3,1,2,3,3,3,2,2
jcmrbl,7,4,7,7,7,2,7,4,1,7
jczprf,6,3,6,5,6,2,5,5,3,6
jekjkr,5,4,6,5,2,5,4,4,3,2
jfafyh,1,5,5,3,2,5,6,6,6,3
jfmevw,6,5,6,7,1,5,6,7,3,7
jfxtji,7,3,7,7,7,7,6,3,3,6
jgsosb,6,5,7,7,5,5,5,3,2,2
jiemlh,4,4,4,4,4,4,4,4,4,4
jitnvt,5,6,6,5,6,5,6,5,6,5
jitwvn,5,5,6,4,4,6,5,5,4,4
jizkac,2,6,6,4,3,4,3,6,7,4
jkctcb,2,4,4,1,3,2,1,1,1,2
jkwzui,6,6,3,5,5,3,5,6,6,6
jlraew,5,7,7,3,2,3,5,3,3,1
jlvvos,7,5,7,2,7,1,2,7,1,7
jmovmv,2,7,5,4,2,2,4,5,4,5
johmjz,5,3,5,6,5,6,2,6,5,5
joqxhd,7,7,7,1,7,1,1,4,1,7
jqtmgr,0,7,7,7,1,2,8,3,8,6
jtfgjz,1,7,7,7,1,1,7,7,4,1
jtvovl,2,7,6,6,1,6,3,5,4,7
jvkuwt,2,6,6,5,2,6,6,7,6,3
jwttkf,1,5,5,4,5,4,7,5,5,5
jxrmgs,3,7,6,5,2,5,6,6,7,1
jylmcz,2,5,1,5,2,6,2,5,2,3
kcoapk,7,7,7,6,2,7,7,7,7,7
kelsop,1,4,3,7,3,5,4,5,1,7
keuebd,1,6,3,5,1,5,6,4,7,5
kfgfyf,3,3,5,4,5,3,4,1,2,6
kfmihd,5,5,5,5,2,5,5,5,3,6
kfyuvh,2,5,7,4,6,3,5,5,3,7
kgpjen,3,3,7,5,4,4,3,4,4,7
khpwwg,4,7,6,7,2,7,5,7,6,2
kinsis,3,5,6,5,3,3,2,5,2,7
kkaant,3,6,6,5,3,6,5,6,6,6
