,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome
Spreadsheet: PlayerAction,<em><b>Aisha</b> decides to jump over it.,<em><b>Aisha</b> grabs the talisman.,<em><b>Aisha</b> hides behind a nearby rock formation.,<em><b>Aisha</b> opens the chest.,<em><b>Aisha</b> tethers themselves to a rope and walks across.,<em><b>Becky</b> notices the skeletons slowly patrolling. ,<em><b>Becky</b> opens the chest.,<em><b>Becky</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,<em><b>Becky</b> steps on the false floor revealing its secrets.,<em><b>Becky</b> tries to shoo them away.,<em><b>Becky</b> turns on their flashlight to illuminate the way forward. ,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps."
Participant Private ID,,,,,,,,,,,,
8511342.0,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Reward
8511343.0,Reward,Punish,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Punish,Reward,Punish
8511345.0,Punish,Punish,Reward,Reward,Punish,Reward,Punish,Punish,Punish,Reward,Punish,Reward
8511348.0,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Punish,Punish,Punish,Reward,Reward
8511352.0,Reward,Punish,Reward,Reward,Reward,Punish,Reward,Reward,Punish,Punish,Reward,Reward
8511353.0,Reward,Punish,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Reward,Reward,Reward
8511354.0,Punish,Punish,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Punish,Reward,Reward
8511357.0,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Reward
8511358.0,Reward,Punish,Punish,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Reward
8511359.0,Reward,Punish,Reward,Reward,Reward,Punish,Punish,Reward,Punish,Reward,Reward,Punish
8511360.0,Reward,Punish,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Reward
8511361.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Reward,Reward
8511362.0,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Punish,Reward,Reward,Reward
8511364.0,Reward,Punish,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Reward
8511365.0,Reward,Punish,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Reward,Reward,Reward
8511366.0,Reward,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Reward
8511367.0,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Punish,Reward,Reward,Reward,Punish
8511368.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
8511371.0,Reward,Reward,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
8511373.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
8511375.0,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Reward,Reward
8511377.0,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
8511380.0,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Reward
