,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome
Spreadsheet: PlayerAction,<em><b>Becky</b> notices the skeletons slowly patrolling. ,<em><b>Becky</b> opens the chest.,<em><b>Becky</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,<em><b>Becky</b> steps on the false floor revealing its secrets.,<em><b>Becky</b> tries to shoo them away.,<em><b>Becky</b> turns on their flashlight to illuminate the way forward. ,<em><b>Emma</b> decides to jump over it.,<em><b>Emma</b> grabs the talisman.,<em><b>Emma</b> hides behind a nearby rock formation.,<em><b>Emma</b> opens the chest.,<em><b>Emma</b> tethers themselves to a rope and walks across.,"<em>Before proceeding, <b>Emma</b> rubs their hand along the ground to check for traps."
Participant Private ID,,,,,,,,,,,,
8509940.0,Reward,Punish,Punish,Reward,Punish,Reward,Reward,Punish,Reward,Reward,Reward,Reward
8509945.0,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Reward
8509950.0,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Reward
8509953.0,Reward,Punish,Reward,Reward,Punish,Punish,Reward,Punish,Reward,Punish,Punish,Reward
8509956.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Reward
8509957.0,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Punish,Punish,Punish,Reward,Reward
8509959.0,Reward,Punish,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,Punish,Reward
8509964.0,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Punish,Reward,Reward,Reward,Reward
8509965.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
8509968.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
8509969.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
8509970.0,Reward,Reward,Reward,Punish,Punish,Reward,Reward,Punish,Reward,Reward,Reward,Reward
8509971.0,Reward,Reward,Reward,Reward,Punish,Reward,Punish,Punish,Reward,Reward,Reward,Reward
8509973.0,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Punish,Reward,Reward,Punish,Reward
8509976.0,Reward,Reward,Punish,Punish,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Reward
8509978.0,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Punish,Reward,Reward
8509979.0,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Punish,Reward,Reward
8509981.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
8509988.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Reward,Reward
8509989.0,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Reward,Reward,Reward
8509991.0,Reward,Reward,Reward,Punish,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Reward
