,Response,Response,Response
Question Key,EngFluent,age,gender
Participant Private ID,,,
8509940.0,Yes,36,Female
8509945.0,Yes,33,Female
8509950.0,Yes,35,Female
8509953.0,Yes,31,Female
8509956.0,Yes,32,Female
8509957.0,Yes,39,Female
8509959.0,Yes,40,Female
8509964.0,Yes,35,Female
8509965.0,Yes,39,Female
8509968.0,Yes,48,Female
8509969.0,Yes,48,Female
8509970.0,Yes,35,Female
8509971.0,Yes,25,Female
8509973.0,Yes,61,Female
8509976.0,Yes,44,Female
8509978.0,Yes,64,Female
8509979.0,Yes,41,Female
8509981.0,Yes,59,Female
8509988.0,Yes,59,Female
8509989.0,Yes,71,Female
8509991.0,Yes,41,Female
