,Participant Private ID,Spreadsheet: PlayerAction,Store: participant,Store: outcome
9,8515565.0,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps.",Kayla,Reward
14,8515565.0,<em><b>Becky</b> turns on their flashlight to illuminate the way forward. ,Kayla,Reward
19,8515565.0,<em><b>Becky</b> tries to shoo them away.,Kayla,Neutral
24,8515565.0,<em><b>Aisha</b> decides to jump over it.,Kayla,Neutral
29,8515565.0,<em><b>Becky</b> steps on the false floor revealing its secrets.,Kayla,Punish
34,8515565.0,<em><b>Aisha</b> opens the chest.,Kayla,Reward
39,8515565.0,<em><b>Aisha</b> grabs the talisman.,Kayla,Punish
44,8515565.0,<em><b>Becky</b> notices the skeletons slowly patrolling. ,Kayla,Neutral
49,8515565.0,<em><b>Becky</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,Kayla,Reward
54,8515565.0,<em><b>Aisha</b> hides behind a nearby rock formation.,Kayla,Neutral
59,8515565.0,<em><b>Aisha</b> tethers themselves to a rope and walks across.,Kayla,Reward
64,8515565.0,<em><b>Becky</b> opens the chest.,Kayla,Reward
78,8515567.0,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps.",Trish,Reward
83,8515567.0,<em><b>Becky</b> turns on their flashlight to illuminate the way forward. ,Trish,Neutral
88,8515567.0,<em><b>Becky</b> tries to shoo them away.,Trish,Neutral
93,8515567.0,<em><b>Aisha</b> decides to jump over it.,Trish,Reward
98,8515567.0,<em><b>Becky</b> steps on the false floor revealing its secrets.,Trish,Reward
103,8515567.0,<em><b>Aisha</b> opens the chest.,Trish,Reward
108,8515567.0,<em><b>Aisha</b> grabs the talisman.,Trish,Neutral
113,8515567.0,<em><b>Becky</b> notices the skeletons slowly patrolling. ,Trish,Neutral
118,8515567.0,<em><b>Becky</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,Trish,Punish
123,8515567.0,<em><b>Aisha</b> hides behind a nearby rock formation.,Trish,Punish
128,8515567.0,<em><b>Aisha</b> tethers themselves to a rope and walks across.,Trish,Reward
133,8515567.0,<em><b>Becky</b> opens the chest.,Trish,Reward
147,8515573.0,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps.",shannon,Reward
152,8515573.0,<em><b>Becky</b> turns on their flashlight to illuminate the way forward. ,shannon,Reward
157,8515573.0,<em><b>Becky</b> tries to shoo them away.,shannon,Neutral
162,8515573.0,<em><b>Aisha</b> decides to jump over it.,shannon,Reward
167,8515573.0,<em><b>Becky</b> steps on the false floor revealing its secrets.,shannon,Reward
172,8515573.0,<em><b>Aisha</b> opens the chest.,shannon,Reward
177,8515573.0,<em><b>Aisha</b> grabs the talisman.,shannon,Reward
182,8515573.0,<em><b>Becky</b> notices the skeletons slowly patrolling. ,shannon,Reward
187,8515573.0,<em><b>Becky</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,shannon,Neutral
