,Response,Response,Response
Question Key,EngFluent,age,gender
Participant Private ID,,,
8515565.0,Yes,34,Female
8515567.0,Yes,32,Female
8515573.0,Yes,46,Female
8515574.0,Yes,57,Female
8515575.0,Yes,32,Female
8515577.0,Yes,39,Female
8515580.0,Yes,42,Female
8515581.0,Yes,57,Female
8515587.0,Yes,50,Female
8515593.0,Yes,51,Female
8515597.0,Yes,54,Female
8515604.0,Yes,53,Female
8515605.0,Yes,43,Female
8515606.0,Yes,55,Female
8515613.0,Yes,28,Female
8515614.0,Yes,29,Female
8515620.0,Yes,58,Female
8515621.0,Yes,24,Female
8515623.0,Yes,42,Female
8515637.0,Yes,59,Female
8515643.0,Yes,37,Female
8515645.0,Yes,18,Female
8515647.0,Yes,24,Female
8515868.0,Yes,57,Female
