,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome
Spreadsheet: PlayerAction,<em><b>Jack</b> notices the skeletons slowly patrolling. ,<em><b>Jack</b> opens the chest.,<em><b>Jack</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,<em><b>Jack</b> steps on the false floor revealing its secrets.,<em><b>Jack</b> tries to shoo them away.,<em><b>Jack</b> turns on their flashlight to illuminate the way forward. ,<em><b>Sam</b> decides to jump over it.,<em><b>Sam</b> grabs the talisman.,<em><b>Sam</b> hides behind a nearby rock formation.,<em><b>Sam</b> opens the chest.,<em><b>Sam</b> tethers themselves to a rope and walks across.,"<em>Before proceeding, <b>Sam</b> rubs their hand along the ground to check for traps."
Participant Private ID,,,,,,,,,,,,
8511681.0,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Punish,Punish,Reward,Reward,Reward
8511710.0,Reward,Reward,Reward,Punish,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Reward
8511723.0,Reward,Reward,Reward,Punish,Reward,Reward,Reward,Punish,Reward,Reward,Reward,Reward
8511728.0,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Punish,Reward,Reward
8511729.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
8511730.0,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Reward
8511731.0,Reward,Punish,Reward,Reward,Reward,Punish,Punish,Reward,Punish,Punish,Reward,Reward
8511732.0,Punish,Reward,Reward,Reward,Punish,Reward,Reward,Punish,Punish,Reward,Reward,Reward
8511733.0,Reward,Reward,Punish,Reward,Punish,Punish,Reward,Reward,Punish,Punish,Reward,Reward
8511734.0,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Punish,Reward,Reward,Punish,Reward
8511735.0,Reward,Reward,Punish,Reward,Punish,Punish,Reward,Punish,Reward,Reward,Reward,Reward
8511736.0,Punish,Reward,Reward,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Reward
8511737.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
8511738.0,Reward,Punish,Reward,Reward,Punish,Reward,Reward,Punish,Punish,Reward,Reward,Reward
8511741.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Reward,Reward
8511742.0,Punish,Reward,Reward,Punish,Punish,Reward,Punish,Reward,Punish,Reward,Reward,Reward
8511743.0,Reward,Reward,Punish,Punish,Punish,Reward,Reward,Punish,Reward,Reward,Reward,Reward
8511745.0,Punish,Punish,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Punish,Reward,Punish
8511747.0,Reward,Reward,Punish,Punish,Reward,Reward,Punish,Reward,Reward,Reward,Reward,Reward
8511748.0,Punish,Reward,Punish,Punish,Punish,Punish,Reward,Reward,Reward,Reward,Punish,Reward
8511749.0,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
8511750.0,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Reward
8511751.0,Reward,Reward,Reward,Punish,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Reward
8511797.0,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Reward,Reward
8511979.0,Reward,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Reward
