,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome
Spreadsheet: PlayerAction,<em><b>Jack</b> notices the skeletons slowly patrolling. ,<em><b>Jack</b> opens the chest.,<em><b>Jack</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,<em><b>Jack</b> steps on the false floor revealing its secrets.,<em><b>Jack</b> tries to shoo them away.,<em><b>Jack</b> turns on their flashlight to illuminate the way forward. ,<em><b>Jamal</b> decides to jump over it.,<em><b>Jamal</b> grabs the talisman.,<em><b>Jamal</b> hides behind a nearby rock formation.,<em><b>Jamal</b> opens the chest.,<em><b>Jamal</b> tethers themselves to a rope and walks across.,"<em>Before proceeding, <b>Jamal</b> rubs their hand along the ground to check for traps."
Participant Private ID,,,,,,,,,,,,
8515548.0,Neutral,Reward,Reward,Reward,Punish,Neutral,Punish,Punish,Punish,Neutral,Reward,Reward
8515550.0,Punish,Reward,Punish,Punish,Punish,Punish,Punish,Punish,Punish,Punish,Reward,Punish
8515551.0,Neutral,Reward,Reward,Reward,Reward,Neutral,Neutral,Neutral,Neutral,Neutral,Reward,Neutral
8515557.0,Punish,Reward,Punish,Reward,Reward,Neutral,Punish,Reward,Reward,Reward,Reward,Neutral
8515559.0,Neutral,Reward,Reward,Punish,Reward,Reward,Neutral,Neutral,Neutral,Reward,Reward,Neutral
8515566.0,Reward,Punish,Reward,Punish,Neutral,Neutral,Neutral,Punish,Neutral,Punish,Reward,Reward
8515578.0,Reward,Reward,Reward,Punish,Reward,Neutral,Neutral,Neutral,Neutral,Neutral,Reward,Reward
8515584.0,Neutral,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Neutral,Reward,Reward,Reward
8515589.0,Neutral,Reward,Reward,Reward,Neutral,Reward,Reward,Reward,Reward,Reward,Reward,Reward
8515592.0,Punish,Reward,Reward,Reward,Punish,Reward,Punish,Punish,Reward,Reward,Reward,Neutral
8515594.0,Reward,Neutral,Reward,Neutral,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Reward
8515595.0,Reward,Reward,Reward,Reward,Neutral,Punish,Reward,Punish,Neutral,Reward,Reward,Reward
8515602.0,Punish,Reward,Punish,Punish,Reward,Reward,Punish,Reward,Reward,Reward,Neutral,Neutral
8515607.0,Reward,Reward,Reward,Reward,Punish,Neutral,Punish,Punish,Reward,Neutral,Neutral,Reward
8515608.0,Reward,Reward,Reward,Neutral,Neutral,Reward,Reward,Reward,Reward,Punish,Neutral,Punish
8515611.0,Neutral,Reward,Reward,Neutral,Neutral,Neutral,Neutral,Punish,Punish,Reward,Reward,Neutral
8515616.0,Reward,Reward,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Reward
8515618.0,Reward,Reward,Reward,Punish,Neutral,Reward,Punish,Reward,Punish,Reward,Reward,Reward
8515619.0,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Reward
8515646.0,Reward,Reward,Reward,Neutral,Reward,Reward,Neutral,Neutral,Reward,Neutral,Neutral,Reward
