,Response,Response,Response
Question Key,EngFluent,age,gender
Participant Private ID,,,
8515548.0,Yes,31,Male
8515550.0,Yes,34,Male
8515551.0,Yes,39,Male
8515557.0,Yes,26,Female
8515559.0,Yes,32,Male
8515566.0,Yes,49,Male
8515578.0,Yes,42,Male
8515584.0,Yes,64,Male
8515589.0,Yes,42,Male
8515592.0,Yes,65,Male
8515594.0,Yes,35,Male
8515595.0,Yes,36,Male
8515602.0,Yes,32,Male
8515603.0,Yes,53,Male
8515607.0,Yes,28,Male
8515608.0,Yes,38,Male
8515611.0,Yes,49,Male
8515616.0,Yes,30,Male
8515618.0,Yes,36,Male
8515619.0,Yes,37,Male
8515646.0,Yes,30,Male
