,Response,Response,Response
Question Key,EngFluent,age,gender
Participant Private ID,,,
8515536.0,Yes,30,Male
8515537.0,Yes,70,Male
8515538.0,Yes,29,Male
8515539.0,Yes,43,Male
8515540.0,Yes,60,Male
8515542.0,Yes,60,Male
8515543.0,Yes,35,Male
8515545.0,Yes,33,Male
8515546.0,Yes,53,Male
8515552.0,Yes,27,Male
8515555.0,Yes,47,Male
8515562.0,Yes,34,Male
8515563.0,Yes,23,Male
8515576.0,Yes,40,Male
8515622.0,Yes,40,Male
8515625.0,Yes,29,Male
8515626.0,Yes,22,Male
8515630.0,Yes,23,Male
8515634.0,Yes,60,Male
8515635.0,Yes,32,Male
8515636.0,Yes,55,Male
8515640.0,Yes,47,Male
8515641.0,Yes,38,Male
8515695.0,Yes,27,Male
8515876.0,Yes,31,Male
