Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome
1,1680391610071,01/04/2023 23:26:50,1680377210071,-4,01/04/2023 15:26:50,128677,3,task-unsm,,28601400,BLIND,8511342,,complete,,4209fcaf-2a3c-42b0-bc6a-158f8c79a1e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1440x900,1352x702,,ImplicitDecisionAdventureTask_2opts,3,WF_AxGrp,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1680391621683,01/04/2023 23:27:01,1680377221683,-4,01/04/2023 15:27:01,128677,3,task-unsm,,28601400,BLIND,8511342,,complete,,4209fcaf-2a3c-42b0-bc6a-158f8c79a1e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1440x900,1352x702,,ImplicitDecisionAdventureTask_2opts,3,WF_AxGrp,1,Instructions,Instructions,cdub9g,1,response,Next,11207.015999952317,11199.93,11207.015999952317,11207.015999952317,11199.93,11207.015999952317,1,0,11207.015999952317,0,0,,Click Response,Continue Button,2,object-8,Instructions,,,,,,,,,,,,,,,,,
3,1680391634517,01/04/2023 23:27:14,1680377234517,-4,01/04/2023 15:27:14,128677,3,task-unsm,,28601400,BLIND,8511342,,complete,,4209fcaf-2a3c-42b0-bc6a-158f8c79a1e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1440x900,1352x702,,ImplicitDecisionAdventureTask_2opts,3,WF_AxGrp,1,Instructions,Name,nn5ntg,2,response,lynn,4200.062000000002,6033.322,6040.457999976159,4200.062000000002,6033.322,6040.457999976159,1,0,4200.062000000002,1840.3959999761573,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,lynn,,,,,
4,1680391636513,01/04/2023 23:27:16,1680377236513,-4,01/04/2023 15:27:16,128677,3,task-unsm,,28601400,BLIND,8511342,,complete,,4209fcaf-2a3c-42b0-bc6a-158f8c79a1e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1440x900,1352x702,,ImplicitDecisionAdventureTask_2opts,3,WF_AxGrp,1,Instructions,Delay,7riscs,3,timedOut,,2004.135999976159,1999.920000000002,2004.135999976159,2004.135999976159,1999.920000000002,2004.135999976159,1,0,2004.135999976159,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,lynn,,,,,
5,1680391651510,01/04/2023 23:27:31,1680377251510,-4,01/04/2023 15:27:31,128677,3,task-unsm,,28601400,BLIND,8511342,,complete,,4209fcaf-2a3c-42b0-bc6a-158f8c79a1e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1440x900,1352x702,,ImplicitDecisionAdventureTask_2opts,3,WF_AxGrp,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,15001.115999952315,14999.400000000001,15001.115999952315,15001.115999952315,14999.400000000001,15001.115999952315,1,0,15001.115999952315,0,0,,Time Limit,screen,0,screen,LoadingScreen,Becky,Aisha,,,,,,,,,,lynn,,,,,
6,1680391658334,01/04/2023 23:27:38,1680377258334,-4,01/04/2023 15:27:38,128677,3,task-unsm,,28601400,BLIND,8511342,,complete,,4209fcaf-2a3c-42b0-bc6a-158f8c79a1e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1440x900,1352x702,,ImplicitDecisionAdventureTask_2opts,3,WF_AxGrp,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,6825.516000023839,6816.8659999999945,6825.516000023839,6825.516000023839,6816.8659999999945,6825.516000023839,1,0,6825.516000023839,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Becky,Aisha,,,,,,,,,,lynn,,,,,
7,1680391668598,01/04/2023 23:27:48,1680377268598,-4,01/04/2023 15:27:48,128677,3,task-unsm,,28601400,BLIND,8511342,,complete,,4209fcaf-2a3c-42b0-bc6a-158f8c79a1e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1440x900,1352x702,,ImplicitDecisionAdventureTask_2opts,3,WF_AxGrp,1,ScenarioIntro,ScenarioIntro,ghavr7,1,response,Next,10273.250000047687,10266.631000000001,10273.250000047687,10273.250000047687,10266.631000000001,10273.250000047687,1,0,10273.250000047687,0,0,,Click Response,Continue Button,2,object-62,ScenarioIntro,,,"<em>Two famous archaeologists have discovered a series of underground passageways leading to an ancient civilization. The duo packed their bags full of necessary supplies, turned on their headlights, and crawled into the hole that led to an underground structure. ",,,,,,,,,lynn,,,,,
8,1680391673749,01/04/2023 23:27:53,1680377273749,-4,01/04/2023 15:27:53,128677,3,task-unsm,,28601400,BLIND,8511342,,complete,,4209fcaf-2a3c-42b0-bc6a-158f8c79a1e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1440x900,1352x702,,ImplicitDecisionAdventureTask_2opts,3,WF_AxGrp,1,Trial/Encounter,EncounterIntro,wtupv3,1,continue,,3424.154999999999,3416.529999999999,3424.154999999999,3424.154999999999,3416.529999999999,3424.154999999999,1,0,3424.154999999999,0,0,,Click To Continue,Continue Button,2,object-65,Trial/Encounter,,,,<em>The duo tie a rope and climb down.,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps.",<em><b>Aisha</b> triggers a pressure plate. A hidden passage leading forward opens up in front of her.,<em><b>Aisha</b> finds no traps so she decides it is safe to continue forward.,<em><b>Aisha</b> touches the ground triggering a pressure plate. This releases a boulder which falls grazing her shoulder dealing damage.,6687,,,lynn,,,,,
9,1680391683013,01/04/2023 23:28:03,1680377283013,-4,01/04/2023 15:28:03,128677,3,task-unsm,,28601400,BLIND,8511342,,complete,,4209fcaf-2a3c-42b0-bc6a-158f8c79a1e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1440x900,1352x702,,ImplicitDecisionAdventureTask_2opts,3,WF_AxGrp,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6687.995000023846,6683.304000000004,6687.995000023846,6687.995000023846,6683.304000000004,6687.995000023846,1,0,6687.995000023846,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,<em>The duo tie a rope and climb down.,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps.",<em><b>Aisha</b> triggers a pressure plate. A hidden passage leading forward opens up in front of her.,<em><b>Aisha</b> finds no traps so she decides it is safe to continue forward.,<em><b>Aisha</b> touches the ground triggering a pressure plate. This releases a boulder which falls grazing her shoulder dealing damage.,6687,,,lynn,,,,,
10,1680391687682,01/04/2023 23:28:07,1680377287682,-4,01/04/2023 15:28:07,128677,3,task-unsm,,28601400,BLIND,8511342,,complete,,4209fcaf-2a3c-42b0-bc6a-158f8c79a1e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1440x900,1352x702,,ImplicitDecisionAdventureTask_2opts,3,WF_AxGrp,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,4672.9909999761585,4666.479999999996,4672.9909999761585,4672.9909999761585,4666.479999999996,4672.9909999761585,1,0,4672.9909999761585,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,<em>The duo tie a rope and climb down.,"<em>Before proceeding, <b>Aisha</b> rubs their hand along the ground to check for traps.",<em><b>Aisha</b> triggers a pressure plate. A hidden passage leading forward opens up in front of her.,<em><b>Aisha</b> finds no traps so she decides it is safe to continue forward.,<em><b>Aisha</b> touches the ground triggering a pressure plate. This releases a boulder which falls grazing her shoulder dealing damage.,6687,,,lynn,,,,,Reward
