Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1680377194458,01/04/2023 19:26:34,1680377194217,-4,01/04/2023 15:26:34,128677,3,questionnaire-e4hl,,28601398,BLIND,8511342,,complete,,4209fcaf-2a3c-42b0-bc6a-158f8c79a1e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1440x900,1352x702,,Demographic_Intake,6,No,BEGIN QUESTIONNAIRE,
2,1680377204455,01/04/2023 19:26:44,1680377204319,-4,01/04/2023 15:26:44,128677,3,questionnaire-e4hl,,28601398,BLIND,8511342,,complete,,4209fcaf-2a3c-42b0-bc6a-158f8c79a1e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1440x900,1352x702,,Demographic_Intake,6,No,age,38
3,1680377204599,01/04/2023 19:26:44,1680377204319,-4,01/04/2023 15:26:44,128677,3,questionnaire-e4hl,,28601398,BLIND,8511342,,complete,,4209fcaf-2a3c-42b0-bc6a-158f8c79a1e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1440x900,1352x702,,Demographic_Intake,6,No,gender,Female
4,1680377204599,01/04/2023 19:26:44,1680377204319,-4,01/04/2023 15:26:44,128677,3,questionnaire-e4hl,,28601398,BLIND,8511342,,complete,,4209fcaf-2a3c-42b0-bc6a-158f8c79a1e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1440x900,1352x702,,Demographic_Intake,6,No,gender-quantised,2
5,1680377204599,01/04/2023 19:26:44,1680377204320,-4,01/04/2023 15:26:44,128677,3,questionnaire-e4hl,,28601398,BLIND,8511342,,complete,,4209fcaf-2a3c-42b0-bc6a-158f8c79a1e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1440x900,1352x702,,Demographic_Intake,6,No,EngFluent,Yes
6,1680377204599,01/04/2023 19:26:44,1680377204320,-4,01/04/2023 15:26:44,128677,3,questionnaire-e4hl,,28601398,BLIND,8511342,,complete,,4209fcaf-2a3c-42b0-bc6a-158f8c79a1e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1440x900,1352x702,,Demographic_Intake,6,No,EngFluent-quantised,1
7,1680377204599,01/04/2023 19:26:44,1680377204320,-4,01/04/2023 15:26:44,128677,3,questionnaire-e4hl,,28601398,BLIND,8511342,,complete,,4209fcaf-2a3c-42b0-bc6a-158f8c79a1e5,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1440x900,1352x702,,Demographic_Intake,6,No,END QUESTIONNAIRE,10103
1,1680377243758,01/04/2023 19:27:23,1680377243641,-4,01/04/2023 15:27:23,128677,3,questionnaire-e4hl,,28601410,BLIND,8511345,,complete,,ae7b8457-d023-4571-ad84-5c0429a5871f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.2,810x1080,1080x707,,Demographic_Intake,6,No,BEGIN QUESTIONNAIRE,
2,1680377250266,01/04/2023 19:27:30,1680377250184,-4,01/04/2023 15:27:30,128677,3,questionnaire-e4hl,,28601410,BLIND,8511345,,complete,,ae7b8457-d023-4571-ad84-5c0429a5871f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.2,810x1080,1080x707,,Demographic_Intake,6,No,age,56
3,1680377250391,01/04/2023 19:27:30,1680377250186,-4,01/04/2023 15:27:30,128677,3,questionnaire-e4hl,,28601410,BLIND,8511345,,complete,,ae7b8457-d023-4571-ad84-5c0429a5871f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.2,810x1080,1080x707,,Demographic_Intake,6,No,gender,Female
4,1680377250391,01/04/2023 19:27:30,1680377250186,-4,01/04/2023 15:27:30,128677,3,questionnaire-e4hl,,28601410,BLIND,8511345,,complete,,ae7b8457-d023-4571-ad84-5c0429a5871f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.2,810x1080,1080x707,,Demographic_Intake,6,No,gender-quantised,2
5,1680377250391,01/04/2023 19:27:30,1680377250186,-4,01/04/2023 15:27:30,128677,3,questionnaire-e4hl,,28601410,BLIND,8511345,,complete,,ae7b8457-d023-4571-ad84-5c0429a5871f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.2,810x1080,1080x707,,Demographic_Intake,6,No,EngFluent,Yes
6,1680377250391,01/04/2023 19:27:30,1680377250187,-4,01/04/2023 15:27:30,128677,3,questionnaire-e4hl,,28601410,BLIND,8511345,,complete,,ae7b8457-d023-4571-ad84-5c0429a5871f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.2,810x1080,1080x707,,Demographic_Intake,6,No,EngFluent-quantised,1
7,1680377250391,01/04/2023 19:27:30,1680377250187,-4,01/04/2023 15:27:30,128677,3,questionnaire-e4hl,,28601410,BLIND,8511345,,complete,,ae7b8457-d023-4571-ad84-5c0429a5871f,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.2,810x1080,1080x707,,Demographic_Intake,6,No,END QUESTIONNAIRE,6546
1,1680377252193,01/04/2023 19:27:32,1680377252163,-4,01/04/2023 15:27:32,128677,3,questionnaire-e4hl,,28601414,BLIND,8511343,,complete,,f8d28717-4c0d-461d-9d1f-790565038486,computer,Desktop or Laptop,Windows 10,Edge 111.0.1661.54,1920x1080,1920x929,,Demographic_Intake,6,No,BEGIN QUESTIONNAIRE,
2,1680377268361,01/04/2023 19:27:48,1680377268388,-4,01/04/2023 15:27:48,128677,3,questionnaire-e4hl,,28601414,BLIND,8511343,,complete,,f8d28717-4c0d-461d-9d1f-790565038486,computer,Desktop or Laptop,Windows 10,Edge 111.0.1661.54,1920x1080,1920x929,,Demographic_Intake,6,No,age,26
3,1680377268513,01/04/2023 19:27:48,1680377268389,-4,01/04/2023 15:27:48,128677,3,questionnaire-e4hl,,28601414,BLIND,8511343,,complete,,f8d28717-4c0d-461d-9d1f-790565038486,computer,Desktop or Laptop,Windows 10,Edge 111.0.1661.54,1920x1080,1920x929,,Demographic_Intake,6,No,gender,Female
