Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1680362144664,01/04/2023 15:15:44,1680362145078,-4,01/04/2023 11:15:45,128675,2,questionnaire-e4hl,,28597580,BLIND,8509979,,complete,ffbxex,0317e103-fc5e-43f7-9dcf-09e63e6c0428,computer,Desktop or Laptop,Mac OS 10.12,Firefox 111.0,1440x900,1443x722,,Demographic_Intake,4,No,BEGIN QUESTIONNAIRE,
2,1680362153361,01/04/2023 15:15:53,1680362153826,-4,01/04/2023 11:15:53,128675,2,questionnaire-e4hl,,28597580,BLIND,8509979,,complete,ffbxex,0317e103-fc5e-43f7-9dcf-09e63e6c0428,computer,Desktop or Laptop,Mac OS 10.12,Firefox 111.0,1440x900,1443x722,,Demographic_Intake,4,No,age,41
3,1680362153533,01/04/2023 15:15:53,1680362153828,-4,01/04/2023 11:15:53,128675,2,questionnaire-e4hl,,28597580,BLIND,8509979,,complete,ffbxex,0317e103-fc5e-43f7-9dcf-09e63e6c0428,computer,Desktop or Laptop,Mac OS 10.12,Firefox 111.0,1440x900,1443x722,,Demographic_Intake,4,No,gender,Female
4,1680362153533,01/04/2023 15:15:53,1680362153828,-4,01/04/2023 11:15:53,128675,2,questionnaire-e4hl,,28597580,BLIND,8509979,,complete,ffbxex,0317e103-fc5e-43f7-9dcf-09e63e6c0428,computer,Desktop or Laptop,Mac OS 10.12,Firefox 111.0,1440x900,1443x722,,Demographic_Intake,4,No,gender-quantised,2
5,1680362153533,01/04/2023 15:15:53,1680362153828,-4,01/04/2023 11:15:53,128675,2,questionnaire-e4hl,,28597580,BLIND,8509979,,complete,ffbxex,0317e103-fc5e-43f7-9dcf-09e63e6c0428,computer,Desktop or Laptop,Mac OS 10.12,Firefox 111.0,1440x900,1443x722,,Demographic_Intake,4,No,EngFluent,Yes
6,1680362153533,01/04/2023 15:15:53,1680362153829,-4,01/04/2023 11:15:53,128675,2,questionnaire-e4hl,,28597580,BLIND,8509979,,complete,ffbxex,0317e103-fc5e-43f7-9dcf-09e63e6c0428,computer,Desktop or Laptop,Mac OS 10.12,Firefox 111.0,1440x900,1443x722,,Demographic_Intake,4,No,EngFluent-quantised,1
7,1680362153533,01/04/2023 15:15:53,1680362153829,-4,01/04/2023 11:15:53,128675,2,questionnaire-e4hl,,28597580,BLIND,8509979,,complete,ffbxex,0317e103-fc5e-43f7-9dcf-09e63e6c0428,computer,Desktop or Laptop,Mac OS 10.12,Firefox 111.0,1440x900,1443x722,,Demographic_Intake,4,No,END QUESTIONNAIRE,8751
1,1680362097163,01/04/2023 15:14:57,1680362096389,-4,01/04/2023 11:14:56,128675,2,questionnaire-e4hl,,28597563,BLIND,8509989,,complete,oikwai,e9554d4f-3369-48f5-9b2c-76a5ec632eed,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,Demographic_Intake,4,No,BEGIN QUESTIONNAIRE,
2,1680362113290,01/04/2023 15:15:13,1680362112512,-4,01/04/2023 11:15:12,128675,2,questionnaire-e4hl,,28597563,BLIND,8509989,,complete,oikwai,e9554d4f-3369-48f5-9b2c-76a5ec632eed,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,Demographic_Intake,4,No,age,71
3,1680362113459,01/04/2023 15:15:13,1680362112513,-4,01/04/2023 11:15:12,128675,2,questionnaire-e4hl,,28597563,BLIND,8509989,,complete,oikwai,e9554d4f-3369-48f5-9b2c-76a5ec632eed,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,Demographic_Intake,4,No,gender,Female
4,1680362113459,01/04/2023 15:15:13,1680362112513,-4,01/04/2023 11:15:12,128675,2,questionnaire-e4hl,,28597563,BLIND,8509989,,complete,oikwai,e9554d4f-3369-48f5-9b2c-76a5ec632eed,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,Demographic_Intake,4,No,gender-quantised,2
5,1680362113459,01/04/2023 15:15:13,1680362112513,-4,01/04/2023 11:15:12,128675,2,questionnaire-e4hl,,28597563,BLIND,8509989,,complete,oikwai,e9554d4f-3369-48f5-9b2c-76a5ec632eed,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,Demographic_Intake,4,No,EngFluent,Yes
6,1680362113459,01/04/2023 15:15:13,1680362112513,-4,01/04/2023 11:15:12,128675,2,questionnaire-e4hl,,28597563,BLIND,8509989,,complete,oikwai,e9554d4f-3369-48f5-9b2c-76a5ec632eed,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,Demographic_Intake,4,No,EngFluent-quantised,1
7,1680362113459,01/04/2023 15:15:13,1680362112513,-4,01/04/2023 11:15:12,128675,2,questionnaire-e4hl,,28597563,BLIND,8509989,,complete,oikwai,e9554d4f-3369-48f5-9b2c-76a5ec632eed,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x714,,Demographic_Intake,4,No,END QUESTIONNAIRE,16124
1,1680362095584,01/04/2023 15:14:55,1680362094700,-4,01/04/2023 11:14:54,128675,2,questionnaire-e4hl,,28597562,BLIND,8509988,,complete,gvgmrq,c9485916-489e-4ddc-82e0-97ae10174b5e,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 111.0.0.0,1366x768,1366x697,,Demographic_Intake,4,No,BEGIN QUESTIONNAIRE,
