Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome
1,1680466219424,02/04/2023 20:10:19,1680451819424,-4,02/04/2023 12:10:19,128679,4,task-ysnv,,28612499,BLIND,8514894,,complete,,617dfa48-1762-4761-85c4-107bbca04d0d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x746,,ImplicitDecisionAdventureTask_3opts,12,WF_InGrp,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1680466230566,02/04/2023 20:10:30,1680451830566,-4,02/04/2023 12:10:30,128679,4,task-ysnv,,28612499,BLIND,8514894,,complete,,617dfa48-1762-4761-85c4-107bbca04d0d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x746,,ImplicitDecisionAdventureTask_3opts,12,WF_InGrp,1,Instructions,Instructions,cdub9g,1,response,Next,11057.587999952317,11043.145,11057.587999952317,11057.587999952317,11043.145,11057.587999952317,1,0,11057.587999952317,0,0,,Click Response,Continue Button,2,object-8,Instructions,,,,,,,,,,,,,,,,,
3,1680466240581,02/04/2023 20:10:40,1680451840581,-4,02/04/2023 12:10:40,128679,4,task-ysnv,,28612499,BLIND,8514894,,complete,,617dfa48-1762-4761-85c4-107bbca04d0d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x746,,ImplicitDecisionAdventureTask_3opts,12,WF_InGrp,1,Instructions,Name,nn5ntg,2,response,Sam,2212.1820000000007,3060.334999999999,3076.935999999998,2212.1820000000007,3060.334999999999,3076.935999999998,1,0,2212.1820000000007,864.7539999999972,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,Sam,,,,,
4,1680466242559,02/04/2023 20:10:42,1680451842559,-4,02/04/2023 12:10:42,128679,4,task-ysnv,,28612499,BLIND,8514894,,complete,,617dfa48-1762-4761-85c4-107bbca04d0d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x746,,ImplicitDecisionAdventureTask_3opts,12,WF_InGrp,1,Instructions,Delay,7riscs,3,timedOut,,1996.1659999284748,1995.5080000000016,1996.1659999284748,1996.1659999284748,1995.5080000000016,1996.1659999284748,1,0,1996.1659999284748,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,Sam,,,,,
5,1680466257561,02/04/2023 20:10:57,1680451857561,-4,02/04/2023 12:10:57,128679,4,task-ysnv,,28612499,BLIND,8514894,,complete,,617dfa48-1762-4761-85c4-107bbca04d0d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x746,,ImplicitDecisionAdventureTask_3opts,12,WF_InGrp,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,15002.457999999999,15001.68,15002.457999999999,15002.457999999999,15001.68,15002.457999999999,1,0,15002.457999999999,0,0,,Time Limit,screen,0,screen,LoadingScreen,Becky,Emma,,,,,,,,,,Sam,,,,,
6,1680466259578,02/04/2023 20:10:59,1680451859578,-4,02/04/2023 12:10:59,128679,4,task-ysnv,,28612499,BLIND,8514894,,complete,,617dfa48-1762-4761-85c4-107bbca04d0d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x746,,ImplicitDecisionAdventureTask_3opts,12,WF_InGrp,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,2017.6779999761566,2012.1749999999956,2017.6779999761566,2017.6779999761566,2012.1749999999956,2017.6779999761566,1,0,2017.6779999761566,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Becky,Emma,,,,,,,,,,Sam,,,,,
7,1680466259652,02/04/2023 20:10:59,1680451859652,-4,02/04/2023 12:10:59,128679,4,task-ysnv,,28612499,BLIND,8514894,,complete,,617dfa48-1762-4761-85c4-107bbca04d0d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x746,,ImplicitDecisionAdventureTask_3opts,12,WF_InGrp,1,ScenarioIntro,ScenarioIntro,ghavr7,1,response,Next,79.50299997616094,66.41100000000006,79.50299997616094,79.50299997616094,66.41100000000006,79.50299997616094,1,0,79.50299997616094,0,0,,Click Response,Continue Button,2,object-62,ScenarioIntro,,,"<em>Two famous archaeologists have discovered a series of underground passageways leading to an ancient civilization. The duo packed their bags full of necessary supplies, turned on their headlights, and crawled into the hole that led to an underground structure. ",,,,,,,,,Sam,,,,,
8,1680466275366,02/04/2023 20:11:15,1680451875366,-4,02/04/2023 12:11:15,128679,4,task-ysnv,,28612499,BLIND,8514894,,complete,,617dfa48-1762-4761-85c4-107bbca04d0d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x746,,ImplicitDecisionAdventureTask_3opts,12,WF_InGrp,1,Trial/Encounter,EncounterIntro,wtupv3,1,continue,,3786.1359999046326,3775.142,3786.1359999046326,3786.1359999046326,3775.142,3786.1359999046326,1,0,3786.1359999046326,0,0,,Click To Continue,Continue Button,2,object-65,Trial/Encounter,,,,<em>The duo tie a rope and climb down.,"<em>Before proceeding, <b>Emma</b> rubs their hand along the ground to check for traps.",<em><b>Emma</b> triggers a pressure plate. A hidden passage leading forward opens up in front of her.,<em><b>Emma</b> finds no traps so she decides it is safe to continue forward.,<em><b>Emma</b> touches the ground triggering a pressure plate. This releases a boulder which falls grazing her shoulder dealing damage.,6687,,,Sam,,,,,
9,1680466284271,02/04/2023 20:11:24,1680451884271,-4,02/04/2023 12:11:24,128679,4,task-ysnv,,28612499,BLIND,8514894,,complete,,617dfa48-1762-4761-85c4-107bbca04d0d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x746,,ImplicitDecisionAdventureTask_3opts,12,WF_InGrp,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6686.307999928475,6685.382000000005,6686.307999928475,6686.307999928475,6685.382000000005,6686.307999928475,1,0,6686.307999928475,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,<em>The duo tie a rope and climb down.,"<em>Before proceeding, <b>Emma</b> rubs their hand along the ground to check for traps.",<em><b>Emma</b> triggers a pressure plate. A hidden passage leading forward opens up in front of her.,<em><b>Emma</b> finds no traps so she decides it is safe to continue forward.,<em><b>Emma</b> touches the ground triggering a pressure plate. This releases a boulder which falls grazing her shoulder dealing damage.,6687,,,Sam,,,,,
10,1680466289143,02/04/2023 20:11:29,1680451889143,-4,02/04/2023 12:11:29,128679,4,task-ysnv,,28612499,BLIND,8514894,,complete,,617dfa48-1762-4761-85c4-107bbca04d0d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x746,,ImplicitDecisionAdventureTask_3opts,12,WF_InGrp,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Neutral,4868.9259999284695,4856.32699999999,4868.9259999284695,4868.9259999284695,4856.32699999999,4868.9259999284695,1,0,4868.9259999284695,0,0,decision,Click Response,NeutralButton,3,object-90,Trial/Encounter,,,,<em>The duo tie a rope and climb down.,"<em>Before proceeding, <b>Emma</b> rubs their hand along the ground to check for traps.",<em><b>Emma</b> triggers a pressure plate. A hidden passage leading forward opens up in front of her.,<em><b>Emma</b> finds no traps so she decides it is safe to continue forward.,<em><b>Emma</b> touches the ground triggering a pressure plate. This releases a boulder which falls grazing her shoulder dealing damage.,6687,,,Sam,,,,,Neutral
