Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1680452188504,02/04/2023 16:16:28,1680452188515,-4,02/04/2023 12:16:28,128679,4,questionnaire-pv78,,28612681,BLIND,8514894,,complete,,617dfa48-1762-4761-85c4-107bbca04d0d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x746,,Exit Questions / Debriefing,5,No,BEGIN QUESTIONNAIRE,
2,1680452247471,02/04/2023 16:17:27,1680452247494,-4,02/04/2023 12:17:27,128679,4,questionnaire-pv78,,28612681,BLIND,8514894,,complete,,617dfa48-1762-4761-85c4-107bbca04d0d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x746,,Exit Questions / Debriefing,5,No,ImmsersionSlider,-1
3,1680452247631,02/04/2023 16:17:27,1680452247495,-4,02/04/2023 12:17:27,128679,4,questionnaire-pv78,,28612681,BLIND,8514894,,complete,,617dfa48-1762-4761-85c4-107bbca04d0d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x746,,Exit Questions / Debriefing,5,No,ExitQ_Immersion,Add some visuals
4,1680452247631,02/04/2023 16:17:27,1680452247495,-4,02/04/2023 12:17:27,128679,4,questionnaire-pv78,,28612681,BLIND,8514894,,complete,,617dfa48-1762-4761-85c4-107bbca04d0d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x746,,Exit Questions / Debriefing,5,No,ExitQ_SettingCheck,Underground
5,1680452247631,02/04/2023 16:17:27,1680452247495,-4,02/04/2023 12:17:27,128679,4,questionnaire-pv78,,28612681,BLIND,8514894,,complete,,617dfa48-1762-4761-85c4-107bbca04d0d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x746,,Exit Questions / Debriefing,5,No,ExitQ_PlayAgain,Becky
6,1680452247631,02/04/2023 16:17:27,1680452247495,-4,02/04/2023 12:17:27,128679,4,questionnaire-pv78,,28612681,BLIND,8514894,,complete,,617dfa48-1762-4761-85c4-107bbca04d0d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x746,,Exit Questions / Debriefing,5,No,ExitQ_PlayFeeling,Neutral
7,1680452247631,02/04/2023 16:17:27,1680452247495,-4,02/04/2023 12:17:27,128679,4,questionnaire-pv78,,28612681,BLIND,8514894,,complete,,617dfa48-1762-4761-85c4-107bbca04d0d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x746,,Exit Questions / Debriefing,5,No,ExitQ_PlayDecisions,Yes
8,1680452247631,02/04/2023 16:17:27,1680452247495,-4,02/04/2023 12:17:27,128679,4,questionnaire-pv78,,28612681,BLIND,8514894,,complete,,617dfa48-1762-4761-85c4-107bbca04d0d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x746,,Exit Questions / Debriefing,5,No,Debriefing,Yes
9,1680452247631,02/04/2023 16:17:27,1680452247495,-4,02/04/2023 12:17:27,128679,4,questionnaire-pv78,,28612681,BLIND,8514894,,complete,,617dfa48-1762-4761-85c4-107bbca04d0d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x746,,Exit Questions / Debriefing,5,No,Debriefing-quantised,1
10,1680452247631,02/04/2023 16:17:27,1680452247495,-4,02/04/2023 12:17:27,128679,4,questionnaire-pv78,,28612681,BLIND,8514894,,complete,,617dfa48-1762-4761-85c4-107bbca04d0d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x746,,Exit Questions / Debriefing,5,No,Feedback,no
11,1680452247631,02/04/2023 16:17:27,1680452247495,-4,02/04/2023 12:17:27,128679,4,questionnaire-pv78,,28612681,BLIND,8514894,,complete,,617dfa48-1762-4761-85c4-107bbca04d0d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x746,,Exit Questions / Debriefing,5,No,END QUESTIONNAIRE,58980
1,1680452230932,02/04/2023 16:17:10,1680452230795,-6,02/04/2023 10:17:10,128679,4,questionnaire-pv78,,28612697,BLIND,8514904,,complete,,133b816c-f546-435c-8d07-d9b5aff530a6,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,,Exit Questions / Debriefing,5,No,BEGIN QUESTIONNAIRE,
2,1680452420750,02/04/2023 16:20:20,1680452420654,-6,02/04/2023 10:20:20,128679,4,questionnaire-pv78,,28612697,BLIND,8514904,,complete,,133b816c-f546-435c-8d07-d9b5aff530a6,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,,Exit Questions / Debriefing,5,No,ImmsersionSlider,1
3,1680452421040,02/04/2023 16:20:21,1680452420656,-6,02/04/2023 10:20:20,128679,4,questionnaire-pv78,,28612697,BLIND,8514904,,complete,,133b816c-f546-435c-8d07-d9b5aff530a6,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,,Exit Questions / Debriefing,5,No,ExitQ_Immersion,It would have been cool to have some pictures to go along with it.
4,1680452421040,02/04/2023 16:20:21,1680452420656,-6,02/04/2023 10:20:20,128679,4,questionnaire-pv78,,28612697,BLIND,8514904,,complete,,133b816c-f546-435c-8d07-d9b5aff530a6,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,,Exit Questions / Debriefing,5,No,ExitQ_SettingCheck,"It was in an ancient cave type place, I think."
5,1680452421040,02/04/2023 16:20:21,1680452420656,-6,02/04/2023 10:20:20,128679,4,questionnaire-pv78,,28612697,BLIND,8514904,,complete,,133b816c-f546-435c-8d07-d9b5aff530a6,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,,Exit Questions / Debriefing,5,No,ExitQ_PlayAgain,"Becky, because she attacked the skeleton while Emma hid from them."
6,1680452421040,02/04/2023 16:20:21,1680452420656,-6,02/04/2023 10:20:20,128679,4,questionnaire-pv78,,28612697,BLIND,8514904,,complete,,133b816c-f546-435c-8d07-d9b5aff530a6,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,,Exit Questions / Debriefing,5,No,ExitQ_PlayFeeling,"I thought they were both pretty good, other than Emma hiding from the skeleton. She should have fought it like Becky did."
7,1680452421040,02/04/2023 16:20:21,1680452420656,-6,02/04/2023 10:20:20,128679,4,questionnaire-pv78,,28612697,BLIND,8514904,,complete,,133b816c-f546-435c-8d07-d9b5aff530a6,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,,Exit Questions / Debriefing,5,No,ExitQ_PlayDecisions,"I thought so, maybe they were a bit under-cautious because they just touched and grabbed everything without thinking or talking about it first."
8,1680452421040,02/04/2023 16:20:21,1680452420657,-6,02/04/2023 10:20:20,128679,4,questionnaire-pv78,,28612697,BLIND,8514904,,complete,,133b816c-f546-435c-8d07-d9b5aff530a6,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,,Exit Questions / Debriefing,5,No,Debriefing,Yes
9,1680452421040,02/04/2023 16:20:21,1680452420657,-6,02/04/2023 10:20:20,128679,4,questionnaire-pv78,,28612697,BLIND,8514904,,complete,,133b816c-f546-435c-8d07-d9b5aff530a6,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,,Exit Questions / Debriefing,5,No,Debriefing-quantised,1
10,1680452421040,02/04/2023 16:20:21,1680452420657,-6,02/04/2023 10:20:20,128679,4,questionnaire-pv78,,28612697,BLIND,8514904,,complete,,133b816c-f546-435c-8d07-d9b5aff530a6,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,,Exit Questions / Debriefing,5,No,Feedback,No
11,1680452421040,02/04/2023 16:20:21,1680452420657,-6,02/04/2023 10:20:20,128679,4,questionnaire-pv78,,28612697,BLIND,8514904,,complete,,133b816c-f546-435c-8d07-d9b5aff530a6,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x969,,Exit Questions / Debriefing,5,No,END QUESTIONNAIRE,189862
1,1680452231197,02/04/2023 16:17:11,1680452231623,-4,02/04/2023 12:17:11,128679,4,questionnaire-pv78,,28612699,BLIND,8514911,,complete,,43f921f7-daed-40ea-bca1-e38ec5e22aba,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1080x1920,1047x811,,Exit Questions / Debriefing,5,No,BEGIN QUESTIONNAIRE,
2,1680452339481,02/04/2023 16:18:59,1680452339976,-4,02/04/2023 12:18:59,128679,4,questionnaire-pv78,,28612699,BLIND,8514911,,complete,,43f921f7-daed-40ea-bca1-e38ec5e22aba,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1080x1920,1047x811,,Exit Questions / Debriefing,5,No,ImmsersionSlider,1
3,1680452339649,02/04/2023 16:18:59,1680452339978,-4,02/04/2023 12:18:59,128679,4,questionnaire-pv78,,28612699,BLIND,8514911,,complete,,43f921f7-daed-40ea-bca1-e38ec5e22aba,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1080x1920,1047x811,,Exit Questions / Debriefing,5,No,ExitQ_Immersion,Some pictures to go along with the story might be good
4,1680452339649,02/04/2023 16:18:59,1680452339978,-4,02/04/2023 12:18:59,128679,4,questionnaire-pv78,,28612699,BLIND,8514911,,complete,,43f921f7-daed-40ea-bca1-e38ec5e22aba,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1080x1920,1047x811,,Exit Questions / Debriefing,5,No,ExitQ_SettingCheck,A cave-like place at an archeology site
5,1680452339649,02/04/2023 16:18:59,1680452339978,-4,02/04/2023 12:18:59,128679,4,questionnaire-pv78,,28612699,BLIND,8514911,,complete,,43f921f7-daed-40ea-bca1-e38ec5e22aba,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1080x1920,1047x811,,Exit Questions / Debriefing,5,No,ExitQ_PlayAgain,no preference
6,1680452339649,02/04/2023 16:18:59,1680452339978,-4,02/04/2023 12:18:59,128679,4,questionnaire-pv78,,28612699,BLIND,8514911,,complete,,43f921f7-daed-40ea-bca1-e38ec5e22aba,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1080x1920,1047x811,,Exit Questions / Debriefing,5,No,ExitQ_PlayFeeling,I felt fairly neutral. I didn't feel strongly in any way about either one of them
7,1680452339649,02/04/2023 16:18:59,1680452339978,-4,02/04/2023 12:18:59,128679,4,questionnaire-pv78,,28612699,BLIND,8514911,,complete,,43f921f7-daed-40ea-bca1-e38ec5e22aba,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1080x1920,1047x811,,Exit Questions / Debriefing,5,No,ExitQ_PlayDecisions,Yes
