Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome
1,1680476820318,02/04/2023 23:07:00,1680451620318,-7,02/04/2023 09:07:00,128678,3,task-unsm,,28612411,BLIND,8514861,,complete,,5c169aba-e67f-4ce4-aab0-b7aacb38d6fb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1470x956,980x507,,ImplicitDecisionAdventureTask_2opts,3,WM_AxGrp,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1680476838393,02/04/2023 23:07:18,1680451638393,-7,02/04/2023 09:07:18,128678,3,task-unsm,,28612411,BLIND,8514861,,complete,,5c169aba-e67f-4ce4-aab0-b7aacb38d6fb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1470x956,1470x760,,ImplicitDecisionAdventureTask_2opts,3,WM_AxGrp,1,Instructions,Instructions,cdub9g,1,timedOut,,18003.933999999255,17999.919,18003.933999999255,18003.933999999255,17999.919,18003.933999999255,1,0,18003.933999999255,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,,
3,1680476842246,02/04/2023 23:07:22,1680451642246,-7,02/04/2023 09:07:22,128678,3,task-unsm,,28612411,BLIND,8514861,,complete,,5c169aba-e67f-4ce4-aab0-b7aacb38d6fb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1470x956,1470x760,,ImplicitDecisionAdventureTask_2opts,3,WM_AxGrp,1,Instructions,Name,nn5ntg,2,response,Justin,2066.583999999999,3849.8459999999977,3856.215000000371,2066.583999999999,3849.8459999999977,3856.215000000371,1,0,2066.583999999999,1789.6310000003723,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,Justin,,,,,
4,1680476844240,02/04/2023 23:07:24,1680451644240,-7,02/04/2023 09:07:24,128678,3,task-unsm,,28612411,BLIND,8514861,,complete,,5c169aba-e67f-4ce4-aab0-b7aacb38d6fb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1470x956,1470x760,,ImplicitDecisionAdventureTask_2opts,3,WM_AxGrp,1,Instructions,Delay,7riscs,3,timedOut,,2001.668999999256,1999.920000000002,2001.668999999256,2001.668999999256,1999.920000000002,2001.668999999256,1,0,2001.668999999256,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,Justin,,,,,
5,1680476859239,02/04/2023 23:07:39,1680451659239,-7,02/04/2023 09:07:39,128678,3,task-unsm,,28612411,BLIND,8514861,,complete,,5c169aba-e67f-4ce4-aab0-b7aacb38d6fb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1470x956,2205x1140,,ImplicitDecisionAdventureTask_2opts,3,WM_AxGrp,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,15001.148999999627,14999.750999999997,15001.148999999627,15001.148999999627,14999.750999999997,15001.148999999627,1,0,15001.148999999627,0,0,,Time Limit,screen,0,screen,LoadingScreen,Jack,Jamal,,,,,,,,,,Justin,,,,,
6,1680476861462,02/04/2023 23:07:41,1680451661462,-7,02/04/2023 09:07:41,128678,3,task-unsm,,28612411,BLIND,8514861,,complete,,5c169aba-e67f-4ce4-aab0-b7aacb38d6fb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1470x956,2205x1140,,ImplicitDecisionAdventureTask_2opts,3,WM_AxGrp,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,2224.89799999963,2216.5780000000013,2224.89799999963,2224.89799999963,2216.5780000000013,2224.89799999963,1,0,2224.89799999963,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Jack,Jamal,,,,,,,,,,Justin,,,,,
7,1680476872526,02/04/2023 23:07:52,1680451672526,-7,02/04/2023 09:07:52,128678,3,task-unsm,,28612411,BLIND,8514861,,complete,,5c169aba-e67f-4ce4-aab0-b7aacb38d6fb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1470x956,2205x1140,,ImplicitDecisionAdventureTask_2opts,3,WM_AxGrp,1,ScenarioIntro,ScenarioIntro,ghavr7,1,response,Next,11066.604,11049.938000000002,11066.604,11066.604,11049.938000000002,11066.604,1,0,11066.604,0,0,,Click Response,Continue Button,2,object-62,ScenarioIntro,,,"<em>Two famous archaeologists have discovered a series of underground passageways leading to an ancient civilization. The duo packed their bags full of necessary supplies, turned on their headlights, and crawled into the hole that led to an underground structure. ",,,,,,,,,Justin,,,,,
8,1680476877543,02/04/2023 23:07:57,1680451677543,-7,02/04/2023 09:07:57,128678,3,task-unsm,,28612411,BLIND,8514861,,complete,,5c169aba-e67f-4ce4-aab0-b7aacb38d6fb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1470x956,2205x1140,,ImplicitDecisionAdventureTask_2opts,3,WM_AxGrp,1,Trial/Encounter,EncounterIntro,wtupv3,1,continue,,4089.419999999627,4083.6730000000025,4089.419999999627,4089.419999999627,4083.6730000000025,4089.419999999627,1,0,4089.419999999627,0,0,,Click To Continue,Continue Button,2,object-65,Trial/Encounter,,,,<em>The duo tie a rope and climb down.,"<em>Before proceeding, <b>Jamal</b> rubs their hand along the ground to check for traps.",<em><b>Jamal</b> triggers a pressure plate. A hidden passage leading forward opens up in front of him.,<em><b>Jamal</b> finds no traps so he decides it is safe to continue forward.,<em><b>Jamal</b> touches the ground triggering a pressure plate. This releases a boulder which falls grazing his shoulder dealing damage.,6687,,,Justin,,,,,
9,1680476886141,02/04/2023 23:08:06,1680451686141,-7,02/04/2023 09:08:06,128678,3,task-unsm,,28612411,BLIND,8514861,,complete,,5c169aba-e67f-4ce4-aab0-b7aacb38d6fb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1470x956,2205x1140,,ImplicitDecisionAdventureTask_2opts,3,WM_AxGrp,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6687.357000000746,6683.387000000002,6687.357000000746,6687.357000000746,6683.387000000002,6687.357000000746,1,0,6687.357000000746,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,<em>The duo tie a rope and climb down.,"<em>Before proceeding, <b>Jamal</b> rubs their hand along the ground to check for traps.",<em><b>Jamal</b> triggers a pressure plate. A hidden passage leading forward opens up in front of him.,<em><b>Jamal</b> finds no traps so he decides it is safe to continue forward.,<em><b>Jamal</b> touches the ground triggering a pressure plate. This releases a boulder which falls grazing his shoulder dealing damage.,6687,,,Justin,,,,,
10,1680476891438,02/04/2023 23:08:11,1680451691438,-7,02/04/2023 09:08:11,128678,3,task-unsm,,28612411,BLIND,8514861,,complete,,5c169aba-e67f-4ce4-aab0-b7aacb38d6fb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1470x956,2205x1140,,ImplicitDecisionAdventureTask_2opts,3,WM_AxGrp,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,5299.788000000015,5283.122000000003,5299.788000000015,5299.788000000015,5283.122000000003,5299.788000000015,1,0,5299.788000000015,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,<em>The duo tie a rope and climb down.,"<em>Before proceeding, <b>Jamal</b> rubs their hand along the ground to check for traps.",<em><b>Jamal</b> triggers a pressure plate. A hidden passage leading forward opens up in front of him.,<em><b>Jamal</b> finds no traps so he decides it is safe to continue forward.,<em><b>Jamal</b> touches the ground triggering a pressure plate. This releases a boulder which falls grazing his shoulder dealing damage.,6687,,,Justin,,,,,Reward
11,1680476896613,02/04/2023 23:08:16,1680451696613,-7,02/04/2023 09:08:16,128678,3,task-unsm,,28612411,BLIND,8514861,,complete,,5c169aba-e67f-4ce4-aab0-b7aacb38d6fb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1470x956,2205x1140,,ImplicitDecisionAdventureTask_2opts,3,WM_AxGrp,1,Trial/Encounter,Reward,56azq1,4,continue,,5192.74799999925,5183.434999999998,5192.74799999925,5192.74799999925,5183.434999999998,5192.74799999925,1,0,5192.74799999925,0,0,,Click To Continue,Continue Button,2,object-73,Trial/Encounter,,,,<em>The duo tie a rope and climb down.,"<em>Before proceeding, <b>Jamal</b> rubs their hand along the ground to check for traps.",<em><b>Jamal</b> triggers a pressure plate. A hidden passage leading forward opens up in front of him.,<em><b>Jamal</b> finds no traps so he decides it is safe to continue forward.,<em><b>Jamal</b> touches the ground triggering a pressure plate. This releases a boulder which falls grazing his shoulder dealing damage.,6687,,,Justin,,,,,Reward
12,1680476899945,02/04/2023 23:08:19,1680451699945,-7,02/04/2023 09:08:19,128678,3,task-unsm,,28612411,BLIND,8514861,,complete,,5c169aba-e67f-4ce4-aab0-b7aacb38d6fb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1470x956,2205x1140,,ImplicitDecisionAdventureTask_2opts,3,WM_AxGrp,1,Trial/Encounter,trialEnd,olwm64,5,continue,,1524.4190000003728,1516.6059999999998,1524.4190000003728,1524.4190000003728,1516.6059999999998,1524.4190000003728,1,0,1524.4190000003728,0,0,,Click To Continue,Continue Button,2,object-89,Trial/Encounter,,,,<em>The duo tie a rope and climb down.,"<em>Before proceeding, <b>Jamal</b> rubs their hand along the ground to check for traps.",<em><b>Jamal</b> triggers a pressure plate. A hidden passage leading forward opens up in front of him.,<em><b>Jamal</b> finds no traps so he decides it is safe to continue forward.,<em><b>Jamal</b> touches the ground triggering a pressure plate. This releases a boulder which falls grazing his shoulder dealing damage.,6687,,,Justin,,,,,Reward
13,1680476903037,02/04/2023 23:08:23,1680451703037,-7,02/04/2023 09:08:23,128678,3,task-unsm,,28612411,BLIND,8514861,,complete,,5c169aba-e67f-4ce4-aab0-b7aacb38d6fb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1470x956,2205x1140,,ImplicitDecisionAdventureTask_2opts,3,WM_AxGrp,2,Trial/Encounter,EncounterIntro,wtupv3,1,continue,,3099.512999999628,3083.2100000000064,3099.512999999628,3099.512999999628,3083.2100000000064,3099.512999999628,1,0,3099.512999999628,0,0,,Click To Continue,Continue Button,2,object-65,Trial/Encounter,,,,<em>The duo continues into a dark and narrow underground cave.,<em><b>Jack</b> turns on their flashlight to illuminate the way forward. ,<em><b>Jack’s</b> light illuminates a gemstone vein along the cavern wall. He chips off and adds a few gemstones to their pack.,<em><b>Jack</b> uses the light to make it easier for him to continue forward with no issues.,"<em> The light disturbs a flock of bats, which fly past <b>Jack</b> causing him to drop several rations from their pack.",6927.9,,,Justin,,,,,Reward
14,1680476912871,02/04/2023 23:08:32,1680451712871,-7,02/04/2023 09:08:32,128678,3,task-unsm,,28612411,BLIND,8514861,,complete,,5c169aba-e67f-4ce4-aab0-b7aacb38d6fb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1470x956,2205x1140,,ImplicitDecisionAdventureTask_2opts,3,WM_AxGrp,2,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6934.653000000006,6933.3810000000085,6934.653000000006,6934.653000000006,6933.3810000000085,6934.653000000006,1,0,6934.653000000006,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,<em>The duo continues into a dark and narrow underground cave.,<em><b>Jack</b> turns on their flashlight to illuminate the way forward. ,<em><b>Jack’s</b> light illuminates a gemstone vein along the cavern wall. He chips off and adds a few gemstones to their pack.,<em><b>Jack</b> uses the light to make it easier for him to continue forward with no issues.,"<em> The light disturbs a flock of bats, which fly past <b>Jack</b> causing him to drop several rations from their pack.",6927.9,,,Justin,,,,,Reward
15,1680476916318,02/04/2023 23:08:36,1680451716318,-7,02/04/2023 09:08:36,128678,3,task-unsm,,28612411,BLIND,8514861,,complete,,5c169aba-e67f-4ce4-aab0-b7aacb38d6fb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1470x956,2205x1140,,ImplicitDecisionAdventureTask_2opts,3,WM_AxGrp,2,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,3447.471999999252,3433.1959999999963,3447.471999999252,3447.471999999252,3433.1959999999963,3447.471999999252,1,0,3447.471999999252,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,<em>The duo continues into a dark and narrow underground cave.,<em><b>Jack</b> turns on their flashlight to illuminate the way forward. ,<em><b>Jack’s</b> light illuminates a gemstone vein along the cavern wall. He chips off and adds a few gemstones to their pack.,<em><b>Jack</b> uses the light to make it easier for him to continue forward with no issues.,"<em> The light disturbs a flock of bats, which fly past <b>Jack</b> causing him to drop several rations from their pack.",6927.9,,,Justin,,,,,Reward
16,1680476921409,02/04/2023 23:08:41,1680451721409,-7,02/04/2023 09:08:41,128678,3,task-unsm,,28612411,BLIND,8514861,,complete,,5c169aba-e67f-4ce4-aab0-b7aacb38d6fb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1470x956,2205x1140,,ImplicitDecisionAdventureTask_2opts,3,WM_AxGrp,2,Trial/Encounter,Reward,56azq1,4,continue,,5106.076000000001,5099.796000000002,5106.076000000001,5106.076000000001,5099.796000000002,5106.076000000001,1,0,5106.076000000001,0,0,,Click To Continue,Continue Button,2,object-73,Trial/Encounter,,,,<em>The duo continues into a dark and narrow underground cave.,<em><b>Jack</b> turns on their flashlight to illuminate the way forward. ,<em><b>Jack’s</b> light illuminates a gemstone vein along the cavern wall. He chips off and adds a few gemstones to their pack.,<em><b>Jack</b> uses the light to make it easier for him to continue forward with no issues.,"<em> The light disturbs a flock of bats, which fly past <b>Jack</b> causing him to drop several rations from their pack.",6927.9,,,Justin,,,,,Reward
17,1680476924916,02/04/2023 23:08:44,1680451724916,-7,02/04/2023 09:08:44,128678,3,task-unsm,,28612411,BLIND,8514861,,complete,,5c169aba-e67f-4ce4-aab0-b7aacb38d6fb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1470x956,2205x1140,,ImplicitDecisionAdventureTask_2opts,3,WM_AxGrp,2,Trial/Encounter,trialEnd,olwm64,5,continue,,1613.0559999992547,1599.9360000000015,1613.0559999992547,1613.0559999992547,1599.9360000000015,1613.0559999992547,1,0,1613.0559999992547,0,0,,Click To Continue,Continue Button,2,object-89,Trial/Encounter,,,,<em>The duo continues into a dark and narrow underground cave.,<em><b>Jack</b> turns on their flashlight to illuminate the way forward. ,<em><b>Jack’s</b> light illuminates a gemstone vein along the cavern wall. He chips off and adds a few gemstones to their pack.,<em><b>Jack</b> uses the light to make it easier for him to continue forward with no issues.,"<em> The light disturbs a flock of bats, which fly past <b>Jack</b> causing him to drop several rations from their pack.",6927.9,,,Justin,,,,,Reward
