Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1680451601017,02/04/2023 16:06:41,1680451600759,-7,02/04/2023 09:06:40,128678,3,questionnaire-e4hl,,28612405,BLIND,8514861,,complete,,5c169aba-e67f-4ce4-aab0-b7aacb38d6fb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1470x956,980x507,,Demographic_Intake,6,No,BEGIN QUESTIONNAIRE,
2,1680451613177,02/04/2023 16:06:53,1680451612965,-7,02/04/2023 09:06:52,128678,3,questionnaire-e4hl,,28612405,BLIND,8514861,,complete,,5c169aba-e67f-4ce4-aab0-b7aacb38d6fb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1470x956,980x507,,Demographic_Intake,6,No,age,27
3,1680451613417,02/04/2023 16:06:53,1680451612966,-7,02/04/2023 09:06:52,128678,3,questionnaire-e4hl,,28612405,BLIND,8514861,,complete,,5c169aba-e67f-4ce4-aab0-b7aacb38d6fb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1470x956,980x507,,Demographic_Intake,6,No,gender,Male
4,1680451613417,02/04/2023 16:06:53,1680451612966,-7,02/04/2023 09:06:52,128678,3,questionnaire-e4hl,,28612405,BLIND,8514861,,complete,,5c169aba-e67f-4ce4-aab0-b7aacb38d6fb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1470x956,980x507,,Demographic_Intake,6,No,gender-quantised,1
5,1680451613417,02/04/2023 16:06:53,1680451612966,-7,02/04/2023 09:06:52,128678,3,questionnaire-e4hl,,28612405,BLIND,8514861,,complete,,5c169aba-e67f-4ce4-aab0-b7aacb38d6fb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1470x956,980x507,,Demographic_Intake,6,No,EngFluent,Yes
6,1680451613417,02/04/2023 16:06:53,1680451612966,-7,02/04/2023 09:06:52,128678,3,questionnaire-e4hl,,28612405,BLIND,8514861,,complete,,5c169aba-e67f-4ce4-aab0-b7aacb38d6fb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1470x956,980x507,,Demographic_Intake,6,No,EngFluent-quantised,1
7,1680451613417,02/04/2023 16:06:53,1680451612966,-7,02/04/2023 09:06:52,128678,3,questionnaire-e4hl,,28612405,BLIND,8514861,,complete,,5c169aba-e67f-4ce4-aab0-b7aacb38d6fb,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1470x956,980x507,,Demographic_Intake,6,No,END QUESTIONNAIRE,12207
1,1680451610022,02/04/2023 16:06:50,1680451609726,-6,02/04/2023 10:06:49,128678,3,questionnaire-e4hl,,28612409,BLIND,8514862,,complete,,e5ef8ea5-b964-4ba5-99f7-ee44e7c8a29e,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x947,,Demographic_Intake,6,No,BEGIN QUESTIONNAIRE,
2,1680451623139,02/04/2023 16:07:03,1680451622888,-6,02/04/2023 10:07:02,128678,3,questionnaire-e4hl,,28612409,BLIND,8514862,,complete,,e5ef8ea5-b964-4ba5-99f7-ee44e7c8a29e,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x947,,Demographic_Intake,6,No,age,52
3,1680451623320,02/04/2023 16:07:03,1680451622889,-6,02/04/2023 10:07:02,128678,3,questionnaire-e4hl,,28612409,BLIND,8514862,,complete,,e5ef8ea5-b964-4ba5-99f7-ee44e7c8a29e,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1920x1080,1920x947,,Demographic_Intake,6,No,gender,Male
