Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome
1,1680395897404,02/04/2023 00:38:17,1680381497404,-4,01/04/2023 16:38:17,116573,6,task-unsm,,28602446,BLIND,8511681,,complete,,4aab7c44-ce3d-41cd-a7ec-9dfae5be9c7d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,ImplicitDecisionAdventureTask_2opts,3,WM_InGrp,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1680395915944,02/04/2023 00:38:35,1680381515944,-4,01/04/2023 16:38:35,116573,6,task-unsm,,28602446,BLIND,8511681,,complete,,4aab7c44-ce3d-41cd-a7ec-9dfae5be9c7d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,ImplicitDecisionAdventureTask_2opts,3,WM_InGrp,1,Instructions,Instructions,cdub9g,1,timedOut,,18005.99099997616,18004.091,18005.99099997616,18005.99099997616,18004.091,18005.99099997616,1,0,18005.99099997616,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,,
3,1680395925289,02/04/2023 00:38:45,1680381525289,-4,01/04/2023 16:38:45,116573,6,task-unsm,,28602446,BLIND,8511681,,complete,,4aab7c44-ce3d-41cd-a7ec-9dfae5be9c7d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,ImplicitDecisionAdventureTask_2opts,3,WM_InGrp,1,Instructions,Name,nn5ntg,2,response,Jay,4417.4569999999985,9305.223000000002,9321.862000000005,4417.4569999999985,9305.223000000002,9321.862000000005,1,0,4417.4569999999985,4904.405000000006,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,Jay,,,,,
4,1680395927250,02/04/2023 00:38:47,1680381527250,-4,01/04/2023 16:38:47,116573,6,task-unsm,,28602446,BLIND,8511681,,complete,,4aab7c44-ce3d-41cd-a7ec-9dfae5be9c7d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,ImplicitDecisionAdventureTask_2opts,3,WM_InGrp,1,Instructions,Delay,7riscs,3,timedOut,,2003.7769999999982,2001.9399999999987,2003.7769999999982,2003.7769999999982,2001.9399999999987,2003.7769999999982,1,0,2003.7769999999982,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,Jay,,,,,
5,1680395942242,02/04/2023 00:39:02,1680381542242,-4,01/04/2023 16:39:02,116573,6,task-unsm,,28602446,BLIND,8511681,,complete,,4aab7c44-ce3d-41cd-a7ec-9dfae5be9c7d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,ImplicitDecisionAdventureTask_2opts,3,WM_InGrp,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,14994.037000047683,14992.116000000002,14994.037000047683,14994.037000047683,14992.116000000002,14994.037000047683,1,0,14994.037000047683,0,0,,Time Limit,screen,0,screen,LoadingScreen,Jack,Sam,,,,,,,,,,Jay,,,,,
6,1680395948893,02/04/2023 00:39:08,1680381548893,-4,01/04/2023 16:39:08,116573,6,task-unsm,,28602446,BLIND,8511681,,complete,,4aab7c44-ce3d-41cd-a7ec-9dfae5be9c7d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,ImplicitDecisionAdventureTask_2opts,3,WM_InGrp,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,6643.642,6627.002999999997,6643.642,6643.642,6627.002999999997,6643.642,1,0,6643.642,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Jack,Sam,,,,,,,,,,Jay,,,,,
7,1680395960870,02/04/2023 00:39:20,1680381560870,-4,01/04/2023 16:39:20,116573,6,task-unsm,,28602446,BLIND,8511681,,complete,,4aab7c44-ce3d-41cd-a7ec-9dfae5be9c7d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,ImplicitDecisionAdventureTask_2opts,3,WM_InGrp,1,ScenarioIntro,ScenarioIntro,ghavr7,1,timedOut,,12002.718,12000.992999999995,12002.718,12002.718,12000.992999999995,12002.718,1,0,12002.718,0,0,,Time Limit,screen,0,screen,ScenarioIntro,,,"<em>Two famous archaeologists have discovered a series of underground passageways leading to an ancient civilization. The duo packed their bags full of necessary supplies, turned on their headlights, and crawled into the hole that led to an underground structure. ",,,,,,,,,Jay,,,,,
8,1680395966868,02/04/2023 00:39:26,1680381566868,-4,01/04/2023 16:39:26,116573,6,task-unsm,,28602446,BLIND,8511681,,complete,,4aab7c44-ce3d-41cd-a7ec-9dfae5be9c7d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,ImplicitDecisionAdventureTask_2opts,3,WM_InGrp,1,Trial/Encounter,EncounterIntro,wtupv3,1,timedOut,,6000.225000000006,5998.927000000011,6000.225000000006,6000.225000000006,5998.927000000011,6000.225000000006,1,0,6000.225000000006,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,<em>The duo tie a rope and climb down.,"<em>Before proceeding, <b>Sam</b> rubs their hand along the ground to check for traps.",<em><b>Sam</b> triggers a pressure plate. A hidden passage leading forward opens up in front of him.,<em><b>Sam</b> finds no traps so he decides it is safe to continue forward.,<em><b>Sam</b> touches the ground triggering a pressure plate. This releases a boulder which falls grazing his shoulder dealing damage.,6687,,,Jay,,,,,
9,1680395973559,02/04/2023 00:39:33,1680381573559,-4,01/04/2023 16:39:33,116573,6,task-unsm,,28602446,BLIND,8511681,,complete,,4aab7c44-ce3d-41cd-a7ec-9dfae5be9c7d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,ImplicitDecisionAdventureTask_2opts,3,WM_InGrp,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6692.0979999523115,6690.061999999991,6692.0979999523115,6692.0979999523115,6690.061999999991,6692.0979999523115,1,0,6692.0979999523115,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,<em>The duo tie a rope and climb down.,"<em>Before proceeding, <b>Sam</b> rubs their hand along the ground to check for traps.",<em><b>Sam</b> triggers a pressure plate. A hidden passage leading forward opens up in front of him.,<em><b>Sam</b> finds no traps so he decides it is safe to continue forward.,<em><b>Sam</b> touches the ground triggering a pressure plate. This releases a boulder which falls grazing his shoulder dealing damage.,6687,,,Jay,,,,,
10,1680395979117,02/04/2023 00:39:39,1680381579117,-4,01/04/2023 16:39:39,116573,6,task-unsm,,28602446,BLIND,8511681,,complete,,4aab7c44-ce3d-41cd-a7ec-9dfae5be9c7d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,ImplicitDecisionAdventureTask_2opts,3,WM_InGrp,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,5557.535999952321,5541.122000000003,5557.535999952321,5557.535999952321,5541.122000000003,5557.535999952321,1,0,5557.535999952321,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,<em>The duo tie a rope and climb down.,"<em>Before proceeding, <b>Sam</b> rubs their hand along the ground to check for traps.",<em><b>Sam</b> triggers a pressure plate. A hidden passage leading forward opens up in front of him.,<em><b>Sam</b> finds no traps so he decides it is safe to continue forward.,<em><b>Sam</b> touches the ground triggering a pressure plate. This releases a boulder which falls grazing his shoulder dealing damage.,6687,,,Jay,,,,,Reward
