Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1680381478532,01/04/2023 20:37:58,1680381478947,-4,01/04/2023 16:37:58,116573,6,questionnaire-e4hl,,28602441,BLIND,8511681,,complete,,4aab7c44-ce3d-41cd-a7ec-9dfae5be9c7d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Demographic_Intake,6,No,BEGIN QUESTIONNAIRE,
2,1680381491371,01/04/2023 20:38:11,1680381491777,-4,01/04/2023 16:38:11,116573,6,questionnaire-e4hl,,28602441,BLIND,8511681,,complete,,4aab7c44-ce3d-41cd-a7ec-9dfae5be9c7d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Demographic_Intake,6,No,age,43
3,1680381491661,01/04/2023 20:38:11,1680381491781,-4,01/04/2023 16:38:11,116573,6,questionnaire-e4hl,,28602441,BLIND,8511681,,complete,,4aab7c44-ce3d-41cd-a7ec-9dfae5be9c7d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Demographic_Intake,6,No,gender,Male
4,1680381491661,01/04/2023 20:38:11,1680381491783,-4,01/04/2023 16:38:11,116573,6,questionnaire-e4hl,,28602441,BLIND,8511681,,complete,,4aab7c44-ce3d-41cd-a7ec-9dfae5be9c7d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Demographic_Intake,6,No,gender-quantised,1
5,1680381491661,01/04/2023 20:38:11,1680381491784,-4,01/04/2023 16:38:11,116573,6,questionnaire-e4hl,,28602441,BLIND,8511681,,complete,,4aab7c44-ce3d-41cd-a7ec-9dfae5be9c7d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Demographic_Intake,6,No,EngFluent,Yes
6,1680381491661,01/04/2023 20:38:11,1680381491785,-4,01/04/2023 16:38:11,116573,6,questionnaire-e4hl,,28602441,BLIND,8511681,,complete,,4aab7c44-ce3d-41cd-a7ec-9dfae5be9c7d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Demographic_Intake,6,No,EngFluent-quantised,1
7,1680381491661,01/04/2023 20:38:11,1680381491785,-4,01/04/2023 16:38:11,116573,6,questionnaire-e4hl,,28602441,BLIND,8511681,,complete,,4aab7c44-ce3d-41cd-a7ec-9dfae5be9c7d,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1366x768,1366x625,,Demographic_Intake,6,No,END QUESTIONNAIRE,12838
1,1680382053780,01/04/2023 20:47:33,1680382054131,-7,01/04/2023 13:47:34,116573,6,questionnaire-e4hl,,28602554,BLIND,8511710,,complete,,d7d68a90-09bc-4e07-b4e8-4200eb44ee32,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1080,2560x929,,Demographic_Intake,6,No,BEGIN QUESTIONNAIRE,
2,1680382060689,01/04/2023 20:47:40,1680382061059,-7,01/04/2023 13:47:41,116573,6,questionnaire-e4hl,,28602554,BLIND,8511710,,complete,,d7d68a90-09bc-4e07-b4e8-4200eb44ee32,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1080,2560x929,,Demographic_Intake,6,No,age,28
3,1680382060855,01/04/2023 20:47:40,1680382061060,-7,01/04/2023 13:47:41,116573,6,questionnaire-e4hl,,28602554,BLIND,8511710,,complete,,d7d68a90-09bc-4e07-b4e8-4200eb44ee32,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,2560x1080,2560x929,,Demographic_Intake,6,No,gender,Male
