Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1680459156184,02/04/2023 18:12:36,1680459156965,-4,02/04/2023 14:12:36,128682,3,questionnaire-pv78,,28614579,BLIND,8515548,,complete,,1da2c5ae-7ea6-40af-ae36-c5a96334f0b1,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Exit Questions / Debriefing,5,No,BEGIN QUESTIONNAIRE,
2,1680459291987,02/04/2023 18:14:51,1680459292808,-4,02/04/2023 14:14:52,128682,3,questionnaire-pv78,,28614579,BLIND,8515548,,complete,,1da2c5ae-7ea6-40af-ae36-c5a96334f0b1,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Exit Questions / Debriefing,5,No,ImmsersionSlider,3
3,1680459292191,02/04/2023 18:14:52,1680459292809,-4,02/04/2023 14:14:52,128682,3,questionnaire-pv78,,28614579,BLIND,8515548,,complete,,1da2c5ae-7ea6-40af-ae36-c5a96334f0b1,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Exit Questions / Debriefing,5,No,ExitQ_Immersion,I liked the scenarios presented and any situation that can be neutral going in is interesting to consider a punishment or reward (I like this flexibility).
4,1680459292191,02/04/2023 18:14:52,1680459292809,-4,02/04/2023 14:14:52,128682,3,questionnaire-pv78,,28614579,BLIND,8515548,,complete,,1da2c5ae-7ea6-40af-ae36-c5a96334f0b1,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Exit Questions / Debriefing,5,No,ExitQ_SettingCheck,A cavern/dungeon with skeletons and a vast put.
5,1680459292191,02/04/2023 18:14:52,1680459292809,-4,02/04/2023 14:14:52,128682,3,questionnaire-pv78,,28614579,BLIND,8515548,,complete,,1da2c5ae-7ea6-40af-ae36-c5a96334f0b1,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Exit Questions / Debriefing,5,No,ExitQ_PlayAgain,Jamal
6,1680459292191,02/04/2023 18:14:52,1680459292809,-4,02/04/2023 14:14:52,128682,3,questionnaire-pv78,,28614579,BLIND,8515548,,complete,,1da2c5ae-7ea6-40af-ae36-c5a96334f0b1,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Exit Questions / Debriefing,5,No,ExitQ_PlayFeeling,"I did not necessarily dislike one more than the other, and enjoyed taking part in their adventure with them in an interactive way."
7,1680459292191,02/04/2023 18:14:52,1680459292809,-4,02/04/2023 14:14:52,128682,3,questionnaire-pv78,,28614579,BLIND,8515548,,complete,,1da2c5ae-7ea6-40af-ae36-c5a96334f0b1,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Exit Questions / Debriefing,5,No,ExitQ_PlayDecisions,I felt like the only decision that I would have blatantly not made was hiding from the skeletons after one just having been defeated.
8,1680459292191,02/04/2023 18:14:52,1680459292809,-4,02/04/2023 14:14:52,128682,3,questionnaire-pv78,,28614579,BLIND,8515548,,complete,,1da2c5ae-7ea6-40af-ae36-c5a96334f0b1,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Exit Questions / Debriefing,5,No,Debriefing,Yes
9,1680459292191,02/04/2023 18:14:52,1680459292810,-4,02/04/2023 14:14:52,128682,3,questionnaire-pv78,,28614579,BLIND,8515548,,complete,,1da2c5ae-7ea6-40af-ae36-c5a96334f0b1,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Exit Questions / Debriefing,5,No,Debriefing-quantised,1
10,1680459292191,02/04/2023 18:14:52,1680459292810,-4,02/04/2023 14:14:52,128682,3,questionnaire-pv78,,28614579,BLIND,8515548,,complete,,1da2c5ae-7ea6-40af-ae36-c5a96334f0b1,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Exit Questions / Debriefing,5,No,Feedback,Thank you and this study was awesome. I had a fun time and good luck with your research.
11,1680459292191,02/04/2023 18:14:52,1680459292810,-4,02/04/2023 14:14:52,128682,3,questionnaire-pv78,,28614579,BLIND,8515548,,complete,,1da2c5ae-7ea6-40af-ae36-c5a96334f0b1,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,Exit Questions / Debriefing,5,No,END QUESTIONNAIRE,135845
1,1680459199076,02/04/2023 18:13:19,1680459200088,-5,02/04/2023 13:13:20,128682,3,questionnaire-pv78,,28614612,BLIND,8515557,,complete,,3a3db210-d868-4640-ae36-eeea9260ab58,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1196x1185,,Exit Questions / Debriefing,5,No,BEGIN QUESTIONNAIRE,
2,1680459319411,02/04/2023 18:15:19,1680459320484,-5,02/04/2023 13:15:20,128682,3,questionnaire-pv78,,28614612,BLIND,8515557,,complete,,3a3db210-d868-4640-ae36-eeea9260ab58,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1196x1185,,Exit Questions / Debriefing,5,No,ImmsersionSlider,3
3,1680459319552,02/04/2023 18:15:19,1680459320486,-5,02/04/2023 13:15:20,128682,3,questionnaire-pv78,,28614612,BLIND,8515557,,complete,,3a3db210-d868-4640-ae36-eeea9260ab58,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1196x1185,,Exit Questions / Debriefing,5,No,ExitQ_Immersion,No
