Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1680459071102,02/04/2023 18:11:11,1680459071673,-10,02/04/2023 08:11:11,128681,3,questionnaire-pv78,,28614514,BLIND,8515540,,complete,,8779c4a9-553d-4eae-bdb5-1c844b8ee4c2,computer,Desktop or Laptop,Windows 10,Firefox 111.0,2176x1224,1722x1056,,Exit Questions / Debriefing,5,No,BEGIN QUESTIONNAIRE,
2,1680459123149,02/04/2023 18:12:03,1680459123762,-10,02/04/2023 08:12:03,128681,3,questionnaire-pv78,,28614514,BLIND,8515540,,complete,,8779c4a9-553d-4eae-bdb5-1c844b8ee4c2,computer,Desktop or Laptop,Windows 10,Firefox 111.0,2176x1224,1722x1056,,Exit Questions / Debriefing,5,No,ImmsersionSlider,-1
3,1680459123384,02/04/2023 18:12:03,1680459123762,-10,02/04/2023 08:12:03,128681,3,questionnaire-pv78,,28614514,BLIND,8515540,,complete,,8779c4a9-553d-4eae-bdb5-1c844b8ee4c2,computer,Desktop or Laptop,Windows 10,Firefox 111.0,2176x1224,1722x1056,,Exit Questions / Debriefing,5,No,ExitQ_Immersion,Load them faster
4,1680459123384,02/04/2023 18:12:03,1680459123762,-10,02/04/2023 08:12:03,128681,3,questionnaire-pv78,,28614514,BLIND,8515540,,complete,,8779c4a9-553d-4eae-bdb5-1c844b8ee4c2,computer,Desktop or Laptop,Windows 10,Firefox 111.0,2176x1224,1722x1056,,Exit Questions / Debriefing,5,No,ExitQ_SettingCheck,a cave
5,1680459123384,02/04/2023 18:12:03,1680459123762,-10,02/04/2023 08:12:03,128681,3,questionnaire-pv78,,28614514,BLIND,8515540,,complete,,8779c4a9-553d-4eae-bdb5-1c844b8ee4c2,computer,Desktop or Laptop,Windows 10,Firefox 111.0,2176x1224,1722x1056,,Exit Questions / Debriefing,5,No,ExitQ_PlayAgain,both
6,1680459123384,02/04/2023 18:12:03,1680459123762,-10,02/04/2023 08:12:03,128681,3,questionnaire-pv78,,28614514,BLIND,8515540,,complete,,8779c4a9-553d-4eae-bdb5-1c844b8ee4c2,computer,Desktop or Laptop,Windows 10,Firefox 111.0,2176x1224,1722x1056,,Exit Questions / Debriefing,5,No,ExitQ_PlayFeeling,nothing
7,1680459123384,02/04/2023 18:12:03,1680459123763,-10,02/04/2023 08:12:03,128681,3,questionnaire-pv78,,28614514,BLIND,8515540,,complete,,8779c4a9-553d-4eae-bdb5-1c844b8ee4c2,computer,Desktop or Laptop,Windows 10,Firefox 111.0,2176x1224,1722x1056,,Exit Questions / Debriefing,5,No,ExitQ_PlayDecisions,yes
8,1680459123384,02/04/2023 18:12:03,1680459123763,-10,02/04/2023 08:12:03,128681,3,questionnaire-pv78,,28614514,BLIND,8515540,,complete,,8779c4a9-553d-4eae-bdb5-1c844b8ee4c2,computer,Desktop or Laptop,Windows 10,Firefox 111.0,2176x1224,1722x1056,,Exit Questions / Debriefing,5,No,Debriefing,Yes
9,1680459123384,02/04/2023 18:12:03,1680459123763,-10,02/04/2023 08:12:03,128681,3,questionnaire-pv78,,28614514,BLIND,8515540,,complete,,8779c4a9-553d-4eae-bdb5-1c844b8ee4c2,computer,Desktop or Laptop,Windows 10,Firefox 111.0,2176x1224,1722x1056,,Exit Questions / Debriefing,5,No,Debriefing-quantised,1
10,1680459123384,02/04/2023 18:12:03,1680459123763,-10,02/04/2023 08:12:03,128681,3,questionnaire-pv78,,28614514,BLIND,8515540,,complete,,8779c4a9-553d-4eae-bdb5-1c844b8ee4c2,computer,Desktop or Laptop,Windows 10,Firefox 111.0,2176x1224,1722x1056,,Exit Questions / Debriefing,5,No,Feedback,none
11,1680459123384,02/04/2023 18:12:03,1680459123763,-10,02/04/2023 08:12:03,128681,3,questionnaire-pv78,,28614514,BLIND,8515540,,complete,,8779c4a9-553d-4eae-bdb5-1c844b8ee4c2,computer,Desktop or Laptop,Windows 10,Firefox 111.0,2176x1224,1722x1056,,Exit Questions / Debriefing,5,No,END QUESTIONNAIRE,52090
1,1680459095711,02/04/2023 18:11:35,1680459094074,-4,02/04/2023 14:11:34,128681,3,questionnaire-pv78,,28614535,BLIND,8515538,,complete,,27a0404b-271b-4195-a3a2-c905b1bfcf54,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1680x1050,1680x946,,Exit Questions / Debriefing,5,No,BEGIN QUESTIONNAIRE,
2,1680459291609,02/04/2023 18:14:51,1680459290037,-4,02/04/2023 14:14:50,128681,3,questionnaire-pv78,,28614535,BLIND,8515538,,complete,,27a0404b-271b-4195-a3a2-c905b1bfcf54,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1680x1050,1680x946,,Exit Questions / Debriefing,5,No,ImmsersionSlider,-1
3,1680459292214,02/04/2023 18:14:52,1680459290039,-4,02/04/2023 14:14:50,128681,3,questionnaire-pv78,,28614535,BLIND,8515538,,complete,,27a0404b-271b-4195-a3a2-c905b1bfcf54,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1680x1050,1680x946,,Exit Questions / Debriefing,5,No,ExitQ_Immersion,no
4,1680459292214,02/04/2023 18:14:52,1680459290039,-4,02/04/2023 14:14:50,128681,3,questionnaire-pv78,,28614535,BLIND,8515538,,complete,,27a0404b-271b-4195-a3a2-c905b1bfcf54,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1680x1050,1680x946,,Exit Questions / Debriefing,5,No,ExitQ_SettingCheck,Underground cave - archaeological site
5,1680459292214,02/04/2023 18:14:52,1680459290039,-4,02/04/2023 14:14:50,128681,3,questionnaire-pv78,,28614535,BLIND,8515538,,complete,,27a0404b-271b-4195-a3a2-c905b1bfcf54,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1680x1050,1680x946,,Exit Questions / Debriefing,5,No,ExitQ_PlayAgain,Sam
6,1680459292214,02/04/2023 18:14:52,1680459290039,-4,02/04/2023 14:14:50,128681,3,questionnaire-pv78,,28614535,BLIND,8515538,,complete,,27a0404b-271b-4195-a3a2-c905b1bfcf54,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1680x1050,1680x946,,Exit Questions / Debriefing,5,No,ExitQ_PlayFeeling,I felt neutral about each player
7,1680459292214,02/04/2023 18:14:52,1680459290039,-4,02/04/2023 14:14:50,128681,3,questionnaire-pv78,,28614535,BLIND,8515538,,complete,,27a0404b-271b-4195-a3a2-c905b1bfcf54,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 111.0.0.0,1680x1050,1680x946,,Exit Questions / Debriefing,5,No,ExitQ_PlayDecisions,"Their decisions seemed reasonable, however I don't know what their alternatives are"
