ConditionCode,Condition,PlayerA,PlayerB
1000,WhiteFemale_InGrp,Becky,Emma
1001,WhiteFemale_InGrp_Swap,Emma,Becky
1010,WhiteFemale_OutGrp,Aisha,Emma
1011,WhiteFemale_OutGrp_Swap,Emma,Aisha
1100,BlackFemale_InGrp,Aisha,Aaliyiah
1101,BlackFemale_InGrp_Swap,Aaliyiah,Aisha
1110,BlackFemale_OutGrp,Emma,Aisha
1111,BlackFemale_OutGrp_Swap,Aisha,Emma
0000,WhiteMale_InGrp,Jack,Spencer
0001,WhiteMale_InGrp_Swap,Spencer,Jack
0010,WhiteMale_OutGrp,Deshawn,Jack
0011,WhiteMale_OutGrp,Jack,Deshawn
0100,BlackMale_InGrp,Deshawn,Jamal
0101,BlackMale_InGrp_Swap,Jamal,Deshawn
0110,BlackFemale_OutGrp,Jack,Deshawn
0111,BlackMale_OutGrp_Swap,Deshawn,Jack
