,Response,Response
Question Key,genderCheck,raceCheck
Participant Completion Code,,
abyelt,2,4
aejujn,2,4
aesfae,2,4
agqsng,2,4
ajmxuh,2,4
aolepj,2,4
aqgfan,2,4
axmhud,2,4
bghzzc,2,4
bjiijg,2,4
bsqlvx,2,5
bwkflx,2,4
cccpda,2,4
ccxwtr,2,4
ciczbs,2,4
cvfvfa,2,4
cwdyse,2,4
cxadlb,2,4
cxheyz,15,15
cxiely,2,4
dbhyvz,2,4
dccvmp,2,4
dfdplv,2,4
dgmucp,2,4
dhyrks,2,4
dmabtk,2,5
dmxcia,2,4
dqxkgv,2,1
dtyilx,2,4
dwgxuk,female,3
dzzjaj,2,4
egbqvx,2,4
etfbqf,2,4
evbgur,2,4
eymdwa,2,4
fbiwbk,2,4
fcftii,2,4
fffyhp,2,4
fhgenh,2,4
fhisyv,2,4
fkuwqa,2,4
fpgqbw,2,4
fqbtkm,2,4
fshhdj,2,4
gcndou,2,4
gjieem,2,4
gksitj,2,4
glilan,2,4
gphear,2,4
gqmiux,2,4
gzyaoh,2,4
hcntyp,2,4
hhusdf,2,4
hotspz,2,4
huzroz,2,4
hwrfbd,2,4
hxnton,2,4
idhisl,2,4
igjarc,2,4
illyaj,2,4
izahxe,2,4
jevcsf,2,4
jhmppn,2,4
jktfke,2,4
jnsxkm,2,4
jnznkp,2,4
joazgi,2,4
jrpqej,2,4
jrtfdj,2,4
jvwhzs,2,4
kgcbek,2,4
kjwwad,2,4
kjzwwr,20,20
kknaam,2,4
kqljbl,2,4
kqwerx,2,4
kwjuyw,2,4
kyxjzg,2,4
lduyfx,2,4
ledkan,2,4
ljgtat,2,4
lpuvnk,2,5
ltahas,2,4
mrebhw,2,4
mrwalw,2,4
mzqktc,2,4
nfbili,2,4
nfqysl,2,4
nttzsb,2,4
nvzmrr,2,4
nxrxjx,2,4
nzcfkk,2,4
oaqtmi,2,4
ofgxam,2,4
onykau,2,4
optnaa,2,4
pbkdua,2,4
ppluks,20,20
ptejnj,2,4
qsmlmo,2,4
raebyp,2,4
rjarhz,2,4
rqfnxc,2,4
rrbmxp,2,4
rvhmfp,2,4
rzujtt,2,4
sarwgn,2,4
sbntwk,2,4
siagbf,2,4
sqdrpn,2,4
sqlxyt,2,4
tbeaoq,2,4
tcpicw,2,4
tdqdqk,female,1
tfbumk,2,4
tmzank,2,4
tqhnby,2,4
twuxsr,2,4
tzcsjq,2,4
tzsggp,2,4
ubqtrp,2,4
ugunho,2,4
unfcfr,2,4
uqnpxe,2,4
uvoope,2,4
vasflc,2,4
vcdueq,2,4
vgomvj,2,4
vhpxit,2,4
viyhyx,2,4
vvymza,2,4
vydafx,2,4
wjfvfl,2,4
wlsewv,2,4
wnjyrp,2,4
wqsxau,2,4
wrdbqq,2,4
xesqkj,2,4
xhpinh,2,4
xicvnl,2,4
ximjis,2,4
xqsrsc,2,4
xryudg,Male and Female,"White,Black,Hispanic and Chinese American"
xtdxdz,2,4
xttste,2,4
xvmzpd,Two,Four
xwslvb,2,4
xxeprz,2,4
ydeurc,2,4
yiytjj,2,4
ykbxsr,2,5
ynfeic,2,4
yqhxcx,2,4
yutsau,2,4
yzkdtl,2,4
zgopij,4,"White American, Black American, Chinese American, Latino/Hispanic"
zpjjmd,2,4
zpwexe,2,4
zxceci,2,4
zxzubx,2,4
