Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1673632064805,13/01/2023 17:47:44,1673632064751,-5,13/01/2023 12:47:44,109726,5,questionnaire-1swd,,26370930,BLIND,7784347,,complete,vcdueq,3ZAK8W07I4ETW6LY06JR1BWR7O9U0Z,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1904x940,,Consent_Form,2,No,BEGIN QUESTIONNAIRE,
2,1673632069047,13/01/2023 17:47:49,1673632069024,-5,13/01/2023 12:47:49,109726,5,questionnaire-1swd,,26370930,BLIND,7784347,,complete,vcdueq,3ZAK8W07I4ETW6LY06JR1BWR7O9U0Z,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1887x940,,Consent_Form,2,No,Consent1,1
3,1673632069186,13/01/2023 17:47:49,1673632069025,-5,13/01/2023 12:47:49,109726,5,questionnaire-1swd,,26370930,BLIND,7784347,,complete,vcdueq,3ZAK8W07I4ETW6LY06JR1BWR7O9U0Z,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1887x940,,Consent_Form,2,No,Consent2,1
4,1673632069186,13/01/2023 17:47:49,1673632069025,-5,13/01/2023 12:47:49,109726,5,questionnaire-1swd,,26370930,BLIND,7784347,,complete,vcdueq,3ZAK8W07I4ETW6LY06JR1BWR7O9U0Z,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1887x940,,Consent_Form,2,No,Consent3,1
5,1673632069186,13/01/2023 17:47:49,1673632069025,-5,13/01/2023 12:47:49,109726,5,questionnaire-1swd,,26370930,BLIND,7784347,,complete,vcdueq,3ZAK8W07I4ETW6LY06JR1BWR7O9U0Z,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1887x940,,Consent_Form,2,No,END QUESTIONNAIRE,4274
1,1673632106630,13/01/2023 17:48:26,1673632106226,-5,13/01/2023 12:48:26,109726,5,questionnaire-1swd,,26370945,BLIND,7784351,,complete,uvoope,37UEWGM5HT81N3EZSVSMA5SH5HBR1V,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1517x730,,Consent_Form,2,No,BEGIN QUESTIONNAIRE,
2,1673632142078,13/01/2023 17:49:02,1673632141717,-5,13/01/2023 12:49:01,109726,5,questionnaire-1swd,,26370945,BLIND,7784351,,complete,uvoope,37UEWGM5HT81N3EZSVSMA5SH5HBR1V,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1498x730,,Consent_Form,2,No,Consent1,1
3,1673632142246,13/01/2023 17:49:02,1673632141720,-5,13/01/2023 12:49:01,109726,5,questionnaire-1swd,,26370945,BLIND,7784351,,complete,uvoope,37UEWGM5HT81N3EZSVSMA5SH5HBR1V,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1498x730,,Consent_Form,2,No,Consent2,1
4,1673632142246,13/01/2023 17:49:02,1673632141721,-5,13/01/2023 12:49:01,109726,5,questionnaire-1swd,,26370945,BLIND,7784351,,complete,uvoope,37UEWGM5HT81N3EZSVSMA5SH5HBR1V,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1498x730,,Consent_Form,2,No,Consent3,1
5,1673632142246,13/01/2023 17:49:02,1673632141721,-5,13/01/2023 12:49:01,109726,5,questionnaire-1swd,,26370945,BLIND,7784351,,complete,uvoope,37UEWGM5HT81N3EZSVSMA5SH5HBR1V,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1498x730,,Consent_Form,2,No,END QUESTIONNAIRE,35495
1,1673632121305,13/01/2023 17:48:41,1673632120899,-5,13/01/2023 12:48:40,109726,5,questionnaire-1swd,,26370957,BLIND,7784355,,complete,dhyrks,3DY46V3X3PIB6YHKWBHVAU02PGS55G,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.1.2,375x812,375x633,,Consent_Form,2,No,BEGIN QUESTIONNAIRE,
2,1673632129231,13/01/2023 17:48:49,1673632128402,-5,13/01/2023 12:48:48,109726,5,questionnaire-1swd,,26370957,BLIND,7784355,,complete,dhyrks,3DY46V3X3PIB6YHKWBHVAU02PGS55G,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.1.2,375x812,375x633,,Consent_Form,2,No,Consent1,1
3,1673632129441,13/01/2023 17:48:49,1673632128404,-5,13/01/2023 12:48:48,109726,5,questionnaire-1swd,,26370957,BLIND,7784355,,complete,dhyrks,3DY46V3X3PIB6YHKWBHVAU02PGS55G,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.1.2,375x812,375x633,,Consent_Form,2,No,Consent2,1
4,1673632129441,13/01/2023 17:48:49,1673632128404,-5,13/01/2023 12:48:48,109726,5,questionnaire-1swd,,26370957,BLIND,7784355,,complete,dhyrks,3DY46V3X3PIB6YHKWBHVAU02PGS55G,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.1.2,375x812,375x633,,Consent_Form,2,No,Consent3,1
5,1673632129441,13/01/2023 17:48:49,1673632128404,-5,13/01/2023 12:48:48,109726,5,questionnaire-1swd,,26370957,BLIND,7784355,,complete,dhyrks,3DY46V3X3PIB6YHKWBHVAU02PGS55G,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.1.2,375x812,375x633,,Consent_Form,2,No,END QUESTIONNAIRE,7506
1,1673632143037,13/01/2023 17:49:03,1673632142849,-5,13/01/2023 12:49:02,109726,5,questionnaire-1swd,,26370969,BLIND,7784359,,complete,ximjis,3WRFBPLXRAOCI80MMSPOPE24251N3Y,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x657,,Consent_Form,2,No,BEGIN QUESTIONNAIRE,
2,1673632150478,13/01/2023 17:49:10,1673632147337,-5,13/01/2023 12:49:07,109726,5,questionnaire-1swd,,26370969,BLIND,7784359,,complete,ximjis,3WRFBPLXRAOCI80MMSPOPE24251N3Y,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x657,,Consent_Form,2,No,Consent1,1
3,1673632150975,13/01/2023 17:49:10,1673632147341,-5,13/01/2023 12:49:07,109726,5,questionnaire-1swd,,26370969,BLIND,7784359,,complete,ximjis,3WRFBPLXRAOCI80MMSPOPE24251N3Y,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x657,,Consent_Form,2,No,Consent2,1
4,1673632150975,13/01/2023 17:49:10,1673632147341,-5,13/01/2023 12:49:07,109726,5,questionnaire-1swd,,26370969,BLIND,7784359,,complete,ximjis,3WRFBPLXRAOCI80MMSPOPE24251N3Y,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x657,,Consent_Form,2,No,Consent3,1
5,1673632150975,13/01/2023 17:49:10,1673632147342,-5,13/01/2023 12:49:07,109726,5,questionnaire-1swd,,26370969,BLIND,7784359,,complete,ximjis,3WRFBPLXRAOCI80MMSPOPE24251N3Y,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1349x657,,Consent_Form,2,No,END QUESTIONNAIRE,4493
