Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1673632070721,13/01/2023 17:47:50,1673632070657,-5,13/01/2023 12:47:50,109726,5,questionnaire-bs8j,,26370933,BLIND,7784347,,complete,vcdueq,3ZAK8W07I4ETW6LY06JR1BWR7O9U0Z,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1904x940,,Demographic_Intake,2,No,BEGIN QUESTIONNAIRE,
2,1673632086267,13/01/2023 17:48:06,1673632086259,-5,13/01/2023 12:48:06,109726,5,questionnaire-bs8j,,26370933,BLIND,7784347,,complete,vcdueq,3ZAK8W07I4ETW6LY06JR1BWR7O9U0Z,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1904x940,,Demographic_Intake,2,No,age,44
3,1673632086415,13/01/2023 17:48:06,1673632086260,-5,13/01/2023 12:48:06,109726,5,questionnaire-bs8j,,26370933,BLIND,7784347,,complete,vcdueq,3ZAK8W07I4ETW6LY06JR1BWR7O9U0Z,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1904x940,,Demographic_Intake,2,No,gender,female
4,1673632086415,13/01/2023 17:48:06,1673632086261,-5,13/01/2023 12:48:06,109726,5,questionnaire-bs8j,,26370933,BLIND,7784347,,complete,vcdueq,3ZAK8W07I4ETW6LY06JR1BWR7O9U0Z,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1904x940,,Demographic_Intake,2,No,raceEth_v2,White
5,1673632086415,13/01/2023 17:48:06,1673632086261,-5,13/01/2023 12:48:06,109726,5,questionnaire-bs8j,,26370933,BLIND,7784347,,complete,vcdueq,3ZAK8W07I4ETW6LY06JR1BWR7O9U0Z,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1904x940,,Demographic_Intake,2,No,raceEth_v2-quantised,6
6,1673632086415,13/01/2023 17:48:06,1673632086261,-5,13/01/2023 12:48:06,109726,5,questionnaire-bs8j,,26370933,BLIND,7784347,,complete,vcdueq,3ZAK8W07I4ETW6LY06JR1BWR7O9U0Z,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1904x940,,Demographic_Intake,2,No,raceEth_v2-text,
7,1673632086415,13/01/2023 17:48:06,1673632086261,-5,13/01/2023 12:48:06,109726,5,questionnaire-bs8j,,26370933,BLIND,7784347,,complete,vcdueq,3ZAK8W07I4ETW6LY06JR1BWR7O9U0Z,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1904x940,,Demographic_Intake,2,No,EngFluent,Yes
8,1673632086415,13/01/2023 17:48:06,1673632086261,-5,13/01/2023 12:48:06,109726,5,questionnaire-bs8j,,26370933,BLIND,7784347,,complete,vcdueq,3ZAK8W07I4ETW6LY06JR1BWR7O9U0Z,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1904x940,,Demographic_Intake,2,No,EngFluent-quantised,1
9,1673632086415,13/01/2023 17:48:06,1673632086261,-5,13/01/2023 12:48:06,109726,5,questionnaire-bs8j,,26370933,BLIND,7784347,,complete,vcdueq,3ZAK8W07I4ETW6LY06JR1BWR7O9U0Z,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1904x940,,Demographic_Intake,2,No,response-2,A1AMGHYG5PT0L2
10,1673632086415,13/01/2023 17:48:06,1673632086261,-5,13/01/2023 12:48:06,109726,5,questionnaire-bs8j,,26370933,BLIND,7784347,,complete,vcdueq,3ZAK8W07I4ETW6LY06JR1BWR7O9U0Z,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1920x1080,1904x940,,Demographic_Intake,2,No,END QUESTIONNAIRE,15604
