,Response,Response,Response,Response,Response
Question Key,EngFluent,age,gender,raceEth_v2,raceEth_v2-text
Participant Completion Code,,,,,
abyelt,Yes,31,male,Black or African American,
aejujn,Yes,22,Male,Asian,
aesfae,Yes,32,male,White,
agqsng,Yes,39,Male,Black or African American,
ajmxuh,Yes,39,male,Black or African American,
aolepj,Yes,55,Female,Black or African American,
aqgfan,Yes,34,FEMALE,White,
axmhud,Yes,20,Male,White,
bghzzc,Yes,40,male,Hispanic or Latino,
bjiijg,Yes,35,male,Asian,
bsqlvx,Yes,37,Female,Black or African American,
bwkflx,Yes,30,Male,Black or African American,
cccpda,Yes,31,Female,White,
ccxwtr,Yes,34,Female,White,
ciczbs,Yes,22,male,Asian,
cvfvfa,Yes,30,"I don't identify, I am male",Hispanic or Latino,
cwdyse,Yes,26,male,Hispanic or Latino,
cxadlb,Yes,45,Male,Asian,
cxheyz,Yes,35,female,Hispanic or Latino,
cxiely,Yes,25,Female,Asian,
dbhyvz,Yes,59,male,Black or African American,
dccvmp,Yes,39,Male,American Indian or Alaskan Native,
dfdplv,Yes,61,Female,White,
dgmucp,Yes,34,Male,Hispanic or Latino,
dhyrks,Yes,28,female,White,
dmabtk,Yes,57,Male,White,
dmxcia,Yes,42,female,Hispanic or Latino,
dqxkgv,Yes,21,Female,Asian,
dtyilx,Yes,40,male,White,
dwgxuk,Yes,31,female,White,
dzzjaj,Yes,44,female,Black or African American,
egbqvx,Yes,33,FEMALE,Black or African American,
etfbqf,Yes,30,male,Hispanic or Latino,
evbgur,Yes,34,Male,Asian,
eymdwa,Yes,37,female,White,
fbiwbk,Yes,32,Female,Asian,
fcftii,Yes,30,Female,Asian,
fffyhp,Yes,38,female,Asian,
fhgenh,Yes,26,Male,Black or African American,
fhisyv,Yes,29,Male,Asian,
fkuwqa,Yes,36,female,Asian,
fpgqbw,Yes,46,Male,White,
fqbtkm,Yes,32,female,Hispanic or Latino,
fshhdj,Yes,49,Male,White,
gcndou,Yes,28,Male,Asian,
gjieem,Yes,33,Male,White,
gksitj,Yes,32,male,White,
glilan,Yes,44,female,Asian,
gphear,Yes,33,Female,White,
gqmiux,Yes,54,Female,Black or African American,
gzyaoh,Yes,43,male,White,
hcntyp,Yes,56,female,White,
hhusdf,Yes,32,Female,White,
hotspz,Yes,53,male,Hispanic or Latino,
huzroz,Yes,37,Male,Hispanic or Latino,
hwrfbd,Yes,35,Female,Hispanic or Latino,
hxnton,Yes,22,Female,Hispanic or Latino,
idhisl,Yes,44,Female,Hispanic or Latino,
igjarc,Yes,38,Male,Black or African American,
illyaj,Yes,41,female,Black or African American,
izahxe,Yes,31,female,Hispanic or Latino,
jevcsf,Yes,25,Non-binary,Asian,
jhmppn,Yes,40,female,Black or African American,
jktfke,Yes,27,male,White,
jnsxkm,Yes,39,Man,Hispanic or Latino,
jnznkp,Yes,35,FEMALE,Black or African American,
joazgi,Yes,47,female,Asian,
jrpqej,Yes,33,female,Hispanic or Latino,
jrtfdj,Yes,27,female,Hispanic or Latino,
jvwhzs,Yes,38,female,Hispanic or Latino,
kgcbek,Yes,36,female,Asian,
kjwwad,Yes,37,female,Black or African American,
kjzwwr,Yes,33,male,Black or African American,
kknaam,Yes,42,Male,Hispanic or Latino,
kqljbl,Yes,38,male,Black or African American,
kqwerx,Yes,48,Female,Asian,
kwjuyw,Yes,37,female,Asian,
kyxjzg,Yes,28,Female,White,
lduyfx,Yes,36,Male,White,
ledkan,Yes,26,Male,Black or African American,
ljgtat,Yes,30,Male,Hispanic or Latino,
lpuvnk,Yes,35,Female,White,
ltahas,Yes,34,Male,White,
mrebhw,Yes,30,Female,Asian,
mrwalw,Yes,35,male,White,
mzqktc,Yes,23,Male,Hispanic or Latino,
nfbili,Yes,39,female,Hispanic or Latino,
nfqysl,Yes,28,Male,Asian,
nttzsb,Yes,47,Male,Asian,
nvzmrr,Yes,26,female,Black or African American,
nxrxjx,Yes,37,Male,Hispanic or Latino,
nzcfkk,Yes,41,female,Black or African American,
oaqtmi,Yes,23,Male,Asian,
ofgxam,Yes,56,female,White,
onykau,Yes,51,Male,Asian,
optnaa,Yes,26,Male,Hispanic or Latino,
pbkdua,Yes,40,Female,White,
ppluks,Yes,37,female,Black or African American,
ptejnj,Yes,44,male,Hispanic or Latino,
qsmlmo,Yes,37,Male,Black or African American,
raebyp,Yes,49,Female,Hispanic or Latino,
rjarhz,Yes,32,male,Black or African American,
rqfnxc,Yes,40,male,White,
rrbmxp,Yes,38,female,White,
rvhmfp,Yes,34,Female,Hispanic or Latino,
rzujtt,Yes,30,Male,Asian,
sarwgn,Yes,21,Female,Black or African American,
sbntwk,Yes,45,male,White,
siagbf,Yes,42,male,Hispanic or Latino,
sqdrpn,Yes,47,Female,White,
sqlxyt,Yes,29,Male,White,
tbeaoq,Yes,39,female,Black or African American,
tcpicw,Yes,27,Male,Asian,
tdqdqk,Yes,63,female,White,
tfbumk,Yes,55,male,Black or African American,
tmzank,Yes,31,Male,Hispanic or Latino,
tqhnby,Yes,39,Male,Hispanic or Latino,
twuxsr,Yes,28,Female,Hispanic or Latino,
tzcsjq,Yes,28,Male,Black or African American,
tzsggp,Yes,26,Female,Asian,
ubqtrp,Yes,45,female,White,
ugunho,Yes,47,MALE,Black or African American,
unfcfr,Yes,37,female,Black or African American,
uqnpxe,Yes,29,male,Hispanic or Latino,
uvoope,Yes,25,female,White,
vasflc,Yes,41,FEMALE,Black or African American,
vcdueq,Yes,44,female,White,
vgomvj,Yes,23,female,Hispanic or Latino,
vhpxit,Yes,24,female,Black or African American,
viyhyx,Yes,32,male,White,
vvymza,Yes,31,Female,Asian,
vydafx,Yes,30,Male,Hispanic or Latino,
wjfvfl,Yes,31,male,Asian,
wlsewv,Yes,40,Female,Black or African American,
