Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1673632264603,13/01/2023 17:51:04,1673632264381,-5,13/01/2023 12:51:04,109726,5,questionnaire-7tdp,,26371019,BLIND,7784359,,complete,ximjis,3WRFBPLXRAOCI80MMSPOPE24251N3Y,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x657,,Check,1,No,BEGIN QUESTIONNAIRE,
2,1673632282173,13/01/2023 17:51:22,1673632280319,-5,13/01/2023 12:51:20,109726,5,questionnaire-7tdp,,26371019,BLIND,7784359,,complete,ximjis,3WRFBPLXRAOCI80MMSPOPE24251N3Y,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x657,,Check,1,No,raceCheck,4
3,1673632282662,13/01/2023 17:51:22,1673632280322,-5,13/01/2023 12:51:20,109726,5,questionnaire-7tdp,,26371019,BLIND,7784359,,complete,ximjis,3WRFBPLXRAOCI80MMSPOPE24251N3Y,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x657,,Check,1,No,genderCheck,2
4,1673632282662,13/01/2023 17:51:22,1673632280322,-5,13/01/2023 12:51:20,109726,5,questionnaire-7tdp,,26371019,BLIND,7784359,,complete,ximjis,3WRFBPLXRAOCI80MMSPOPE24251N3Y,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1366x768,1366x657,,Check,1,No,END QUESTIONNAIRE,15941
1,1673632269722,13/01/2023 17:51:09,1673632269499,-5,13/01/2023 12:51:09,109726,5,questionnaire-7tdp,,26371024,BLIND,7784355,,complete,dhyrks,3DY46V3X3PIB6YHKWBHVAU02PGS55G,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.1.2,375x812,732x283,,Check,1,No,BEGIN QUESTIONNAIRE,
2,1673632287059,13/01/2023 17:51:27,1673632285724,-5,13/01/2023 12:51:25,109726,5,questionnaire-7tdp,,26371024,BLIND,7784355,,complete,dhyrks,3DY46V3X3PIB6YHKWBHVAU02PGS55G,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.1.2,375x812,732x283,,Check,1,No,raceCheck,4
3,1673632287230,13/01/2023 17:51:27,1673632285726,-5,13/01/2023 12:51:25,109726,5,questionnaire-7tdp,,26371024,BLIND,7784355,,complete,dhyrks,3DY46V3X3PIB6YHKWBHVAU02PGS55G,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.1.2,375x812,732x283,,Check,1,No,genderCheck,2
4,1673632287230,13/01/2023 17:51:27,1673632285726,-5,13/01/2023 12:51:25,109726,5,questionnaire-7tdp,,26371024,BLIND,7784355,,complete,dhyrks,3DY46V3X3PIB6YHKWBHVAU02PGS55G,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.1.2,375x812,732x283,,Check,1,No,END QUESTIONNAIRE,16228
1,1673632308474,13/01/2023 17:51:48,1673632308083,-5,13/01/2023 12:51:48,109726,5,questionnaire-7tdp,,26371037,BLIND,7784351,,complete,uvoope,37UEWGM5HT81N3EZSVSMA5SH5HBR1V,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1517x730,,Check,1,No,BEGIN QUESTIONNAIRE,
2,1673632330082,13/01/2023 17:52:10,1673632329721,-5,13/01/2023 12:52:09,109726,5,questionnaire-7tdp,,26371037,BLIND,7784351,,complete,uvoope,37UEWGM5HT81N3EZSVSMA5SH5HBR1V,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1517x730,,Check,1,No,raceCheck,4
3,1673632330226,13/01/2023 17:52:10,1673632329724,-5,13/01/2023 12:52:09,109726,5,questionnaire-7tdp,,26371037,BLIND,7784351,,complete,uvoope,37UEWGM5HT81N3EZSVSMA5SH5HBR1V,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1517x730,,Check,1,No,genderCheck,2
4,1673632330226,13/01/2023 17:52:10,1673632329725,-5,13/01/2023 12:52:09,109726,5,questionnaire-7tdp,,26371037,BLIND,7784351,,complete,uvoope,37UEWGM5HT81N3EZSVSMA5SH5HBR1V,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1517x730,,Check,1,No,END QUESTIONNAIRE,21642
1,1673632318179,13/01/2023 17:51:58,1673632318032,-5,13/01/2023 12:51:58,109726,5,questionnaire-7tdp,,26371042,BLIND,7784356,,complete,lpuvnk,3KMS4QQVK2Q6QEVC9AYAYVAXB01KFZ,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1680x1050,1678x908,,Check,1,No,BEGIN QUESTIONNAIRE,
