,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
allocator-k3xu,Condition_InIn,Condition_InIn,Condition_InIn,Condition_InIn,Condition_InIn,Condition_InIn,Condition_InIn,Condition_InIn,Condition_InIn,Condition_InIn,Condition_InIn,Condition_InIn,Condition_InIn
Spreadsheet: PlayerAction,<em><b>Deshawn</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jamal</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Jamal</b> attempts to rely on his intellect to solve the puzzle of the magical symbols.,"<em><b>Deshawn</b> leaps at the ogre, trying to land a killing blow.",<em><b>Deshawn</b> tries to rely on his intelligence to open the box.,<em><b>Jamal</b> holds up a shield and tries to overpower the blast and attack the wizard.,<em><b>Deshawn</b> attempts to use his wit to solve the riddle.,<em><b>Jamal</b> reflexively tried to grab the club and overpower the swing. ,<em><b>Jamal</b> tethers themselves to a rope and walks across.,<em><b>Deshawn</b> tries to cleverly decipher the combination on the lock.,<em><b>Deshawn</b> charges the gladiator and swings with all his strength.,<em><b>Jamal</b> relies on his intellect to try to solve the puzzle.,nan
Participant Private ID,,,,,,,,,,,,,
8657248.0,Reward,Reward,Reward,Punish,Reward,Punish,Punish,Punish,Punish,Reward,Reward,Reward,40-60
8657252.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,Punish,20-80
8657259.0,Punish,Reward,Reward,Reward,Reward,Punish,Punish,Reward,Punish,Reward,Reward,Punish,100-0
8657367.0,Reward,Punish,Reward,Reward,Reward,Punish,Reward,Punish,Punish,Reward,Punish,Reward,40-60
8657380.0,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,60-40
8657422.0,Reward,Reward,Punish,Reward,Punish,Punish,Reward,Punish,Reward,Reward,Punish,Reward,60-40
8657437.0,Reward,Reward,Punish,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Punish,Reward,40-60
8657490.0,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Reward,Reward,Reward,Punish,Punish,40-60
8657502.0,Reward,Punish,Reward,Reward,Reward,Punish,Reward,Reward,Punish,Punish,Punish,Reward,40-60
8657594.0,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Reward,Punish,Reward,40-60
8657595.0,Punish,Reward,Reward,Punish,Reward,Reward,Reward,Punish,Reward,Punish,Punish,Reward,20-80
8657600.0,Reward,Punish,Reward,Punish,Reward,Punish,Punish,Reward,Reward,Reward,Reward,Punish,40-60
8657622.0,Punish,Reward,Reward,Reward,Reward,Punish,Punish,Reward,Reward,Reward,Punish,Punish,40-60
8657651.0,Reward,Reward,Punish,Reward,Punish,Reward,Punish,Punish,Reward,Reward,Punish,Reward,60-40
8657698.0,Punish,Reward,Reward,Reward,Punish,Punish,Reward,Reward,Punish,Reward,Punish,Reward,40-60
8657734.0,Punish,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,Reward,Reward,Reward,60-40
8657842.0,Reward,Reward,Punish,Punish,Reward,Reward,Reward,Punish,Punish,Reward,Punish,Reward,60-40
8658002.0,Reward,Reward,Punish,Reward,Punish,Punish,Reward,Reward,Punish,Punish,Reward,Reward,40-60
8662369.0,Punish,Reward,Reward,Punish,Punish,Punish,Reward,Reward,Reward,Punish,Reward,Reward,0-100
8662873.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,Punish,40-60
8663036.0,Reward,Punish,Reward,Reward,Punish,Punish,Reward,Reward,Reward,Reward,Punish,Punish,40-60
8663169.0,Reward,Punish,Reward,Punish,Punish,Reward,Reward,Punish,Reward,Reward,Punish,Reward,40-60
8663598.0,Punish,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Reward,40-60
8663950.0,Reward,Punish,Punish,Punish,Reward,Punish,Reward,Reward,Reward,Punish,Reward,Reward,80-20
8664210.0,Punish,Reward,Reward,Punish,Punish,Reward,Punish,Punish,Reward,Reward,Reward,Reward,20-80
