,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
allocator-k3xu,Condition_InIn,Condition_InIn,Condition_InIn,Condition_InIn,Condition_InIn,Condition_InIn,Condition_InIn,Condition_InIn,Condition_InIn,Condition_InIn,Condition_InIn,Condition_InIn,Condition_InIn
Spreadsheet: PlayerAction,<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Spencer</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Spencer</b> attempts to rely on his intellect to solve the puzzle of the magical symbols.,"<em><b>Jack</b> leaps at the ogre, trying to land a killing blow.",<em><b>Jack</b> tries to rely on his intelligence to open the box.,<em><b>Spencer</b> holds up a shield and tries to overpower the blast and attack the wizard.,<em><b>Jack</b> attempts to use his wit to solve the riddle.,<em><b>Spencer</b> reflexively tried to grab the club and overpower the swing. ,<em><b>Spencer</b> tethers themselves to a rope and walks across.,<em><b>Jack</b> tries to cleverly decipher the combination on the lock.,<em><b>Jack</b> charges the gladiator and swings with all his strength.,<em><b>Spencer</b> relies on his intellect to try to solve the puzzle.,nan
Participant Private ID,,,,,,,,,,,,,
8657251.0,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Reward,60-40
8657262.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,Punish,60-40
8657268.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,Punish,40-60
8657269.0,Punish,Reward,Reward,Reward,Punish,Punish,Reward,Punish,Reward,Reward,Punish,Reward,40-60
8657280.0,Punish,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,40-60
8657284.0,Punish,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Punish,Reward,Reward,Reward,60-40
8657285.0,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Punish,Reward,Punish,Punish,Punish,60-40
8657286.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,Punish,20-80
8657291.0,Reward,Reward,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Punish,Reward,Punish,80-20
8657292.0,Punish,Reward,Reward,Reward,Punish,Punish,Reward,Punish,Reward,Reward,Reward,Punish,60-40
8657296.0,Reward,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Punish,Reward,Reward,Punish,60-40
8657300.0,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Reward,60-40
8657308.0,Reward,Punish,Reward,Reward,Reward,Punish,Reward,Punish,Reward,Punish,Punish,Reward,60-40
8657324.0,Reward,Reward,Reward,Punish,Reward,Punish,Reward,Reward,Reward,Punish,Punish,Punish,60-40
8657329.0,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,40-60
8657332.0,Reward,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Punish,Reward,40-60
8657340.0,Reward,Reward,Punish,Punish,Punish,Reward,Punish,Reward,Reward,Punish,Reward,Reward,60-40
8657341.0,Reward,Punish,Reward,Punish,Reward,Punish,Reward,Punish,Punish,Reward,Reward,Reward,0-100
8657342.0,Reward,Punish,Reward,Reward,Reward,Punish,Punish,Punish,Reward,Reward,Punish,Reward,40-60
8657344.0,Reward,Reward,Punish,Punish,Reward,Punish,Punish,Reward,Reward,Reward,Punish,Reward,40-60
8657348.0,Punish,Reward,Reward,Reward,Reward,Punish,Reward,Punish,Reward,Punish,Reward,Punish,60-40
8657357.0,Reward,Punish,Reward,Reward,Reward,Reward,Punish,Punish,Reward,Punish,Reward,Punish,40-60
8657389.0,Reward,Punish,Reward,Punish,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Reward,0-100
8657401.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,Punish,60-40
