,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
allocator-k3xu,Condition_InOut-both,Condition_InOut-both,Condition_InOut-both,Condition_InOut-both,Condition_InOut-both,Condition_InOut-both,Condition_InOut-both,Condition_InOut-both,Condition_InOut-both,Condition_InOut-both,Condition_InOut-both,Condition_InOut-both,Condition_InOut-both
Spreadsheet: PlayerAction,<em><b>Deshawn</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Becky</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Becky</b> attempts to rely on her intellect to solve the puzzle of the magical symbols.,"<em><b>Deshawn</b> leaps at the ogre, trying to land a killing blow.",<em><b>Deshawn</b> tries to rely on his intelligence to open the box.,<em><b>Becky</b> holds up a shield and tries to overpower the blast and attack the wizard.,<em><b>Deshawn</b> attempts to use his wit to solve the riddle.,<em><b>Becky</b> reflexively tried to grab the club and overpower the swing. ,<em><b>Becky</b> tethers herself to a rope and walks across.,<em><b>Deshawn</b> tries to cleverly decipher the combination on the lock.,<em><b>Deshawn</b> charges the gladiator and swings with all his strength.,<em><b>Becky</b> relies on her intellect to try to solve the puzzle.,nan
Participant Private ID,,,,,,,,,,,,,
8657272.0,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Reward,Punish,40-60
8657277.0,Reward,Reward,Punish,Punish,Reward,Reward,Reward,Punish,Reward,Punish,Punish,Reward,60-40
8657371.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,Punish,60-40
8657378.0,Reward,Reward,Reward,Punish,Reward,Punish,Punish,Reward,Punish,Punish,Reward,Reward,60-40
8657383.0,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Punish,Reward,Punish,Punish,Punish,60-40
8657388.0,Reward,Reward,Reward,Punish,Reward,Punish,Reward,Punish,Punish,Punish,Reward,Reward,60-40
8657395.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,Punish,40-60
8657412.0,Reward,Punish,Reward,Reward,Reward,Punish,Reward,Reward,Reward,Punish,Punish,Punish,40-60
8657423.0,Punish,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Reward,Reward,Reward,Punish,60-40
8657450.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,Punish,60-40
8657481.0,Punish,Reward,Punish,Reward,Reward,Punish,Punish,Reward,Reward,Punish,Reward,Reward,40-60
8657494.0,Reward,Punish,Reward,Reward,Punish,Punish,Reward,Punish,Punish,Reward,Reward,Reward,60-40
8657500.0,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Reward,60-40
8657542.0,Reward,Punish,Reward,Punish,Reward,Reward,Reward,Punish,Reward,Reward,Punish,Punish,60-40
8657629.0,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Reward,Punish,Punish,Punish,Punish,60-40
8657694.0,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Punish,Reward,Punish,Punish,Punish,60-40
8657705.0,Reward,Reward,Punish,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Reward,Punish,60-40
8657791.0,Reward,Punish,Reward,Reward,Punish,Punish,Reward,Punish,Reward,Reward,Reward,Punish,80-20
8657830.0,Reward,Reward,Punish,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Punish,Reward,40-60
8657840.0,Reward,Punish,Reward,Punish,Reward,Reward,Reward,Punish,Reward,Reward,Punish,Punish,60-40
8661056.0,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,Reward,Reward,Reward,Punish,60-40
8661072.0,Reward,Punish,Reward,Reward,Reward,Punish,Reward,Punish,Reward,Punish,Reward,Punish,40-60
8661077.0,Reward,Punish,Reward,Punish,Reward,Punish,Reward,Reward,Reward,Punish,Reward,Punish,60-40
8662933.0,Reward,Reward,Reward,Reward,Punish,Punish,Reward,Reward,Reward,Punish,Punish,Punish,60-40
8663302.0,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Punish,Punish,Reward,Reward,Reward,60-40
