,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
allocator-k3xu,Condition_InOut-gender,Condition_InOut-gender,Condition_InOut-gender,Condition_InOut-gender,Condition_InOut-gender,Condition_InOut-gender,Condition_InOut-gender,Condition_InOut-gender,Condition_InOut-gender,Condition_InOut-gender,Condition_InOut-gender,Condition_InOut-gender,Condition_InOut-gender
Spreadsheet: PlayerAction,<em><b>Deshawn</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Aisha</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Aisha</b> attempts to rely on her intellect to solve the puzzle of the magical symbols.,"<em><b>Deshawn</b> leaps at the ogre, trying to land a killing blow.",<em><b>Deshawn</b> tries to rely on his intelligence to open the box.,<em><b>Aisha</b> holds up a shield and tries to overpower the blast and attack the wizard.,<em><b>Deshawn</b> attempts to use his wit to solve the riddle.,<em><b>Aisha</b> reflexively tried to grab the club and overpower the swing. ,<em><b>Aisha</b> tethers herself to a rope and walks across.,<em><b>Deshawn</b> tries to cleverly decipher the combination on the lock.,<em><b>Deshawn</b> charges the gladiator and swings with all his strength.,<em><b>Aisha</b> relies on her intellect to try to solve the puzzle.,nan
Participant Private ID,,,,,,,,,,,,,
8657258.0,Punish,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Reward,Reward,Punish,Reward,40-60
8657271.0,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Punish,Reward,Reward,20-80
8657304.0,Reward,Reward,Reward,Punish,Punish,Reward,Punish,Reward,Punish,Reward,Reward,Punish,60-40
8657312.0,Punish,Reward,Reward,Punish,Reward,Reward,Reward,Punish,Reward,Reward,Punish,Punish,60-40
8657352.0,Reward,Punish,Reward,Reward,Punish,Reward,Reward,Punish,Reward,Reward,Punish,Punish,40-60
8657356.0,Reward,Reward,Reward,Punish,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,40-60
8657361.0,Reward,Reward,Reward,Punish,Reward,Punish,Reward,Reward,Reward,Punish,Punish,Punish,60-40
8657370.0,Reward,Reward,Reward,Punish,Punish,Punish,Reward,Punish,Reward,Reward,Reward,Punish,60-40
8657375.0,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,40-60
8657379.0,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Punish,Reward,Punish,Reward,Reward,60-40
8657390.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,Punish,40-60
8657398.0,Punish,Punish,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,60-40
8657456.0,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Punish,Punish,Punish,Punish,40-60
8657457.0,Punish,Punish,Reward,Reward,Punish,Reward,Reward,Reward,Reward,Punish,Reward,Punish,40-60
8657477.0,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Reward,Punish,Punish,40-60
8657493.0,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,40-60
8657536.0,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Punish,Punish,Reward,Reward,Reward,40-60
8657544.0,Reward,Reward,Punish,Reward,Punish,Punish,Reward,Reward,Reward,Punish,Reward,Punish,60-40
8657619.0,Punish,Reward,Reward,Punish,Reward,Reward,Punish,Punish,Reward,Punish,Reward,Reward,60-40
8657631.0,Punish,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Punish,Punish,Reward,Punish,40-60
8657695.0,Punish,Punish,Reward,Reward,Punish,Reward,Reward,Reward,Punish,Reward,Reward,Punish,40-60
8657722.0,Punish,Reward,Reward,Reward,Punish,Punish,Reward,Reward,Punish,Reward,Reward,Punish,40-60
8658110.0,Punish,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Reward,Reward,Reward,Punish,60-40
8658890.0,Punish,Reward,Reward,Punish,Reward,Punish,Punish,Reward,Punish,Reward,Reward,Reward,60-40
8661009.0,Punish,Reward,Punish,Reward,Reward,Reward,Punish,Reward,Punish,Reward,Punish,Reward,100-0
