,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
allocator-k3xu,Condition_InOut-gender,Condition_InOut-gender,Condition_InOut-gender,Condition_InOut-gender,Condition_InOut-gender,Condition_InOut-gender,Condition_InOut-gender,Condition_InOut-gender,Condition_InOut-gender,Condition_InOut-gender,Condition_InOut-gender,Condition_InOut-gender,Condition_InOut-gender
Spreadsheet: PlayerAction,<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Becky</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Becky</b> attempts to rely on her intellect to solve the puzzle of the magical symbols.,"<em><b>Jack</b> leaps at the ogre, trying to land a killing blow.",<em><b>Jack</b> tries to rely on his intelligence to open the box.,<em><b>Becky</b> holds up a shield and tries to overpower the blast and attack the wizard.,<em><b>Jack</b> attempts to use his wit to solve the riddle.,<em><b>Becky</b> reflexively tried to grab the club and overpower the swing. ,<em><b>Becky</b> tethers herself to a rope and walks across.,<em><b>Jack</b> tries to cleverly decipher the combination on the lock.,<em><b>Jack</b> charges the gladiator and swings with all his strength.,<em><b>Becky</b> relies on her intellect to try to solve the puzzle.,nan
Participant Private ID,,,,,,,,,,,,,
8657260.0,Punish,Reward,Reward,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Punish,Reward,0-100
8657275.0,Reward,Reward,Punish,Punish,Reward,Reward,Reward,Punish,Reward,Reward,Punish,Punish,60-40
8657278.0,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Reward,Punish,Punish,Reward,Reward,40-60
8657279.0,Reward,Reward,Punish,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Reward,Punish,60-40
8657287.0,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,60-40
8657295.0,Reward,Reward,Punish,Punish,Reward,Reward,Punish,Punish,Reward,Reward,Reward,Punish,40-60
8657297.0,Reward,Reward,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Reward,Punish,Punish,40-60
8657298.0,Reward,Reward,Punish,Punish,Reward,Reward,Punish,Punish,Reward,Reward,Punish,Reward,40-60
8657299.0,Reward,Punish,Reward,Punish,Punish,Reward,Reward,Reward,Reward,Punish,Reward,Punish,40-60
8657301.0,Reward,Punish,Reward,Punish,Reward,Punish,Reward,Punish,Reward,Reward,Reward,Punish,40-60
8657306.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,Punish,40-60
8657314.0,Reward,Punish,Reward,Punish,Punish,Reward,Reward,Punish,Reward,Reward,Punish,Reward,40-60
8657315.0,Punish,Reward,Reward,Reward,Punish,Reward,Punish,Punish,Reward,Reward,Punish,Reward,40-60
8657316.0,Reward,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Punish,40-60
8657317.0,Reward,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Reward,Reward,Punish,Punish,60-40
8657318.0,Reward,Reward,Reward,Punish,Punish,Punish,Reward,Punish,Reward,Punish,Reward,Reward,40-60
8657320.0,Reward,Punish,Punish,Reward,Reward,Reward,Punish,Punish,Reward,Reward,Reward,Punish,60-40
8657326.0,Reward,Punish,Reward,Punish,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Reward,60-40
8657333.0,Reward,Reward,Reward,Punish,Reward,Punish,Reward,Punish,Reward,Punish,Reward,Punish,40-60
8657335.0,Punish,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Punish,Punish,Reward,Punish,60-40
8657336.0,Punish,Reward,Reward,Punish,Reward,Punish,Punish,Reward,Reward,Reward,Punish,Reward,20-80
8657347.0,Punish,Reward,Punish,Reward,Reward,Reward,Punish,Punish,Reward,Reward,Punish,Reward,60-40
8657360.0,Reward,Reward,Punish,Punish,Reward,Punish,Punish,Reward,Reward,Reward,Punish,Reward,60-40
8657363.0,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Punish,Reward,Punish,Reward,Reward,40-60
8657547.0,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Reward,Reward,Punish,Punish,Punish,40-60
