,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
allocator-k3xu,Condition_InOut-race,Condition_InOut-race,Condition_InOut-race,Condition_InOut-race,Condition_InOut-race,Condition_InOut-race,Condition_InOut-race,Condition_InOut-race,Condition_InOut-race,Condition_InOut-race,Condition_InOut-race,Condition_InOut-race,Condition_InOut-race
Spreadsheet: PlayerAction,<em><b>Deshawn</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Spencer</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Spencer</b> attempts to rely on his intellect to solve the puzzle of the magical symbols.,"<em><b>Deshawn</b> leaps at the ogre, trying to land a killing blow.",<em><b>Deshawn</b> tries to rely on his intelligence to open the box.,<em><b>Spencer</b> holds up a shield and tries to overpower the blast and attack the wizard.,<em><b>Deshawn</b> attempts to use his wit to solve the riddle.,<em><b>Spencer</b> reflexively tried to grab the club and overpower the swing. ,<em><b>Spencer</b> tethers themselves to a rope and walks across.,<em><b>Deshawn</b> tries to cleverly decipher the combination on the lock.,<em><b>Deshawn</b> charges the gladiator and swings with all his strength.,<em><b>Spencer</b> relies on his intellect to try to solve the puzzle.,nan
Participant Private ID,,,,,,,,,,,,,
8657253.0,Punish,Reward,Reward,Reward,Reward,Punish,Reward,Punish,Punish,Reward,Reward,Punish,60-40
8657254.0,Punish,Reward,Reward,Punish,Punish,Reward,Reward,Punish,Reward,Reward,Reward,Punish,40-60
8657359.0,Reward,Reward,Reward,Punish,Punish,Reward,Reward,Punish,Reward,Punish,Punish,Reward,40-60
8657384.0,Reward,Reward,Reward,Punish,Punish,Reward,Reward,Punish,Reward,Reward,Punish,Punish,40-60
8657418.0,Reward,Punish,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Punish,Punish,Punish,60-40
8657480.0,Reward,Reward,Punish,Reward,Punish,Reward,Reward,Reward,Reward,Punish,Punish,Punish,60-40
8657505.0,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,60-40
8657515.0,Punish,Punish,Reward,Reward,Reward,Punish,Reward,Reward,Punish,Reward,Punish,Reward,40-60
8657534.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,Punish,60-40
8657580.0,Reward,Reward,Punish,Reward,Punish,Reward,Punish,Reward,Punish,Reward,Punish,Reward,20-80
8657601.0,Punish,Reward,Reward,Reward,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Punish,20-80
8657676.0,Reward,Punish,Reward,Punish,Reward,Punish,Reward,Reward,Reward,Punish,Reward,Punish,60-40
8657746.0,Reward,Punish,Reward,Punish,Reward,Punish,Punish,Reward,Reward,Punish,Reward,Reward,60-40
8657750.0,Reward,Punish,Reward,Reward,Punish,Punish,Reward,Reward,Punish,Punish,Reward,Reward,60-40
8657792.0,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Reward,Punish,Punish,40-60
8657862.0,Reward,Punish,Reward,Reward,Punish,Reward,Reward,Punish,Punish,Punish,Reward,Reward,60-40
8657863.0,Punish,Reward,Punish,Reward,Punish,Punish,Reward,Reward,Punish,Reward,Reward,Reward,40-60
8658536.0,Punish,Reward,Reward,Reward,Reward,Punish,Reward,Punish,Punish,Reward,Punish,Reward,40-60
8660226.0,Reward,Reward,Reward,Reward,Punish,Reward,Punish,Reward,Punish,Reward,Punish,Punish,40-60
8661283.0,Punish,Reward,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Punish,Reward,Reward,100-0
8662291.0,Reward,Reward,Punish,Punish,Punish,Reward,Punish,Reward,Punish,Reward,Reward,Reward,60-40
8663048.0,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Punish,Punish,Punish,Reward,Punish,60-40
8664562.0,Punish,Reward,Reward,Punish,Punish,Punish,Punish,Reward,Reward,Reward,Reward,Reward,40-60
8664826.0,Reward,Reward,Punish,Reward,Reward,Punish,Reward,Punish,Punish,Punish,Reward,Reward,60-40
