,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
allocator-k3xu,Condition_InOut-race,Condition_InOut-race,Condition_InOut-race,Condition_InOut-race,Condition_InOut-race,Condition_InOut-race,Condition_InOut-race,Condition_InOut-race,Condition_InOut-race,Condition_InOut-race,Condition_InOut-race,Condition_InOut-race,Condition_InOut-race
Spreadsheet: PlayerAction,<em><b>Jack</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Jamal</b> tries to climb on the salamander’s back and wrestle it into a choke hold.,<em><b>Jamal</b> attempts to rely on his intellect to solve the puzzle of the magical symbols.,"<em><b>Jack</b> leaps at the ogre, trying to land a killing blow.",<em><b>Jack</b> tries to rely on his intelligence to open the box.,<em><b>Jamal</b> holds up a shield and tries to overpower the blast and attack the wizard.,<em><b>Jack</b> attempts to use his wit to solve the riddle.,<em><b>Jamal</b> reflexively tried to grab the club and overpower the swing. ,<em><b>Jamal</b> tethers themselves to a rope and walks across.,<em><b>Jack</b> tries to cleverly decipher the combination on the lock.,<em><b>Jack</b> charges the gladiator and swings with all his strength.,<em><b>Jamal</b> relies on his intellect to try to solve the puzzle.,nan
Participant Private ID,,,,,,,,,,,,,
8657261.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,Punish,40-60
8657263.0,Punish,Reward,Reward,Punish,Punish,Reward,Punish,Reward,Reward,Punish,Reward,Reward,60-40
8657264.0,Reward,Reward,Punish,Punish,Reward,Punish,Punish,Reward,Reward,Reward,Punish,Reward,40-60
8657267.0,Reward,Reward,Reward,Punish,Reward,Punish,Reward,Punish,Punish,Reward,Punish,Reward,40-60
8657270.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,Punish,40-60
8657276.0,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,Reward,40-60
8657282.0,Reward,Reward,Reward,Reward,Punish,Punish,Reward,Punish,Punish,Punish,Reward,Reward,60-40
8657283.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,Punish,40-60
8657288.0,Punish,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Reward,Punish,Punish,40-60
8657290.0,Reward,Punish,Reward,Reward,Reward,Punish,Reward,Punish,Reward,Punish,Punish,Reward,60-40
8657302.0,Punish,Reward,Punish,Punish,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Reward,60-40
8657307.0,Reward,Punish,Reward,Punish,Punish,Reward,Reward,Punish,Punish,Reward,Reward,Reward,40-60
8657309.0,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Reward,Punish,60-40
8657313.0,Reward,Reward,Punish,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Reward,Punish,40-60
8657319.0,Reward,Reward,Reward,Reward,Reward,Reward,Reward,Punish,Punish,Punish,Punish,Punish,40-60
8657325.0,Punish,Punish,Reward,Reward,Reward,Punish,Reward,Reward,Punish,Punish,Reward,Reward,60-40
8657331.0,Reward,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Punish,Reward,Reward,Punish,40-60
8657337.0,Reward,Punish,Reward,Punish,Reward,Reward,Reward,Punish,Punish,Punish,Reward,Reward,60-40
8657338.0,Punish,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Reward,Reward,Punish,Reward,40-60
8657339.0,Punish,Reward,Reward,Reward,Punish,Punish,Punish,Reward,Reward,Reward,Punish,Reward,60-40
8657343.0,Punish,Reward,Punish,Punish,Reward,Punish,Punish,Reward,Reward,Reward,Reward,Reward,40-60
8657349.0,Reward,Punish,Reward,Punish,Reward,Reward,Reward,Punish,Reward,Reward,Punish,Punish,60-40
8657353.0,Punish,Reward,Reward,Punish,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Reward,20-80
8657354.0,Reward,Punish,Reward,Reward,Reward,Punish,Reward,Punish,Reward,Reward,Punish,Punish,60-40
8657355.0,Reward,Punish,Reward,Reward,Reward,Punish,Reward,Punish,Punish,Reward,Reward,Punish,60-40
