,Response,Response,Response,Response
Question Key,EIS1,EIS2,EIS3,EIS4
Participant Private ID,,,,
8657248.0,1,1,1,1
8657252.0,7,7,7,7
8657253.0,6,5,6,5
8657254.0,2,1,1,1
8657258.0,2,3,3,2
8657259.0,4,4,4,4
8657271.0,5,4,5,4
8657272.0,7,6,7,6
8657277.0,6,6,6,6
8657304.0,4,5,6,5
8657312.0,6,6,6,6
8657352.0,6,7,7,7
8657356.0,6,6,6,6
8657359.0,4,3,5,5
8657361.0,6,6,6,6
8657367.0,4,2,3,4
8657370.0,4,5,4,4
8657371.0,7,7,7,6
8657375.0,1,1,5,1
8657378.0,6,6,5,6
8657379.0,7,7,7,7
8657380.0,7,7,7,7
8657383.0,6,7,6,5
8657384.0,6,6,6,6
8657388.0,6,6,6,6
8657390.0,2,2,2,4
8657395.0,6,6,5,5
8657398.0,4,4,4,4
8657412.0,4,5,4,5
8657418.0,5,4,4,6
8657422.0,5,4,3,5
8657423.0,6,6,6,6
8657437.0,5,6,4,5
8657450.0,6,6,6,5
8657456.0,7,7,7,7
8657457.0,3,3,3,3
8657477.0,7,7,7,7
8657480.0,6,7,6,6
8657481.0,6,5,4,7
8657490.0,5,6,6,4
8657493.0,4,2,3,4
8657494.0,6,6,5,6
8657500.0,7,7,7,7
8657502.0,5,7,5,5
8657505.0,6,7,6,6
8657515.0,6,5,6,5
8657534.0,7,7,5,7
8657536.0,6,6,6,5
8657542.0,6,6,6,6
8657544.0,6,6,7,6
8657580.0,4,4,4,4
8657594.0,1,7,1,2
8657595.0,4,5,5,5
8657600.0,6,7,5,5
8657601.0,7,7,7,7
8657619.0,6,4,4,5
8657622.0,5,5,4,4
8657629.0,7,7,7,7
8657631.0,7,7,7,7
8657651.0,7,6,6,6
8657676.0,7,7,7,7
8657694.0,5,5,7,5
8657695.0,7,7,7,7
8657698.0,7,7,7,7
8657705.0,3,7,5,7
8657722.0,4,3,4,4
8657734.0,2,1,3,2
8657746.0,7,7,7,7
8657750.0,3,2,3,3
8657791.0,4,1,4,3
8657792.0,6,7,5,5
8657830.0,7,7,7,7
8657840.0,7,7,7,7
8657842.0,5,1,2,4
8657862.0,7,7,7,7
8657863.0,3,4,2,3
8658002.0,7,6,7,7
8658110.0,6,6,7,5
8658536.0,5,4,6,5
8658890.0,5,6,7,6
8660226.0,4,4,5,4
8661009.0,6,6,7,6
8661056.0,7,7,7,7
8661072.0,4,3,6,4
8661077.0,6,6,5,6
8661283.0,2,4,5,5
8662291.0,6,7,6,6
8662369.0,4,3,4,4
8662873.0,7,7,7,7
8662933.0,5,4,3,4
8663036.0,6,7,7,6
8663048.0,7,7,4,7
8663169.0,3,7,4,2
8663302.0,6,6,6,6
8663598.0,7,7,7,7
8663950.0,7,7,7,6
8664210.0,7,7,7,7
8664562.0,7,7,7,7
8664826.0,7,7,7,7
