,Response,Response,Response,Response,Response,Response,Response,Response
Question Key,Debriefing,ExitQ_Immersion,ExitQ_PlayAgain,ExitQ_PlayDecisions,ExitQ_PlayFeeling,ExitQ_SettingCheck,Feedback,ImmsersionSlider
Participant Private ID,,,,,,,,
8657248.0,Yes,Dice rolls,Jamal,I guess as reasonable that they can within the context of their decisions,I don't care,Fantasy,No,1
8657252.0,Yes,Add images,Deshawn,Yes,Indifferent,Forest,No,7
8657253.0,Yes,Images,DeShawn,Not always.,Pretty good players,A land with creatures,Thank you for the opportunity!,6
8657254.0,Yes,,Spencer,Deshawn at first didn't but made up for it toward the end.,I think Deshawn should make better decisions in certain scenarios,Fantasy based gladiator arena,,6
8657258.0,Yes,"Not limit the amount of times that the gamemaster is able to punish or reward the players. Since I had a set number that I had to reward and punish, it felt like a great deal of power was taken from me.","Probably Aisha, but only just barely.","For the most part, I don't think they did.","I did not feel positive about either player, but I don't know what actions that they were allowed to choose and if they were choosing the best action at their disposal.",A dungeon crawler.,No.,4
8657259.0,Yes,Add sound effects and images/videos,Deshawn,Some times.,I felt indifferent to both players.,A dungeon,no,6
8657271.0,Yes,None,Yes,Certainly!,It was cool and awesome with them,More like Gartia game on Discord,None,7
8657272.0,Yes,no, Becky,"Yes, they did",the person was hardworking,The adventure was about 3 individual to find a chest,no,7
8657277.0,Yes,no,becky,yes,neutral,a fantasy adventure,no,6
8657304.0,Yes,add pictures,Deshawn,Yes,I liked both players but favored Deshawn more,in the jungle,no,6
8657312.0,Yes, None,Aisha,Yes,I feel Aisha is smarter, The Gauntlet of Trials,None,5
8657352.0,Yes,,Aisha,"Yes, they did make a few reasonable decision.",Felt positive with both players,An adventurous setting,,7
8657356.0,Yes,Introducing a pictorial representation or display of the scenes,Aisha,Yes they did,Aisha is the smarter one while Deshawn is the stronger one,The Gauntlet of Trials,none,6
8657359.0,Yes,no,spencer,yes,they are both fine,like lord of the ringsy,no,6
8657361.0,Yes,None,Deshawn ,yes,Deshawn seem stronger ,The gaunntlet of trials,None,6
8657367.0,Yes,"To make the scenarios more immersive, I would suggest adding pictures that corresponds to the actions that are presented.","I would prefer to play with both players again equally. But if I had to choose, I would like to play with Deshawn again.",I believe both players mostly made reasonable decisions throughout the game.,I favored both players equally. They were both quick in their decisions and made rational choices.,I believe the setting of the adventure was at a colosseum with spectators.,I have no additional questions regarding the study at this time.,5
8657370.0,Yes,no,Aisha,yes,no particular feelings,a dungeons and dragons type of setting,no,6
8657371.0,Yes,"If there were pictures that accompanied each scene, that would be nice.",Deshawn,I think they both made reasonable decisions.  I would have made the same decisions in their places. ,I thought both players were fine.,The coliseum,"If others will use this game in the future, I think it would be nice to give people a few more seconds to read the text.  The text is going by pretty quickly.",5
8657375.0,Yes,There were very interactive and felt as if I was apart of a team oriented game.,Aisha,They made reasonable attempts with high levels of intelligence. ,Both were great Aisha stands out in most actions.,"Some type of war engagement. Involving Gigantic Salamanders, flesh eating ready. Swords, chambers, crossbows",No concerns,7
8657378.0,Yes,No,Both,Yes,I felt indifferent about both players,It was text based,None,6
8657379.0,Yes,NO,Aisha,YES,They are both good to play with.,A cave and a land,NO,7
8657380.0,Yes,No,Jack,"Yes, I think they did",They were both engaging,Fun and interactive,No,7
8657383.0,Yes,No,DeShawn,They did make reasonable decisions ,I think both of the players were,Fantasy,,5
8657384.0,Yes,Na,Spencer,yes,positive,Action,na,6
8657388.0,Yes,need pictures of the adventure,becky,yes,indifferent,forest,no,5
8657390.0,Yes,The explanation for the punish and reward options should be well reiterated ,Aisha,"Yea, they didn't do things blindly, they rely more on their intelllect. ",They are both courageous and powerful,A haunted forest,I think none of the players deserve to be punished,5
8657395.0,Yes,"No, I do not have any specific ideas that come to mind.",I would probably like to play with Becky.,"Yes, they appeared to make good decisions throughout the game.",I felt rather good about boths players.,It was placed in a fantasy like world within a dungeon.,None,6
8657398.0,Yes,nothing in the particular,deshawn,yes they did,i feel really amused,gladiator fighting,nothing comes to mind,6
8657412.0,Yes,,NO,SOMETIMES,NEUTRAL,THE PUNISH AND REWARD POINT,,5
8657418.0,Yes,The participant actions should vary at each stage,"i would select Both players, Muscle and brains are equally important",Both players prospered at their individual strengths ,Deshawn showed courage while spencer had good analytical skills ,it was a colluseum type of dungeon,"No, Thank you .",7
8657422.0,Yes,A role system between the adventures to make them more distinct,Deshawn,Yes.,No particular feelings between the two.,Gladitor style series of trials,The other players didn't feel real so it was hard to immersive myself into the scenario.,3
8657423.0,Yes,Visuals,Deshawn,Yes they did,I felt both were great players,A mystical world,No,5
8657437.0,Yes,I would like to see little drawings of each event happening as the adventure unfolds.,Jamal,I wanted to keep it fair by punishing and rewarding when necessary,I thought both were great. I wish I could've rewarded both equally,Dungeon. ,No,6
8657450.0,Yes,Allow more time for people to read the text.  Some text moves by too quick,deshawn,All their decisions seemed reasonable. ,both were good,forest,no,4
8657456.0,Yes,"Instead of names alone, character emblems would be nice to see",Aisha,"Yes, the players did make highly reasonable decisions",I felt positive regarding the players that I was paired with.,Local tournament at a colosseum,"No, I do NOT have any questions or concerns.",7
8657457.0,Yes,It feels like options were too obvious. Or perhaps the players themselves were just picking obvious solutions.,Aisha,A little bit but they could've been better (I think),Indifferent. Aisha seemed a bit sharper,An adventure with two heroes journeying into some dungeon.,No,3
8657477.0,Yes,no,Aisha,Yes,I feel good about them both,A fantasy sword and sorcery world,no,6
8657480.0,No,None,Deshawn,"Yes, for the most part",Both were active,I can't remember,The screen kind of went too fast as I was reading. ,6
8657481.0,Yes,This was really fun,Becky,Yes,I enjoyed them both,It was in a battle,none,7
8657490.0,Yes,No,Jamal,yes ,i feel positive ,Action and Drama,no,7
8657493.0,Yes,No,Alisha,Somewhat,Both seemed like basic DND players.,A fantasy dungeon,No,4
8657494.0,Yes,No,Deshawn,Sometimes,I felt that I knew deshawn,"Zombies and sowards, the story moved too fast on it's own. I couldnt reread it or take my time.","The story progressed too fast althought it gave me the option to press next, it moved foward on it's own and forced me to read faster than i normally do.",5
8657500.0,Yes,Music and sound effects,Deshaun,"Becky was better at using wits, Deshaun was better at battling.",I felt more kinship with Deshaun,A dungeon,,6
