,Response,Response,Response,Response,Response,Response,Response,Response
Question Key,Debriefing,ExitQ_Immersion,ExitQ_PlayAgain,ExitQ_PlayDecisions,ExitQ_PlayFeeling,ExitQ_SettingCheck,Feedback,ImmsersionSlider
Participant Private ID,,,,,,,,
8657251.0,Yes,no,Jack,yes,They both were pretty good,A cave,no,7
8657256.0,Yes,not really,Aisha,yes,They both were good,Facing different obstacles and monsters,no,6
8657260.0,Yes,Maybe some visuals to go along with the different scenarios,Becky,Jack surely didn''t. Becky seemed to have come out unscathed. Not sure if I had anything to do with based on my decisions.,I had an affinity with Becky. Have had several co-workers named Jack and they were down right ogres. ,A dungeon complete with various advesaries. ,No...other than to wish you well with your survey/role playing game. ,5
8657261.0,Yes,Do not EVER snatch instructions away from me while I'm trying to read them!,Either,"Their decisions seemed reasonable, but I was left with a completely unreasonable set of options",Both seemed to act bravely,Some kind of Colliseum,No comments,3
8657262.0,Yes,no,no,yes,no feelings at all,two people doing heroic things,no,7
8657263.0,Yes,no,Jamal,yes,I felt good about them,colosseum ,no,6
8657264.0,Yes,"Add some dice or remove the page timers would be helpful.  Also, add some HP so we know how much damage each player can still take.  Also, it didn't seem like the players were making decisions, but more like I was making the decisions on a binary way.",I would be indifferent.  They both seemed equally competent.,I didn't feel like they made any decisions.  It was more like I made the decisions on their behalf.  I don't really know if they were real because the entire thing seemed automated.,I didn't feel anything about either player because thee was no real interaction with them.,The Gauntlet of Trials - a colosseum tournament type area ,"You really need to revamp this whole thing and include a lot more detail, variables, and possibly some interaction with the ""players"" if you want it to seem legitimate.  It didn't seem like a real game to me after the second/third turn.",1
8657267.0,Yes,Get the frames right. Much of the text can't be read.,Jamal,yes,Not much. They are names on the screen.,A fantasy world,no,2
8657268.0,Yes,Perhaps a picture of Jack and one of Spencer,Jack,Yes they took risks which is necessary.,I felt great about both.,They were in a coloseum like galiators. ,Not at all. ,7
8657269.0,Yes,Not really,Spencer,Yes,I feel like Jack was focused more on brute strength and Spencer was playing an INT character.,Two adventurers going through a series of trials in a competition,"No issues, questions, comments, or concerns, thanks!",7
8657270.0,Yes,no,Jamal,yes,felt great ,going through several tough tasks and stages to succeed,no,7
8657274.0,Yes,"Have an extra reward or punish for the end, so it is my choice.","Either one, they both seemed pretty skilled but didn't do anything outlandish","Yeah, nothing too wild. Kinda tame to be honest","They were fine,",Two people going on a quest for treasure,"Nope, it was fine",5
8657275.0,Yes,"some of the scenarios did not seem so coliseum-like to me.  also one of the scenarios said ""he took"" as opposed to ""they took"" when refering to becky",Becky because I punished them too much ,I think they tried to,they both fought bravely in the arena. I feel good about both of them,a fantasy setting in a coliseum,no,6
8657276.0,Yes,no,Jack,yes,neutral,unsure,no,7
8657278.0,Yes,no,Becky,They relied on brute strength instead of intelect ,Indifferent,Area filled with various chambers,"Bindly demanding ""questions"" does absolutely nothing other than demean the workers you rely on for data",2
8657279.0,Yes,"Not particularly, no.","Jack, if only so I could be a bit nicer to him",I would say so.,Difficult to say without knowing the person behind the player.,A dungeon crawl featuring a variety of encounters,None,6
8657280.0,Yes,none,The first one,not in my eyes,indifferent ,Another world,none,3
8657282.0,Yes,Maybe like a clip art image or something to accompany each part of the adventure.,Jack,"Yes, I think they both generally made good decisions!","I felt positvely towards both of them, although Jack seemed to make better decisions.",It was a fantasy-like one fighting various monsters and solving puzzles and riddles.,"Not at this time, thank you!",6
8657283.0,Yes,Imagery might help,"Either.  Leaning towards Jamal but nothing against Jack, either","I felt like I was controlling their decisions, so it is difficult to answer.  Hypothetically, yes",I felt generally indifferent.,"It seemed like a medieval adventure, I know specifically a colloseum was involved.",No,5
8657284.0,Yes,"Some things went by too fast and did not let me read everything fast enough , so maybe slow some down.",Jack,"Sometimes yes they did,",They were okay,meidival era ,no,3
8657285.0,Yes,I cannot think of anything.,Both players,For the most part.,Thought they were okay.,A dungeons & dragons type setting.,No.,5
8657286.0,Yes,Let me play instead of just rewarding or punishing.,Doesn't matter,Sure,Nothing,We were in a place with spectators and confronted with various challenges.,Much of the text was beyond the bounds of my screen. Make it scrollable or optimize it for laptop screens. We don't all have fancy 24 inch monitors.,3
8657287.0,Yes,no,Becky,yes,I think both players tried to do their best with what they had,outside through different areas like a lava tile room,no,7
8657288.0,Yes,no,Jamal,Yes,The same about each player,It reminded me of dungeons and dragons,no,7
8657289.0,Yes,"Slow it down some, It was sometime hard to read the scenario",Aisha,They made good decisions,"I like them both but Aishia was a little better, I guess",a local tournament at a colosseum,,6
8657290.0,Yes,Not really,Jamal,Mostly,Both seemed rather normal,A arena/dungeon,No,4
8657291.0,Yes,No,Jack,Yes,Neutral,Gladiator Pit,no,6
8657292.0,Yes,Include images or video,Either player.,They both were reasonable and competent.,I thought they each acted well.,A series of challenges in an arena,None,6
8657293.0,Yes,Have more options than punish and reward.,Aissa,Yes,"I did not like Jack, just because I know a Jack. The girl seemed pretty cool.",A fantasy setting,,6
8657294.0,Yes,It seemed pretty cookie-cutter and boring. Perhaps jazz it up with interesting scenarios?,Aisha,"I thought so, yes. I didn't see what their choices were, so perhaps they didn't choose what I would have chosen, but that was up to them and not to me.",Both were pretty bland.,A gauntlet where the adventurers proved themselves against dangers.,I have no questions or concerns.,1
8657295.0,Yes,Not that i can think of. Maybe a bit more detail? Maybe not have the texts move so fast near the end.,Becky,Yes from what i can t ell.,They both seemed fine.,They had to fight ogres and different monsters. I apologize but i forget the setting. i think it was on the opening page?  ,"No, Just hope its ok i didnt remember the original setting. Apologize for that.",7
8657296.0,Yes,maybe be more descriptive,Jack,yes,mostly indifferent,in a large cave,"Some of the text didn't display properly, especially the instructions at the beginning. I  was only able to see a portion of them, the letters were very large.",5
8657297.0,Yes,"In one of the responses the incorrect gender pronoun was used for Becky when she was punished, which made the experience less immersive because it caused me to think of Jack rather than Becky.",I would want to play with Becky because she was the first to use her intellect to solve problems.,I think that both players made reasonable decisions with their intellect and dropped some valuables in order to stay alive when they were punished.,I feel positive about both players because they both used their intellect when they could to solve problems.,The adventurers named Jack and Becky were in a classic fantasy adventure setting with golems and wizards and traps and puzzles they had to solve.,I have no other questions or comments or concerns to share about this study.,7
