,Response,Response,Response
Question Key,PGRD1,PGRD2,PGRD3
Participant Private ID,,,
8657251.0,1.0,1.0,1.0
8657256.0,1.0,1.0,1.0
8657260.0,3.0,3.0,3.0
8657261.0,1.0,1.0,1.0
8657262.0,1.0,1.0,1.0
8657263.0,3.0,3.0,3.0
8657264.0,3.0,2.0,1.0
8657267.0,2.0,2.0,1.0
8657268.0,2.0,1.0,1.0
8657269.0,1.0,1.0,1.0
8657270.0,1.0,1.0,1.0
8657274.0,2.0,1.0,1.0
8657275.0,1.0,1.0,1.0
8657276.0,1.0,1.0,1.0
8657278.0,1.0,1.0,1.0
8657279.0,1.0,1.0,1.0
8657280.0,7.0,7.0,7.0
8657282.0,2.0,1.0,1.0
8657283.0,3.0,3.0,3.0
8657284.0,3.0,6.0,5.0
8657285.0,1.0,1.0,1.0
8657286.0,1.0,1.0,1.0
8657287.0,5.0,5.0,5.0
8657288.0,2.0,3.0,1.0
8657289.0,1.0,1.0,1.0
8657290.0,3.0,2.0,2.0
8657291.0,3.0,2.0,1.0
8657292.0,6.0,6.0,7.0
8657293.0,4.0,3.0,3.0
8657294.0,2.0,2.0,2.0
8657295.0,2.0,2.0,2.0
8657296.0,5.0,6.0,5.0
8657297.0,1.0,1.0,1.0
8657298.0,2.0,2.0,2.0
8657299.0,1.0,1.0,1.0
8657300.0,1.0,1.0,1.0
8657301.0,1.0,1.0,1.0
8657302.0,2.0,3.0,2.0
8657305.0,1.0,1.0,1.0
8657306.0,5.0,5.0,5.0
8657307.0,1.0,1.0,1.0
8657308.0,1.0,1.0,1.0
8657309.0,3.0,2.0,1.0
8657311.0,1.0,1.0,1.0
8657313.0,1.0,1.0,1.0
8657314.0,1.0,1.0,1.0
8657315.0,6.0,6.0,6.0
8657316.0,1.0,1.0,1.0
8657317.0,3.0,3.0,2.0
8657318.0,3.0,3.0,1.0
8657319.0,2.0,1.0,1.0
8657320.0,7.0,7.0,7.0
8657321.0,2.0,2.0,2.0
8657322.0,2.0,2.0,2.0
8657323.0,4.0,3.0,5.0
8657324.0,2.0,2.0,1.0
8657325.0,3.0,3.0,3.0
8657326.0,1.0,7.0,1.0
8657327.0,5.0,5.0,3.0
8657328.0,4.0,3.0,2.0
8657329.0,3.0,4.0,3.0
8657330.0,2.0,1.0,1.0
8657331.0,3.0,3.0,3.0
8657332.0,5.0,5.0,4.0
8657333.0,1.0,1.0,1.0
8657334.0,2.0,2.0,2.0
8657335.0,1.0,1.0,1.0
8657336.0,1.0,1.0,1.0
8657337.0,5.0,5.0,5.0
8657338.0,2.0,2.0,1.0
8657339.0,1.0,1.0,2.0
8657340.0,3.0,3.0,2.0
8657341.0,4.0,4.0,4.0
8657342.0,2.0,1.0,1.0
8657343.0,7.0,7.0,7.0
8657344.0,1.0,1.0,1.0
8657345.0,2.0,2.0,2.0
8657346.0,2.0,4.0,3.0
8657347.0,3.0,1.0,1.0
8657348.0,4.0,1.0,1.0
8657349.0,2.0,2.0,1.0
8657351.0,2.0,2.0,2.0
8657353.0,2.0,1.0,1.0
8657354.0,2.0,2.0,2.0
8657355.0,1.0,1.0,1.0
8657357.0,1.0,1.0,1.0
8657360.0,4.0,4.0,4.0
8657362.0,2.0,2.0,1.0
8657363.0,2.0,2.0,2.0
8657374.0,6.0,5.0,1.0
8657385.0,1.0,1.0,1.0
8657389.0,3.0,3.0,2.0
8657393.0,2.0,2.0,2.0
8657401.0,1.0,1.0,1.0
8657433.0,2.0,2.0,3.0
8657471.0,3.0,2.0,3.0
8657547.0,1.0,1.0,1.0
