Response ID,Participant Private ID,allocator-k3xu,Absolute Reaction Time,Correct,Spreadsheet: ImageLeft,Spreadsheet: ImageRight,Spreadsheet: TextLeft,Spreadsheet: TextRight,Spreadsheet: metadata
10,8657252.0,Condition_InIn,2194.6049999523166,1.0,bf14_nc.jpg,wf2_nc.jpg,,,practice_images
12,8657252.0,Condition_InIn,1177.2659999523166,1.0,bf14_nc.jpg,wf2_nc.jpg,,,practice_images
14,8657252.0,Condition_InIn,1137.7409999523152,1.0,bf14_nc.jpg,wf2_nc.jpg,,,practice_images
16,8657252.0,Condition_InIn,790.3470000238449,1.0,bf14_nc.jpg,wf2_nc.jpg,,,practice_images
18,8657252.0,Condition_InIn,1319.2369999523216,1.0,bf14_nc.jpg,wf2_nc.jpg,,,practice_images
20,8657252.0,Condition_InIn,1038.3639999761654,1.0,bf14_nc.jpg,wf2_nc.jpg,,,practice_images
22,8657252.0,Condition_InIn,1057.5389999523177,0.0,bf14_nc.jpg,wf2_nc.jpg,,,practice_images
24,8657252.0,Condition_InIn,791.9490000238438,1.0,bf14_nc.jpg,wf2_nc.jpg,,,practice_images
26,8657252.0,Condition_InIn,955.2299999284731,1.0,bf14_nc.jpg,wf2_nc.jpg,,,practice_images
28,8657252.0,Condition_InIn,737.0049999761541,1.0,bf14_nc.jpg,wf2_nc.jpg,,,practice_images
30,8657252.0,Condition_InIn,882.994000000006,1.0,bf14_nc.jpg,wf2_nc.jpg,,,practice_images
34,8657252.0,Condition_InIn,3355.441000000006,1.0,blank.png,blank.png,Intelligence,Stupidity,practice_incongruent
36,8657252.0,Condition_InIn,708.6569999761559,1.0,blank.png,blank.png,Intelligence,Stupidity,practice_incongruent
38,8657252.0,Condition_InIn,776.8600000238366,1.0,blank.png,blank.png,Intelligence,Stupidity,practice_incongruent
40,8657252.0,Condition_InIn,1048.8889999523235,1.0,blank.png,blank.png,Intelligence,Stupidity,practice_incongruent
42,8657252.0,Condition_InIn,638.9530000238447,1.0,blank.png,blank.png,Intelligence,Stupidity,practice_incongruent
44,8657252.0,Condition_InIn,631.1829999284673,1.0,blank.png,blank.png,Intelligence,Stupidity,practice_incongruent
46,8657252.0,Condition_InIn,1002.6809999761608,0.0,blank.png,blank.png,Intelligence,Stupidity,practice_incongruent
48,8657252.0,Condition_InIn,782.4720000238449,1.0,blank.png,blank.png,Intelligence,Stupidity,practice_incongruent
50,8657252.0,Condition_InIn,737.2280000000028,0.0,blank.png,blank.png,Intelligence,Stupidity,practice_incongruent
52,8657252.0,Condition_InIn,723.082999928476,1.0,blank.png,blank.png,Intelligence,Stupidity,practice_incongruent
54,8657252.0,Condition_InIn,662.3150000238384,1.0,blank.png,blank.png,Intelligence,Stupidity,practice_incongruent
56,8657252.0,Condition_InIn,603.6699999999983,1.0,blank.png,blank.png,Intelligence,Stupidity,practice_incongruent
58,8657252.0,Condition_InIn,581.2360000238405,1.0,blank.png,blank.png,Intelligence,Stupidity,practice_incongruent
60,8657252.0,Condition_InIn,849.6619999999821,1.0,blank.png,blank.png,Intelligence,Stupidity,practice_incongruent
62,8657252.0,Condition_InIn,631.2919999284786,1.0,blank.png,blank.png,Intelligence,Stupidity,practice_incongruent
64,8657252.0,Condition_InIn,612.4890000238374,1.0,blank.png,blank.png,Intelligence,Stupidity,practice_incongruent
68,8657252.0,Condition_InIn,1790.8120000000054,1.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
70,8657252.0,Condition_InIn,746.7920000000013,1.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
72,8657252.0,Condition_InIn,815.7559999523219,1.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
74,8657252.0,Condition_InIn,858.184999928475,1.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
76,8657252.0,Condition_InIn,892.5139999999956,0.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
78,8657252.0,Condition_InIn,733.0299999999988,1.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
80,8657252.0,Condition_InIn,888.4739999761514,1.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
82,8657252.0,Condition_InIn,757.9809999284626,1.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
84,8657252.0,Condition_InIn,603.5839999523305,1.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
86,8657252.0,Condition_InIn,799.679999999993,1.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
88,8657252.0,Condition_InIn,679.2189999523107,1.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
90,8657252.0,Condition_InIn,616.4329999284819,1.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
92,8657252.0,Condition_InIn,867.9749999523046,1.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
94,8657252.0,Condition_InIn,666.4070000000065,1.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
96,8657252.0,Condition_InIn,729.231999928481,1.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
98,8657252.0,Condition_InIn,551.7519999761716,1.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
100,8657252.0,Condition_InIn,640.9849999284779,1.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
102,8657252.0,Condition_InIn,810.2219999523077,1.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
104,8657252.0,Condition_InIn,629.9320000000007,1.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
106,8657252.0,Condition_InIn,696.0209999523067,1.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
108,8657252.0,Condition_InIn,656.2769999761658,1.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
110,8657252.0,Condition_InIn,549.7930000000051,1.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
112,8657252.0,Condition_InIn,608.1429999284737,1.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
114,8657252.0,Condition_InIn,624.1839999523072,0.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
116,8657252.0,Condition_InIn,666.4160000000265,1.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
118,8657252.0,Condition_InIn,620.1499999999942,0.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
120,8657252.0,Condition_InIn,1186.9379999999946,1.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
122,8657252.0,Condition_InIn,547.7630000000063,1.0,bf14_nc.jpg,wf2_nc.jpg,Intelligence,Stupidity,incongruent
126,8657252.0,Condition_InIn,1252.8769999284705,1.0,blank.png,blank.png,Strong,Weak,practice_incongruent
128,8657252.0,Condition_InIn,759.694999976171,1.0,blank.png,blank.png,Strong,Weak,practice_incongruent
130,8657252.0,Condition_InIn,706.1019999523123,1.0,blank.png,blank.png,Strong,Weak,practice_incongruent
132,8657252.0,Condition_InIn,696.9879999284749,1.0,blank.png,blank.png,Strong,Weak,practice_incongruent
134,8657252.0,Condition_InIn,693.231999952317,0.0,blank.png,blank.png,Strong,Weak,practice_incongruent
136,8657252.0,Condition_InIn,611.4729999761621,1.0,blank.png,blank.png,Strong,Weak,practice_incongruent
138,8657252.0,Condition_InIn,799.695000000007,1.0,blank.png,blank.png,Strong,Weak,practice_incongruent
140,8657252.0,Condition_InIn,674.305000023829,1.0,blank.png,blank.png,Strong,Weak,practice_incongruent
142,8657252.0,Condition_InIn,813.2179999284854,1.0,blank.png,blank.png,Strong,Weak,practice_incongruent
144,8657252.0,Condition_InIn,649.3329999523121,1.0,blank.png,blank.png,Strong,Weak,practice_incongruent
146,8657252.0,Condition_InIn,1065.7780000238563,0.0,blank.png,blank.png,Strong,Weak,practice_incongruent
148,8657252.0,Condition_InIn,608.5759999523289,1.0,blank.png,blank.png,Strong,Weak,practice_incongruent
150,8657252.0,Condition_InIn,725.8310000238416,1.0,blank.png,blank.png,Strong,Weak,practice_incongruent
152,8657252.0,Condition_InIn,683.0679999999993,0.0,blank.png,blank.png,Strong,Weak,practice_incongruent
154,8657252.0,Condition_InIn,719.5669999284728,0.0,blank.png,blank.png,Strong,Weak,practice_incongruent
156,8657252.0,Condition_InIn,1061.6840000000084,1.0,blank.png,blank.png,Strong,Weak,practice_incongruent
160,8657252.0,Condition_InIn,1574.192999928462,1.0,bf14_nc.jpg,wf2_nc.jpg,Strong,Weak,incongruent
162,8657252.0,Condition_InIn,572.6840000238444,1.0,bf14_nc.jpg,wf2_nc.jpg,Strong,Weak,incongruent
164,8657252.0,Condition_InIn,669.3509999999951,1.0,bf14_nc.jpg,wf2_nc.jpg,Strong,Weak,incongruent
166,8657252.0,Condition_InIn,802.9599999523198,1.0,bf14_nc.jpg,wf2_nc.jpg,Strong,Weak,incongruent
168,8657252.0,Condition_InIn,627.1760000000068,1.0,bf14_nc.jpg,wf2_nc.jpg,Strong,Weak,incongruent
170,8657252.0,Condition_InIn,683.0649999999732,1.0,bf14_nc.jpg,wf2_nc.jpg,Strong,Weak,incongruent
172,8657252.0,Condition_InIn,687.673999976163,0.0,bf14_nc.jpg,wf2_nc.jpg,Strong,Weak,incongruent
174,8657252.0,Condition_InIn,1082.024000023841,1.0,bf14_nc.jpg,wf2_nc.jpg,Strong,Weak,incongruent
176,8657252.0,Condition_InIn,1176.979000023828,1.0,bf14_nc.jpg,wf2_nc.jpg,Strong,Weak,incongruent
178,8657252.0,Condition_InIn,889.4530000238447,0.0,bf14_nc.jpg,wf2_nc.jpg,Strong,Weak,incongruent
180,8657252.0,Condition_InIn,727.2859999284847,1.0,bf14_nc.jpg,wf2_nc.jpg,Strong,Weak,incongruent
182,8657252.0,Condition_InIn,1160.4990000238467,1.0,bf14_nc.jpg,wf2_nc.jpg,Strong,Weak,incongruent
184,8657252.0,Condition_InIn,994.740999928472,1.0,bf14_nc.jpg,wf2_nc.jpg,Strong,Weak,incongruent
186,8657252.0,Condition_InIn,1099.5769999999611,1.0,bf14_nc.jpg,wf2_nc.jpg,Strong,Weak,incongruent
188,8657252.0,Condition_InIn,763.8799999523035,1.0,bf14_nc.jpg,wf2_nc.jpg,Strong,Weak,incongruent
190,8657252.0,Condition_InIn,965.987999976147,1.0,bf14_nc.jpg,wf2_nc.jpg,Strong,Weak,incongruent
192,8657252.0,Condition_InIn,1106.268000023847,0.0,bf14_nc.jpg,wf2_nc.jpg,Strong,Weak,incongruent
194,8657252.0,Condition_InIn,699.7170000000042,1.0,bf14_nc.jpg,wf2_nc.jpg,Strong,Weak,incongruent
196,8657252.0,Condition_InIn,1046.4349999999977,1.0,bf14_nc.jpg,wf2_nc.jpg,Strong,Weak,incongruent
198,8657252.0,Condition_InIn,618.7019999999902,1.0,bf14_nc.jpg,wf2_nc.jpg,Strong,Weak,incongruent
200,8657252.0,Condition_InIn,643.5920000238402,1.0,bf14_nc.jpg,wf2_nc.jpg,Strong,Weak,incongruent
