,Response,Response,Response,Response,Response,Response,Response,Response
Question Key,MIBI_CS1-RS,MIBI_CS2,MIBI_CS3,MIBI_CS4-RS,MIBI_CS5,MIBI_CS6,MIBI_CS7,MIBI_CS8-RS
Participant Private ID,,,,,,,,
8657248.0,1.0,7.0,2.0,1.0,1.0,2.0,3.0,2.0
8657252.0,1.0,7.0,7.0,1.0,7.0,7.0,7.0,1.0
8657253.0,2.0,7.0,5.0,2.0,6.0,7.0,7.0,2.0
8657254.0,7.0,1.0,1.0,7.0,2.0,2.0,1.0,7.0
8657258.0,4.0,2.0,2.0,5.0,3.0,3.0,3.0,2.0
8657259.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
8657271.0,5.0,5.0,2.0,3.0,5.0,6.0,5.0,2.0
8657272.0,6.0,5.0,6.0,1.0,6.0,6.0,5.0,2.0
8657277.0,2.0,7.0,7.0,1.0,7.0,7.0,7.0,6.0
8657304.0,2.0,6.0,4.0,5.0,6.0,5.0,5.0,2.0
8657312.0,3.0,5.0,2.0,3.0,5.0,5.0,5.0,3.0
8657352.0,2.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0
8657356.0,2.0,6.0,5.0,2.0,6.0,6.0,6.0,2.0
8657359.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,3.0
8657361.0,1.0,6.0,6.0,1.0,7.0,6.0,7.0,6.0
8657367.0,6.0,2.0,1.0,6.0,4.0,4.0,4.0,4.0
8657370.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0
8657371.0,1.0,7.0,5.0,2.0,7.0,7.0,7.0,1.0
8657375.0,7.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0
8657378.0,2.0,6.0,6.0,2.0,6.0,6.0,6.0,2.0
8657379.0,1.0,7.0,7.0,1.0,7.0,7.0,7.0,1.0
8657380.0,2.0,7.0,6.0,2.0,7.0,7.0,7.0,2.0
8657383.0,1.0,7.0,4.0,1.0,5.0,5.0,6.0,1.0
8657384.0,2.0,6.0,3.0,2.0,6.0,5.0,5.0,6.0
8657388.0,5.0,7.0,5.0,4.0,5.0,5.0,5.0,4.0
8657390.0,6.0,2.0,1.0,6.0,4.0,5.0,2.0,7.0
8657395.0,2.0,6.0,5.0,1.0,4.0,4.0,6.0,4.0
8657398.0,6.0,6.0,3.0,7.0,6.0,4.0,5.0,3.0
8657412.0,3.0,5.0,6.0,3.0,5.0,6.0,5.0,3.0
