,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
Question Key,ConnectID,EngFluent,Income,age,famIncome,gender,maritalStatus,maritalStatus-text,nChildren,occupation,parentDegree,parentMarriage,parentMarriage-text,partDegree,raceEth_v2,raceEth_v2-text,response-3,response-4,zipborn,zipnow
Participant Private ID,,,,,,,,,,,,,,,,,,,,
8657248.0,14DC7F13EFEA4D6C953D4F121C2D9132,Yes,Less than $12500,25,More than $78000,Male,Single,,0,IT,Masters,Married,,High School,Black or African American,,07091,6,07091,07091
8657252.0,FB4857975F554E61B1C153059BC3BD1F,Yes,$22501-$42500,38,$25000-$40499,Male,Married,,2,Systems Administrator,AS,Married,,BA,Black or African American,,78664,3,78664,73159
8657253.0,92890AED2E96455BB3E2ABFBB8BA5472,Yes,Less than $12500,21,Less than $25000,Male,Single,,0,Student,BS,Divorced,,AS,Black or African American,,35242,4,35205,35205
8657254.0,D75AFA11AA1E433DB170435FAB08C729,Yes,Less than $12500,25,Less than $25000,Male,Single,,0,Unemployed,Bachelor,Divorced,,High School,Black or African American,,30089,4,30089,30089
8657258.0,1AF36584A39C4635A9D916955A490699,Yes,Less than $12500,33,$25000-$40499,male,Single,,0,unemployed,elementary school,Never married,,elementary school,Black or African American,,60651,5,60651,60651
8657259.0,87A8DA70B3DB4B8A845F49A7FCF4EA8D,Yes,$42501-$80000,24,More than $78000,Male,Single,,0,Financial Analyst,Bachelor's Degree,Married,,Bachelor's Degree,Black or African American,,23462,5,23462,43201
8657271.0,8C968816461A455E8F522174C8776045,Yes,More than $80000,33,$56000-$78000,Male,Married,,2,Information Technology,75000,Married,,100000,Black or African American,,10010,7,33125,10010
8657272.0,474309EED654432980BFC7084768A048,Yes,$22501-$42500,30,$56000-$78000,male,Single,,0,Information,Bachelor,Married,,Bachelor degree,Black or African American,,77004,5,77052,77004
8657277.0,093E49E85F5F41DDAEF6E4B61079FF92,No,Less than $12500,25,Less than $25000,male,Single,,0,student,associates ,Never married,,highschool deploma,Black or African American,,77049,4,77049,77049
8657304.0,015A1CF8361246E7A902584FA5142978,Yes,$42501-$80000,29,$56000-$78000,man,Single,,0,Truck driver,associate,Married,,bachelor,Black or African American,,27855,4,27855,27855
8657312.0,512FED05A72842BF9658B966FBD7F076,Yes,$42501-$80000,31,$40500-$55999,Male,Married,,2,Information Technologist,Bachelors' Degree,Married,,Bachelors' Degree,Black or African American,,30308,6,30308,30308
8657352.0,8572A0C72D3545A0A3B982DCA5521469,Yes,$22501-$42500,27,$40500-$55999,Male,Married,,1,Sales representative,College degree,Married,,High school graduate,Black or African American,,14202,4,14202,74110
8657356.0,5398B1AF24F94B1F9B6EB215AFA76B91,Yes,$22501-$42500,35,$25000-$40499,Male,Married,,1,Information Technologist,Bachelor's degree,Married,,Bachelor's degree,Black or African American,,33127,6,33127,33127
8657359.0,61FFB453863242FDA4ED125D8E818F3C,Yes,$12501-$22500,29,$25000-$40499,male,Single,,0,factory,ged,Never married,,ged,Black or African American,,44870,2,44870,44870
8657361.0,52AF4FB70BA34B1F9AB04D0CF955DB3D,Yes,$42501-$80000,29,$40500-$55999,Male,Single,,0,Information Technologist,Bachelor's degree,Married,,Bachelor's degree,Black or African American,,33137,5,33137,33137
8657367.0,6824E81A31B24EBDADE0E5406425C593,Yes,$22501-$42500,29,$56000-$78000,Male,Single,,0,Forklift operator,Bachelors degree,Married,,High School Diploma,Black or African American,,90807,4,90806,90221
8657370.0,D240EEF15A644542AF52488DB0B9EA59,Yes,$42501-$80000,42,$40500-$55999,Male,Single,,0,small business owner,BA / BS,Never married,,none,Black or African American,,21207,3,21209,21231
8657371.0,F7C776B246C14332B002000C9250BF34,Yes,$42501-$80000,40,More than $78000,Male,Single,,0,System Administrator,Master's Degree,Married,,Bachelor's Degree,Black or African American,,20770,4,20770,20770
8657375.0,1D71A5F423D14CCDAC4CFD7D6589BDBE,Yes,$42501-$80000,39,$56000-$78000,Male,Other (please specify),Partnered,0,Senior Program Director,High School Diploma,Divorced,,Master's Degree,Black or African American,,31501,6,31501,31501
8657378.0,A2E119E9A6D245F3B722B2E14697DB8E,Yes,$22501-$42500,37,More than $78000,male,Single,,0,Tutor,High School Degree,Never married,,High School Degree,Black or African American,,70062,5,70065,70065
8657379.0,7C19C6C9BA4F40E2A8CE0698AF72248D,Yes,$22501-$42500,21,$56000-$78000,Male,Single,,0,Student,Masters Degree,Married,,Associate Degree,Black or African American,,77494,5,77494,77494
8657380.0,149A52792BED44CBB0251676B7D236F7,Yes,$42501-$80000,27,Don't know,MAle,Single,,0,Information Security Analyst,Masters,Married,,Masters,Black or African American,,80251,5,80251,80251
8657383.0,9BA21584E852433B84023184E3D937F6,Yes,$42501-$80000,35,More than $78000,Male,Married,,2,IT Manager,Bachelor,Married,,Bachelor,Black or African American,,40513,6,40513,40513
8657384.0,D503D41A56C747E580B25692E2394C7F,Yes,More than $80000,31,More than $78000,Male,Married,,2,IT,Bachelor Degree ,Married,,Master’s ,Black or African American,,07047,5,11219	,07047
8657388.0,17E9985D469E49CB9905950DFCB4B21A,Yes,$42501-$80000,33,$40500-$55999,male,Single,,0,Retired veteran,AS,Never married,,AS,Black or African American,,33147,4,33147,33147
8657390.0,245C359634154BB4BD502B646AAD3CF4,Yes,$22501-$42500,42,$25000-$40499,male,Married,,1,Driver,high school,Divorced and Remarried,,bachelor,Black or African American,,none,6,33610,76134
8657395.0,B4C2801910A4437E86A6FFE31337C252,Yes,$22501-$42500,41,Less than $25000,male,Married,,1,Transport Clerk,High school graduate,Never married,,High school graduate,Black or African American,,92084,4,92084,72758
8657398.0,FF5A3F481B1B48168B13CF577E3F353E,Yes,More than $80000,29,More than $78000,Male,Single,,0,software developer,high schol diploma ,Never married,,bachelars degree,Black or African American,,11411,10,11411,11413
8657412.0,009EE95E3927481E80718D0E564BCDCB,Yes,$22501-$42500,63,Less than $25000,MALE,Married,,2,lab assistant,Associates Degree,Married,,Master's degree,Black or African American,,32277,4,32277,32277
8657418.0,E58FE75DE62343ACA1A5F4C83D36950B,Yes,$22501-$42500,32,$25000-$40499,male,Single,,0,care worker,p.hd,Married,,b.sc,Black or African American,,33024,12,33024,33101
8657422.0,13864BFC86844639BC352FD2734136C8,Yes,Less than $12500,25,$56000-$78000,male,Single,,0,Unemployed,High School,Married,,Bachelor's,Black or African American,,11226,4,11226,11226
8657423.0,793BBA17C5924CF9BE7BFE71DC640818,Yes,More than $80000,32,$56000-$78000,Male,Married,,1,Marketing Manager,Bachelors,Never married,,Masters,Black or African American,,20745,6,22312,20008
8657437.0,1C0FC937A2AD40F29F415265BEFD4B60,Yes,$12501-$22500,34,$25000-$40499,Male,Single,,0,Sweeper truck driver,High school,Never married,,Some college. No degree,Black or African American,,60644,5,60444,60436
8657450.0,5105ADD2460247C7905BA2514F5F4F48,Yes,$42501-$80000,38,More than $78000,Male,Single,,0,Delivery courier,Masters degree,Married,,High school diplmoa,Black or African American,,43220,6,43220,43220
8657456.0,0870B39E7CB348DBB74699311458D574,Yes,$12501-$22500,27,$25000-$40499,Male,Single,,0,Self-employed,High school Diploma,Never married,,Associate Degree,Black or African American,,28206,3,28206,28214
8657457.0,611D484654AC4E27A205859BDED8AC9D,Yes,$12501-$22500,33,Less than $25000,Male,Single,,0,Freelanace software dev,High School,Never married,,Associate's Degree,Black or African American,,94704,3,94609,94612
8657477.0,F2E00CD3924E4A17917E2E3DC5BF0C65,Yes,$12501-$22500,50,$25000-$40499,male,Single,,0,Freelance,associate degree,Other (please specify),seperated,Bachelor,Black or African American,,64130,8,64130,64110
8657480.0,B1DAB4488047472B8339B0EB9E4061F0,Yes,Less than $12500,39,$40500-$55999,Male,Single,,0,Independent Contractor,Bachelors,Other (please specify),Maried but Seperated,Associates,Black or African American,,75217,2,75234,75217
8657481.0,E702CB3184F84ADDB473A20226801D51,Yes,$42501-$80000,41,Less than $25000,Man,Married,,2,Business owner,High School Deploma,Never married,,Associates,Black or African American,,27107,3,32119,32114
8657490.0,F4E7FDC4F62D4A2FB544DAA08897C646,Yes,More than $80000,32,More than $78000,Male,Married,,2,Cyber security ,Masters,Married,,Masters Degree,Black or African American,,29928,6,75081,29928
8657493.0,5366A7251E5A41C280D47C8FD2328B43,Yes,$22501-$42500,29,Less than $25000,Male,Single,,0,Education,GED,Divorced and Remarried,,BBA,Black or African American,,31030,4,31030,31030
8657494.0,2670466A43CA4DA7B5CF702E08A2D86A,Yes,$12501-$22500,36,Less than $25000,male,Single,,0,customer service,College,Married,,High school diploma,Black or African American,,31707,5,31707,31707
8657500.0,4B3A991DE8144DC7B1E912C088528836,Yes,$22501-$42500,27,More than $78000,male,Single,,0,network administrator,Master's Degree,Married,,Bachelor's Degree,Black or African American,,60304,4,60304,60660
8657502.0,72A35B5B5193461B80FAAC7F6EBC9D02,Yes,More than $80000,23,More than $78000,Male,Married,,1,Information Technology,masters,Married,,bachelors,Black or African American,,11212,3,13244,11212
8657505.0,F342062D13C848DC9F47CDD17C5E1BCE,Yes,$22501-$42500,27,$56000-$78000,male,Single,,0,Self-Employed,BS,Married,,Some college,Black or African American,,70122,5,70112,70122
8657515.0,E5D3FE9DF5104D21BF2043F90D919278,Yes,$42501-$80000,30,$56000-$78000,male,Married,,0,software developer,doctorate,Married,,college degree,Black or African American,,47710,5,47710,47720
8657534.0,5B9BB96029434960AD960E48B74806BF,Yes,$12501-$22500,71,Less than $25000,male,Divorced,,0,retired,High school,Widowed,,Technical Certificate,Black or African American,,42240,5,42240,67216
8657536.0,012B4E05E38645C787ADD8FC4C076D2F,Yes,More than $80000,26,More than $78000,male,Single,,0,construction,ged,Married,,ged,Black or African American,,70535,5,70535,70535
8657542.0,62F845DA81FF4D948AEAC0A541012217,Yes,$12501-$22500,37,Less than $25000,Male,Single,,0,Self-employed,High School,Married,,High School,Black or African American,,11212,14,11212,28205
8657544.0,EF267AB9DC6A4FD0A96BEBCCE110ACBC,Yes,$42501-$80000,38,$25000-$40499,Male,Single,,1,Private Security,Bachelor Degree,Divorced and Remarried,,Associate Degree,Black or African American,,11212,4,11212,28212
8657580.0,7B88E76B967A44E8A2A5EF73DC2F79C8,Yes,Less than $12500,23,$56000-$78000,Male,Single,,0,Unemployed,PHD,Married,,Bachelors,Black or African American,,28314,5,28314,28314
8657594.0,4A04B6782E17401695A8C36AC54A555E,Yes,$42501-$80000,33,$56000-$78000,male,Single,,0,Manager,master,Never married,,High school,Black or African American,,14222,1,14205,06519
