,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
Question Key,ConnectID,EngFluent,Income,age,famIncome,gender,maritalStatus,maritalStatus-text,nChildren,occupation,parentDegree,parentMarriage,parentMarriage-text,partDegree,raceEth_v2,raceEth_v2-text,response-3,response-4,zipborn,zipnow
Participant Private ID,,,,,,,,,,,,,,,,,,,,
8657251.0,0B912B6B2279490E8F137A6EF759DE77,Yes,$12501-$22500,33,Less than $25000,Male,Married,,0,mturk,12,Married,,12,White,,45601,3,45601,45601
8657256.0,1A24AEAA97534FB2BC56EF43209C24E5,Yes,$22501-$42500,56,Less than $25000,male,Married,,1,Security Officer,High School Diploma,Married,,High School Diploma,White,,28714,6,28714,28714
8657260.0,8F0DEA30918646299340E0018A729C96,Yes,$12501-$22500,69,Less than $25000,male,Single,,3,retired,none,Divorced,,B.A.,White,,98031,5,98055,98801
8657261.0,EDBCA341EAFE47D7AD058C0EEAD51FB0,Yes,$22501-$42500,40,$56000-$78000,Male,Single,,0,Accounting,Master's degree,Married,,Bachelor's degree,White,,92128,5,92128,92025
8657262.0,8175B21300A54FF3978ECD6D50130295,Yes,More than $80000,65,Less than $25000,male,Married,,1,manager,high school,Married,,AA,White,,15226,5,15226,23231
8657263.0,A4634667043F492A993D08B6484090E5,Yes,$22501-$42500,42,$40500-$55999,male,Married,,2,sales,bachelors,Married,,bachelors,White,,93306,5,93306,93304
8657264.0,3F38F252286247618485E879DFAFAD45,Yes,$22501-$42500,40,More than $78000,male,Single,,0,kitchen manager,J.D.,Divorced and Remarried,,B.A.,White,,27288,4,27288,27403
8657267.0,1A40B0BD6ACA480A93FDCD0C474DE120,Yes,$22501-$42500,60,$40500-$55999,male,Divorced,,1,writer,edd,Married,,phd,White,,30501,5,30602,29303
8657268.0,93D455B5415B479DAFFCE6C26C0BEC91,Yes,$42501-$80000,52,Less than $25000,Male,Married,,3,Teacher,GED,Divorced,,Masters,White,,46350,4,46350,45840
8657269.0,63D7B418580149AF98F4124345C6DCA0,Yes,$22501-$42500,32,More than $78000,Male,Single,,0,Electronics Repair/IT Consulting,Masters,Divorced and Remarried,,Vocational/Trade,White,,24013,5,24013,24012
8657270.0,6FA52E01CCF14DEEA30D8117CE23B3E5,Yes,$42501-$80000,32,More than $78000,Male,Single,,0,Healthcare practitioner,Phd,Never married,,Diploma,White,,77494,9,75942,75942
8657274.0,4870F995121B47F2B637051176D1C806,Yes,$12501-$22500,40,$25000-$40499,Male,Married,,0,Homemaker,High School,Married,,High School,White,,25161,3,25161,25045
8657275.0,51337777B825479189019BB2A657019C,Yes,Less than $12500,25,$40500-$55999,male,Single,,0,,bachelors degree,Divorced,,high school graduate ,White,,40165,3,40218,40165
8657276.0,54B9F370C90B45C09BEF11B7F18EA8BF,Yes,$22501-$42500,68,Less than $25000,Male,Divorced,,2,retired,High School,Married,,AS,White,,46236,5,48226,46229
8657278.0,D0E2958D966F402CA8DFEE2E4FCA04B4,Yes,$42501-$80000,30,$56000-$78000,male,Married,,0,manager,associates,Married,,bachelors,White,,16242,5,16242,15222
8657279.0,0975E5A2DA2148D1AB9AEECD87DBA050,Yes,$22501-$42500,36,$40500-$55999,Male,Married,,0,Retail Sales Associate,High School Diploma,Married,,Associates' Degree,White,,98531,6,98531,98531
8657280.0,33AA135E2637478D90D198D800055C1D,Yes,$22501-$42500,38,More than $78000,male,Single,,0,Photo,none,Married,,none,White,,77070,5,77070,77070
8657282.0,8F01E1D09BFC4F1B884E242088E00539,Yes,$42501-$80000,30,More than $78000,Male,Married,,2,Accountant,Masters,Married,,Masters,White,,92106,6,92106,84005
8657283.0,444DF1191CB443EDA59A8C30D2949B4E,Yes,$22501-$42500,32,$56000-$78000,Male,Single,,0,Assistant Manager (Biopharma),AA,Married,,BS,White,,54313,4,54313,54313
8657284.0,1C97D54A57454F17B83E32D6C199B989,Yes,Less than $12500,22,More than $78000,Male,Single,,0,Unemployed but looking for work. ,Masters,Never married,,Bachelor of Arts,White,,75147,5,75147,80813
8657285.0,D31945F8CDBD48E89DC369B06CB46933,Yes,$22501-$42500,34,$25000-$40499,Male,Married,,0,Data Entry Operator,Associate's,Married,,Bachelor's,White,,42653,3,42653,42653
8657286.0,A3D73F81AEA440B9ACA1ED340FEBD147,Yes,Less than $12500,61,Less than $25000,Male,Other (please specify),Separated,1,Retired,BS,Married,,AA,White,,86401,2,91020,96007
8657287.0,AF329573F9A64CC0BF4371D478335CFF,Yes,$12501-$22500,27,Less than $25000,male,Single,,0,retail,highschool,Married,,highschool,White,,21213,7,21213,21213
8657288.0,32C5293F2F2D43A281FF04F6B2167E01,Yes,$42501-$80000,30,Less than $25000,MALE,Married,,2,Mechanic,high school,Never married,,Some college,White,,14701,5,14701,14787
8657289.0,8330F0524454414A8E702F7574809FBC,Yes,$42501-$80000,53,Less than $25000,Male,Married,,2,Bowling Mechanic,high school diploma,Married,,Associates,White,,14094,3,14094,14067
8657290.0,62495B10480D4C1289D61FF9AEF93266,Yes,Less than $12500,49,Less than $25000,male,Other (please specify),living with a partner,2,Disabled,less than high school,Married,,AA,White,,28083,3,28083,28557
8657291.0,920EFE58C63F42548D31372651572128,Yes,Less than $12500,22,Don't know,Male,Single,,0,Unemployed,Not Sure,Married,,High School,White,,22835,5,22042,22835
8657292.0,FB7D29D91E984BBFA41D1DCCF64296F6,Yes,More than $80000,30,More than $78000,male,Single,,0,nurse advisor,Bachelor's,Married,,Bachelor's,White,,23218,4,23218,23218
8657293.0,4EBF8E6D9D004D40B09788AAF395C9D2,Yes,Less than $12500,25,$25000-$40499,Male,Single,,0,Unemployed,Masters Degree,Married,,Some College,White,,32725,4,30533,32804
8657294.0,4509B59C9C49499EB62F362D3A56B6A2,Yes,$42501-$80000,33,More than $78000,male,Married,,0,Manager,Associates,Married,,Bachelors,White,,97385,4,97301,97301
8657295.0,15C8263230854EBF89DCB88DF3696FBC,Yes,$12501-$22500,40,$40500-$55999,Male,Single,,0,Unemployed,Bacholors' Degree,Never married,,High School,White,,93223,6,93223,93223
8657296.0,AEA538506BB944F0B9B8651DC016E20C,Yes,$22501-$42500,57,Less than $25000,male,Single,,0,unemployed,high school,Married,,high school,White,,14225,5,14225,14225
8657297.0,8531C4436D594873B71C6D500167440C,Yes,More than $80000,36,$56000-$78000,Male,Single,,0,Engineer,Doctorate,Married,,Doctorate,White,,83402,4,99202,83402
8657298.0,82DD13B9FD274E2BAB0BA0C3C3A825F9,Yes,$22501-$42500,41,$25000-$40499,Male,Single,,0,Director of E-Comerece,Masters,Married,,High School Degree,White,,62208,3,62208,62208
8657299.0,7FFB634028E64B5DB1F855CEA4CFCF00,Yes,$42501-$80000,51,$25000-$40499,male,Divorced,,0,Purchasing Manager,high school,Divorced,,MA Economics,White,,90804,4,90804,90028
8657300.0,8A63A8C08763428BAA893CCF23D7DFEB,Yes,$42501-$80000,27,$56000-$78000,Male,Single,,0,IT,Less than highschool,Never married,,Associates,White,,12078,4,12078,12078
8657301.0,0B7EA3BD810140FCA3ACD39A85FC2352,Yes,$42501-$80000,43,$25000-$40499,m,Single,,0,manager,hs,Divorced,,mba,White,,13365,4,13365,13365
8657302.0,1FDA9DF001AC4376B92350630DC78295,Yes,$22501-$42500,35,More than $78000,Male,Married,,1,Wholesale manager,Associates,Married,,Bachelors,White,,33028,4,33028,33028
8657305.0,4F666DDEF59140568082EC4FB22FF502,Yes,$42501-$80000,39,More than $78000,Male,Single,,0,Insurance Sales,High school diploma,Married,,Associate's Degree,White,,39047,4,39042,39047
8657306.0,14F37F4836E74DA99D8580CDA2DA9466,Yes,Less than $12500,39,$25000-$40499,Male,Single,,0,Unemployed,College degree,Widowed,,High School,White,,45238,3,45238,45238
8657307.0,3A0F7CE06869478BBF908FF38CC4ED4F,Yes,$42501-$80000,35,$40500-$55999,male,Married,,1,It support tech,high school deploma,Married,,associates ,White,,98661,5,98661,98661
8657308.0,C20DA5B989DE46AFA8BD9CB8722E5ACC,Yes,Less than $12500,40,$40500-$55999,Male,Single,,0,Help Desk worker,Master's degreee,Never married,,Some college,White,,53207,8,53110,53215
8657309.0,45CBEA1A27254AEC9A1FA4E63F2B0318,Yes,Less than $12500,36,$25000-$40499,male,Married,,0,unemployed,high school,Married,,high school,White,,85710,4,85710,86305
8657311.0,36A6CAF081BE45309867A660FA4756D9,Yes,$42501-$80000,48,$40500-$55999,Male,Married,,3,Management and Construction ,Bachelor's ,Married,,Master's ,White,,30301,5,30301,30301
8657313.0,C76241B0450D4C849AF44993EF743529,Yes,More than $80000,60,$56000-$78000,male,Married,,2,manager,MD,Married,,some college,White,,96732,12,96793,96732
8657314.0,B0DE645961FE41D1AE4B437A371FE709,Yes,$22501-$42500,66,$25000-$40499,Male,Single,,0,Retired,Associates Degree,Married,,High School Diploma,White,,63555,7,52501,61401
8657315.0,B177AE9D35124D38A28730CB6A72830B,Yes,$12501-$22500,28,$25000-$40499,male,Single,,0,It manager,high school,Married,,bachelors,White,,44903,4,44903,44903
8657316.0,ECB3615472864FE4B23007768E7790EC,Yes,Less than $12500,33,$40500-$55999,Male,Single,,0,Unemployed,High School,Married,,High School,White,,45859,4,45859,45812
8657317.0,0CD5A01591584DE1940F418669198AEB,Yes,$22501-$42500,29,$25000-$40499,Male,Single,,0,Assistant Manager,Associates,Never married,,High School,White,,32570,3,32570,32565
8657318.0,7278105B2E864CD58A3F295271E82212,Yes,$22501-$42500,47,$25000-$40499,Male,Single,,0,Writer,Master's Degree,Married,,Some college no degree,White,,95620,6,04401,95531
8657319.0,9296E710B87A4CBF81E11AF6DD6168A3,Yes,$22501-$42500,37,$25000-$40499,male,Single,,0,Computer Specialist,High school,Married,,Associates,White,,14425,5,14425,14425
8657320.0,4F695EE6877D4BED83AEF0E7419CA09C,Yes,$42501-$80000,46,Less than $25000,MALE,Single,,0,Sys Admin,,Married,,BS,White,,15104,3,15104,15218
8657321.0,42A2A6F873AD42CA96FF0F1B75B29339,Yes,$42501-$80000,30,$40500-$55999,male,Single,,0,Security,bachelors,Never married,,highschool diploma,White,,44240,4,44240,43749
8657322.0,3864CB23B3C849349D96CB264DE01B9B,Yes,$42501-$80000,70,$56000-$78000,Male,Married,,3,Manager,High School,Married,,Bachelor of Sciemce,White,,48175,4,48175,31410
8657323.0,91636D2541D24A5D938F047E06CC0661,Yes,$22501-$42500,40,$40500-$55999,Male,Single,,0,Food Service ,B.A.,Married,,B.A.,White,,91011,3,91011,91011
