Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,allocator-k3xu,Randomise questionnaire elements?,Question Key,Response
1,1682375123525,24/04/2023 22:25:23,1682375122444,-7,24/04/2023 15:25:22,131169,4,questionnaire-8poc,,29070944,BLIND,8657380,,complete,,a9a8a803-607f-4449-b2ef-4ad4e4923e44,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1086x668,,Demographic_Intake,2,Condition_InIn,No,BEGIN QUESTIONNAIRE,
2,1682375253776,24/04/2023 22:27:33,1682375252653,-7,24/04/2023 15:27:32,131169,4,questionnaire-8poc,,29070944,BLIND,8657380,,complete,,a9a8a803-607f-4449-b2ef-4ad4e4923e44,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1086x668,,Demographic_Intake,2,Condition_InIn,No,age,27
3,1682375254907,24/04/2023 22:27:34,1682375252655,-7,24/04/2023 15:27:32,131169,4,questionnaire-8poc,,29070944,BLIND,8657380,,complete,,a9a8a803-607f-4449-b2ef-4ad4e4923e44,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1086x668,,Demographic_Intake,2,Condition_InIn,No,gender,MAle
4,1682375254907,24/04/2023 22:27:34,1682375252655,-7,24/04/2023 15:27:32,131169,4,questionnaire-8poc,,29070944,BLIND,8657380,,complete,,a9a8a803-607f-4449-b2ef-4ad4e4923e44,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1086x668,,Demographic_Intake,2,Condition_InIn,No,raceEth_v2,Black or African American
5,1682375254907,24/04/2023 22:27:34,1682375252655,-7,24/04/2023 15:27:32,131169,4,questionnaire-8poc,,29070944,BLIND,8657380,,complete,,a9a8a803-607f-4449-b2ef-4ad4e4923e44,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1086x668,,Demographic_Intake,2,Condition_InIn,No,raceEth_v2-quantised,4
6,1682375254907,24/04/2023 22:27:34,1682375252655,-7,24/04/2023 15:27:32,131169,4,questionnaire-8poc,,29070944,BLIND,8657380,,complete,,a9a8a803-607f-4449-b2ef-4ad4e4923e44,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1086x668,,Demographic_Intake,2,Condition_InIn,No,raceEth_v2-text,
7,1682375254907,24/04/2023 22:27:34,1682375252655,-7,24/04/2023 15:27:32,131169,4,questionnaire-8poc,,29070944,BLIND,8657380,,complete,,a9a8a803-607f-4449-b2ef-4ad4e4923e44,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1086x668,,Demographic_Intake,2,Condition_InIn,No,EngFluent,Yes
8,1682375254907,24/04/2023 22:27:34,1682375252655,-7,24/04/2023 15:27:32,131169,4,questionnaire-8poc,,29070944,BLIND,8657380,,complete,,a9a8a803-607f-4449-b2ef-4ad4e4923e44,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1086x668,,Demographic_Intake,2,Condition_InIn,No,EngFluent-quantised,1
9,1682375254907,24/04/2023 22:27:34,1682375252655,-7,24/04/2023 15:27:32,131169,4,questionnaire-8poc,,29070944,BLIND,8657380,,complete,,a9a8a803-607f-4449-b2ef-4ad4e4923e44,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1086x668,,Demographic_Intake,2,Condition_InIn,No,occupation,Information Security Analyst
10,1682375254907,24/04/2023 22:27:34,1682375252655,-7,24/04/2023 15:27:32,131169,4,questionnaire-8poc,,29070944,BLIND,8657380,,complete,,a9a8a803-607f-4449-b2ef-4ad4e4923e44,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1086x668,,Demographic_Intake,2,Condition_InIn,No,zipborn,80251
