Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,allocator-k3xu,Randomise questionnaire elements?,Question Key,Response
1,1682374398849,24/04/2023 22:13:18,1682374398447,-4,24/04/2023 18:13:18,131186,3,questionnaire-8poc,,29070377,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1325x627,,Demographic_Intake,2,Condition_InIn,No,BEGIN QUESTIONNAIRE,
2,1682374484495,24/04/2023 22:14:44,1682374484153,-4,24/04/2023 18:14:44,131186,3,questionnaire-8poc,,29070377,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1310x627,,Demographic_Intake,2,Condition_InIn,No,age,65
3,1682374484621,24/04/2023 22:14:44,1682374484156,-4,24/04/2023 18:14:44,131186,3,questionnaire-8poc,,29070377,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1310x627,,Demographic_Intake,2,Condition_InIn,No,gender,male
4,1682374484621,24/04/2023 22:14:44,1682374484156,-4,24/04/2023 18:14:44,131186,3,questionnaire-8poc,,29070377,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1310x627,,Demographic_Intake,2,Condition_InIn,No,raceEth_v2,White
5,1682374484621,24/04/2023 22:14:44,1682374484157,-4,24/04/2023 18:14:44,131186,3,questionnaire-8poc,,29070377,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1310x627,,Demographic_Intake,2,Condition_InIn,No,raceEth_v2-quantised,6
6,1682374484621,24/04/2023 22:14:44,1682374484157,-4,24/04/2023 18:14:44,131186,3,questionnaire-8poc,,29070377,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1310x627,,Demographic_Intake,2,Condition_InIn,No,raceEth_v2-text,
7,1682374484621,24/04/2023 22:14:44,1682374484157,-4,24/04/2023 18:14:44,131186,3,questionnaire-8poc,,29070377,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1310x627,,Demographic_Intake,2,Condition_InIn,No,EngFluent,Yes
8,1682374484621,24/04/2023 22:14:44,1682374484159,-4,24/04/2023 18:14:44,131186,3,questionnaire-8poc,,29070377,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1310x627,,Demographic_Intake,2,Condition_InIn,No,EngFluent-quantised,1
9,1682374484621,24/04/2023 22:14:44,1682374484160,-4,24/04/2023 18:14:44,131186,3,questionnaire-8poc,,29070377,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1310x627,,Demographic_Intake,2,Condition_InIn,No,occupation,manager
10,1682374484621,24/04/2023 22:14:44,1682374484160,-4,24/04/2023 18:14:44,131186,3,questionnaire-8poc,,29070377,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1310x627,,Demographic_Intake,2,Condition_InIn,No,zipborn,15226
11,1682374484621,24/04/2023 22:14:44,1682374484161,-4,24/04/2023 18:14:44,131186,3,questionnaire-8poc,,29070377,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1310x627,,Demographic_Intake,2,Condition_InIn,No,response-3,15226
12,1682374484621,24/04/2023 22:14:44,1682374484161,-4,24/04/2023 18:14:44,131186,3,questionnaire-8poc,,29070377,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1310x627,,Demographic_Intake,2,Condition_InIn,No,zipnow,23231
13,1682374484621,24/04/2023 22:14:44,1682374484162,-4,24/04/2023 18:14:44,131186,3,questionnaire-8poc,,29070377,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1310x627,,Demographic_Intake,2,Condition_InIn,No,famIncome,Less than $25000
