Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,allocator-k3xu,Randomise questionnaire elements?,Question Key,Response
1,1682375531077,24/04/2023 22:32:11,1682375530584,-5,24/04/2023 17:32:10,131169,4,questionnaire-pv78,,29071197,BLIND,8657253,,complete,,a6f239d1-29e9-4cd2-bb82-c68545161277,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1920x961,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-race,No,BEGIN QUESTIONNAIRE,
2,1682375541197,24/04/2023 22:32:21,1682375540784,-5,24/04/2023 17:32:20,131169,4,questionnaire-pv78,,29071197,BLIND,8657253,,complete,,a6f239d1-29e9-4cd2-bb82-c68545161277,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1903x961,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-race,No,EIS1,6
3,1682375541326,24/04/2023 22:32:21,1682375540785,-5,24/04/2023 17:32:20,131169,4,questionnaire-pv78,,29071197,BLIND,8657253,,complete,,a6f239d1-29e9-4cd2-bb82-c68545161277,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1903x961,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-race,No,EIS2,5
4,1682375541326,24/04/2023 22:32:21,1682375540785,-5,24/04/2023 17:32:20,131169,4,questionnaire-pv78,,29071197,BLIND,8657253,,complete,,a6f239d1-29e9-4cd2-bb82-c68545161277,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1903x961,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-race,No,EIS3,6
5,1682375541326,24/04/2023 22:32:21,1682375540785,-5,24/04/2023 17:32:20,131169,4,questionnaire-pv78,,29071197,BLIND,8657253,,complete,,a6f239d1-29e9-4cd2-bb82-c68545161277,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1903x961,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-race,No,EIS4,5
6,1682375541326,24/04/2023 22:32:21,1682375540786,-5,24/04/2023 17:32:20,131169,4,questionnaire-pv78,,29071197,BLIND,8657253,,complete,,a6f239d1-29e9-4cd2-bb82-c68545161277,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1903x961,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-race,No,END QUESTIONNAIRE,10202
1,1682375677597,24/04/2023 22:34:37,1682375677510,-4,24/04/2023 18:34:37,131169,4,questionnaire-pv78,,29071370,BLIND,8657259,,complete,,ee724fd3-edf4-4049-86a0-11e45dd55446,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1440,2560x1329,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InIn,No,BEGIN QUESTIONNAIRE,
2,1682375684514,24/04/2023 22:34:44,1682375684492,-4,24/04/2023 18:34:44,131169,4,questionnaire-pv78,,29071370,BLIND,8657259,,complete,,ee724fd3-edf4-4049-86a0-11e45dd55446,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1440,2560x1329,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InIn,No,EIS1,4
3,1682375684654,24/04/2023 22:34:44,1682375684492,-4,24/04/2023 18:34:44,131169,4,questionnaire-pv78,,29071370,BLIND,8657259,,complete,,ee724fd3-edf4-4049-86a0-11e45dd55446,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1440,2560x1329,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InIn,No,EIS2,4
4,1682375684654,24/04/2023 22:34:44,1682375684492,-4,24/04/2023 18:34:44,131169,4,questionnaire-pv78,,29071370,BLIND,8657259,,complete,,ee724fd3-edf4-4049-86a0-11e45dd55446,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1440,2560x1329,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InIn,No,EIS3,4
5,1682375684654,24/04/2023 22:34:44,1682375684492,-4,24/04/2023 18:34:44,131169,4,questionnaire-pv78,,29071370,BLIND,8657259,,complete,,ee724fd3-edf4-4049-86a0-11e45dd55446,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1440,2560x1329,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InIn,No,EIS4,4
6,1682375684654,24/04/2023 22:34:44,1682375684492,-4,24/04/2023 18:34:44,131169,4,questionnaire-pv78,,29071370,BLIND,8657259,,complete,,ee724fd3-edf4-4049-86a0-11e45dd55446,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1440,2560x1329,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InIn,No,END QUESTIONNAIRE,6982
1,1682375759731,24/04/2023 22:35:59,1682375760325,-4,24/04/2023 18:36:00,131169,4,questionnaire-pv78,,29071435,BLIND,8657371,,complete,,285bf309-304e-4f2e-a45c-372390ad4d90,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1920x969,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-both,No,BEGIN QUESTIONNAIRE,
2,1682375778190,24/04/2023 22:36:18,1682375778796,-4,24/04/2023 18:36:18,131169,4,questionnaire-pv78,,29071435,BLIND,8657371,,complete,,285bf309-304e-4f2e-a45c-372390ad4d90,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1903x969,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-both,No,EIS1,7
3,1682375778297,24/04/2023 22:36:18,1682375778797,-4,24/04/2023 18:36:18,131169,4,questionnaire-pv78,,29071435,BLIND,8657371,,complete,,285bf309-304e-4f2e-a45c-372390ad4d90,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1920x1080,1903x969,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-both,No,EIS2,7
