Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,allocator-k3xu,Randomise questionnaire elements?,Question Key,Response
1,1682375302739,24/04/2023 22:28:22,1682375303497,-4,24/04/2023 18:28:23,131186,3,questionnaire-pv78,,29071029,BLIND,8657269,,complete,,79c59496-73d1-4de0-ae77-82f9fa9a7850,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1080,2560x929,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InIn,No,BEGIN QUESTIONNAIRE,
2,1682375308635,24/04/2023 22:28:28,1682375309443,-4,24/04/2023 18:28:29,131186,3,questionnaire-pv78,,29071029,BLIND,8657269,,complete,,79c59496-73d1-4de0-ae77-82f9fa9a7850,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1080,2543x929,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InIn,No,EIS1,4
3,1682375308746,24/04/2023 22:28:28,1682375309444,-4,24/04/2023 18:28:29,131186,3,questionnaire-pv78,,29071029,BLIND,8657269,,complete,,79c59496-73d1-4de0-ae77-82f9fa9a7850,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1080,2543x929,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InIn,No,EIS2,2
4,1682375308746,24/04/2023 22:28:28,1682375309444,-4,24/04/2023 18:28:29,131186,3,questionnaire-pv78,,29071029,BLIND,8657269,,complete,,79c59496-73d1-4de0-ae77-82f9fa9a7850,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1080,2543x929,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InIn,No,EIS3,4
5,1682375308746,24/04/2023 22:28:28,1682375309445,-4,24/04/2023 18:28:29,131186,3,questionnaire-pv78,,29071029,BLIND,8657269,,complete,,79c59496-73d1-4de0-ae77-82f9fa9a7850,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1080,2543x929,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InIn,No,EIS4,4
6,1682375308746,24/04/2023 22:28:28,1682375309445,-4,24/04/2023 18:28:29,131186,3,questionnaire-pv78,,29071029,BLIND,8657269,,complete,,79c59496-73d1-4de0-ae77-82f9fa9a7850,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1080,2543x929,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InIn,No,END QUESTIONNAIRE,5948
1,1682375369638,24/04/2023 22:29:29,1682375370857,-7,24/04/2023 15:29:30,131186,3,questionnaire-pv78,,29071060,BLIND,8657343,,complete,,a39b4438-72c9-4acd-b00e-3e33dfbb4189,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1600x900,1280x636,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-race,No,BEGIN QUESTIONNAIRE,
2,1682375381181,24/04/2023 22:29:41,1682375382470,-7,24/04/2023 15:29:42,131186,3,questionnaire-pv78,,29071060,BLIND,8657343,,complete,,a39b4438-72c9-4acd-b00e-3e33dfbb4189,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1600x900,1266x636,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-race,No,EIS1,7
3,1682375381402,24/04/2023 22:29:41,1682375382472,-7,24/04/2023 15:29:42,131186,3,questionnaire-pv78,,29071060,BLIND,8657343,,complete,,a39b4438-72c9-4acd-b00e-3e33dfbb4189,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1600x900,1266x636,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-race,No,EIS2,7
4,1682375381402,24/04/2023 22:29:41,1682375382473,-7,24/04/2023 15:29:42,131186,3,questionnaire-pv78,,29071060,BLIND,8657343,,complete,,a39b4438-72c9-4acd-b00e-3e33dfbb4189,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1600x900,1266x636,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-race,No,EIS3,3
5,1682375381402,24/04/2023 22:29:41,1682375382473,-7,24/04/2023 15:29:42,131186,3,questionnaire-pv78,,29071060,BLIND,8657343,,complete,,a39b4438-72c9-4acd-b00e-3e33dfbb4189,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1600x900,1266x636,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-race,No,EIS4,7
6,1682375381402,24/04/2023 22:29:41,1682375382474,-7,24/04/2023 15:29:42,131186,3,questionnaire-pv78,,29071060,BLIND,8657343,,complete,,a39b4438-72c9-4acd-b00e-3e33dfbb4189,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1600x900,1266x636,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-race,No,END QUESTIONNAIRE,11617
1,1682375401079,24/04/2023 22:30:01,1682375400928,-6,24/04/2023 16:30:00,131186,3,questionnaire-pv78,,29071084,BLIND,8657282,,complete,,366d55d2-b6a2-4a40-aaf0-f93d1284a9b1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1920x854,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-race,No,BEGIN QUESTIONNAIRE,
2,1682375410572,24/04/2023 22:30:10,1682375410436,-6,24/04/2023 16:30:10,131186,3,questionnaire-pv78,,29071084,BLIND,8657282,,complete,,366d55d2-b6a2-4a40-aaf0-f93d1284a9b1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1895x854,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-race,No,EIS1,4
3,1682375410830,24/04/2023 22:30:10,1682375410437,-6,24/04/2023 16:30:10,131186,3,questionnaire-pv78,,29071084,BLIND,8657282,,complete,,366d55d2-b6a2-4a40-aaf0-f93d1284a9b1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1895x854,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-race,No,EIS2,4
4,1682375410830,24/04/2023 22:30:10,1682375410437,-6,24/04/2023 16:30:10,131186,3,questionnaire-pv78,,29071084,BLIND,8657282,,complete,,366d55d2-b6a2-4a40-aaf0-f93d1284a9b1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1895x854,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-race,No,EIS3,3
5,1682375410830,24/04/2023 22:30:10,1682375410438,-6,24/04/2023 16:30:10,131186,3,questionnaire-pv78,,29071084,BLIND,8657282,,complete,,366d55d2-b6a2-4a40-aaf0-f93d1284a9b1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1895x854,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-race,No,EIS4,4
6,1682375410830,24/04/2023 22:30:10,1682375410438,-6,24/04/2023 16:30:10,131186,3,questionnaire-pv78,,29071084,BLIND,8657282,,complete,,366d55d2-b6a2-4a40-aaf0-f93d1284a9b1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1895x854,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-race,No,END QUESTIONNAIRE,9510
1,1682375409856,24/04/2023 22:30:09,1682375410429,-4,24/04/2023 18:30:10,131186,3,questionnaire-pv78,,29071093,BLIND,8657292,,complete,,fe9e72fc-cc01-442c-961e-3f1daa0f268f,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1440,2560x1289,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InIn,No,BEGIN QUESTIONNAIRE,
2,1682375421906,24/04/2023 22:30:21,1682375422532,-4,24/04/2023 18:30:22,131186,3,questionnaire-pv78,,29071093,BLIND,8657292,,complete,,fe9e72fc-cc01-442c-961e-3f1daa0f268f,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1440,2560x1289,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InIn,No,EIS1,5
3,1682375422045,24/04/2023 22:30:22,1682375422533,-4,24/04/2023 18:30:22,131186,3,questionnaire-pv78,,29071093,BLIND,8657292,,complete,,fe9e72fc-cc01-442c-961e-3f1daa0f268f,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1440,2560x1289,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InIn,No,EIS2,5
4,1682375422045,24/04/2023 22:30:22,1682375422533,-4,24/04/2023 18:30:22,131186,3,questionnaire-pv78,,29071093,BLIND,8657292,,complete,,fe9e72fc-cc01-442c-961e-3f1daa0f268f,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1440,2560x1289,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InIn,No,EIS3,5
5,1682375422045,24/04/2023 22:30:22,1682375422533,-4,24/04/2023 18:30:22,131186,3,questionnaire-pv78,,29071093,BLIND,8657292,,complete,,fe9e72fc-cc01-442c-961e-3f1daa0f268f,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1440,2560x1289,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InIn,No,EIS4,4
6,1682375422045,24/04/2023 22:30:22,1682375422533,-4,24/04/2023 18:30:22,131186,3,questionnaire-pv78,,29071093,BLIND,8657292,,complete,,fe9e72fc-cc01-442c-961e-3f1daa0f268f,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1440,2560x1289,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InIn,No,END QUESTIONNAIRE,12104
1,1682375418904,24/04/2023 22:30:18,1682375415690,-4,24/04/2023 18:30:15,131186,3,questionnaire-pv78,,29071102,BLIND,8657278,,complete,,3406ce98-b471-428c-8125-a07315ee79e9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1680x1050,1680x946,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-gender,No,BEGIN QUESTIONNAIRE,
2,1682375427710,24/04/2023 22:30:27,1682375424546,-4,24/04/2023 18:30:24,131186,3,questionnaire-pv78,,29071102,BLIND,8657278,,complete,,3406ce98-b471-428c-8125-a07315ee79e9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1680x1050,1680x946,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-gender,No,EIS1,2
3,1682375427892,24/04/2023 22:30:27,1682375424547,-4,24/04/2023 18:30:24,131186,3,questionnaire-pv78,,29071102,BLIND,8657278,,complete,,3406ce98-b471-428c-8125-a07315ee79e9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1680x1050,1680x946,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-gender,No,EIS2,1
4,1682375427892,24/04/2023 22:30:27,1682375424547,-4,24/04/2023 18:30:24,131186,3,questionnaire-pv78,,29071102,BLIND,8657278,,complete,,3406ce98-b471-428c-8125-a07315ee79e9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1680x1050,1680x946,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-gender,No,EIS3,2
5,1682375427892,24/04/2023 22:30:27,1682375424547,-4,24/04/2023 18:30:24,131186,3,questionnaire-pv78,,29071102,BLIND,8657278,,complete,,3406ce98-b471-428c-8125-a07315ee79e9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1680x1050,1680x946,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-gender,No,EIS4,1
6,1682375427892,24/04/2023 22:30:27,1682375424547,-4,24/04/2023 18:30:24,131186,3,questionnaire-pv78,,29071102,BLIND,8657278,,complete,,3406ce98-b471-428c-8125-a07315ee79e9,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1680x1050,1680x946,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-gender,No,END QUESTIONNAIRE,8857
1,1682375425629,24/04/2023 22:30:25,1682375426424,-4,24/04/2023 18:30:26,131186,3,questionnaire-pv78,,29071108,BLIND,8657256,,complete,,505a5300-d814-4ff5-afbc-28b72262b6b7,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1360x768,1360x617,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-both,No,BEGIN QUESTIONNAIRE,
2,1682375440447,24/04/2023 22:30:40,1682375441285,-4,24/04/2023 18:30:41,131186,3,questionnaire-pv78,,29071108,BLIND,8657256,,complete,,505a5300-d814-4ff5-afbc-28b72262b6b7,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1360x768,1343x617,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-both,No,EIS1,4
3,1682375440631,24/04/2023 22:30:40,1682375441286,-4,24/04/2023 18:30:41,131186,3,questionnaire-pv78,,29071108,BLIND,8657256,,complete,,505a5300-d814-4ff5-afbc-28b72262b6b7,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1360x768,1343x617,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-both,No,EIS2,1
4,1682375440631,24/04/2023 22:30:40,1682375441286,-4,24/04/2023 18:30:41,131186,3,questionnaire-pv78,,29071108,BLIND,8657256,,complete,,505a5300-d814-4ff5-afbc-28b72262b6b7,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1360x768,1343x617,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-both,No,EIS3,1
5,1682375440631,24/04/2023 22:30:40,1682375441286,-4,24/04/2023 18:30:41,131186,3,questionnaire-pv78,,29071108,BLIND,8657256,,complete,,505a5300-d814-4ff5-afbc-28b72262b6b7,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1360x768,1343x617,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-both,No,EIS4,3
6,1682375440631,24/04/2023 22:30:40,1682375441286,-4,24/04/2023 18:30:41,131186,3,questionnaire-pv78,,29071108,BLIND,8657256,,complete,,505a5300-d814-4ff5-afbc-28b72262b6b7,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1360x768,1343x617,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-both,No,END QUESTIONNAIRE,14862
1,1682375436075,24/04/2023 22:30:36,1682375436075,-4,24/04/2023 18:30:36,131186,3,questionnaire-pv78,,29071116,BLIND,8657355,,complete,,f8b3c8de-8dcc-4d7a-9a4a-7f9b53fdf74b,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 111.0.0.0,1920x1080,1920x977,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-race,No,BEGIN QUESTIONNAIRE,
2,1682375446634,24/04/2023 22:30:46,1682375446489,-4,24/04/2023 18:30:46,131186,3,questionnaire-pv78,,29071116,BLIND,8657355,,complete,,f8b3c8de-8dcc-4d7a-9a4a-7f9b53fdf74b,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 111.0.0.0,1920x1080,1909x977,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-race,No,EIS1,1
3,1682375446770,24/04/2023 22:30:46,1682375446493,-4,24/04/2023 18:30:46,131186,3,questionnaire-pv78,,29071116,BLIND,8657355,,complete,,f8b3c8de-8dcc-4d7a-9a4a-7f9b53fdf74b,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 111.0.0.0,1920x1080,1909x977,,"Ethnic Identity 7-point scale - Sidanius et al., 2008 (Clone)",1,Condition_InOut-race,No,EIS2,1
