Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,allocator-k3xu,Randomise questionnaire elements?,Question Key,Response
1,1682374893407,24/04/2023 22:21:33,1682374892659,-5,24/04/2023 17:21:32,131169,4,questionnaire-g2vi,,29070784,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,Exit Questions / Debriefing,2,Condition_InOut-both,No,BEGIN QUESTIONNAIRE,
2,1682374955014,24/04/2023 22:22:35,1682374954326,-5,24/04/2023 17:22:34,131169,4,questionnaire-g2vi,,29070784,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,Exit Questions / Debriefing,2,Condition_InOut-both,No,ImmsersionSlider,6
3,1682374955195,24/04/2023 22:22:35,1682374954329,-5,24/04/2023 17:22:34,131169,4,questionnaire-g2vi,,29070784,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,Exit Questions / Debriefing,2,Condition_InOut-both,No,ExitQ_Immersion,no
4,1682374955195,24/04/2023 22:22:35,1682374954329,-5,24/04/2023 17:22:34,131169,4,questionnaire-g2vi,,29070784,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,Exit Questions / Debriefing,2,Condition_InOut-both,No,ExitQ_SettingCheck,a fantasy adventure
5,1682374955195,24/04/2023 22:22:35,1682374954330,-5,24/04/2023 17:22:34,131169,4,questionnaire-g2vi,,29070784,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,Exit Questions / Debriefing,2,Condition_InOut-both,No,ExitQ_PlayAgain,becky
6,1682374955195,24/04/2023 22:22:35,1682374954330,-5,24/04/2023 17:22:34,131169,4,questionnaire-g2vi,,29070784,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,Exit Questions / Debriefing,2,Condition_InOut-both,No,ExitQ_PlayFeeling,neutral
7,1682374955195,24/04/2023 22:22:35,1682374954331,-5,24/04/2023 17:22:34,131169,4,questionnaire-g2vi,,29070784,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,Exit Questions / Debriefing,2,Condition_InOut-both,No,ExitQ_PlayDecisions,yes
8,1682374955195,24/04/2023 22:22:35,1682374954331,-5,24/04/2023 17:22:34,131169,4,questionnaire-g2vi,,29070784,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,Exit Questions / Debriefing,2,Condition_InOut-both,No,Debriefing,Yes
9,1682374955195,24/04/2023 22:22:35,1682374954333,-5,24/04/2023 17:22:34,131169,4,questionnaire-g2vi,,29070784,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,Exit Questions / Debriefing,2,Condition_InOut-both,No,Debriefing-quantised,1
10,1682374955195,24/04/2023 22:22:35,1682374954334,-5,24/04/2023 17:22:34,131169,4,questionnaire-g2vi,,29070784,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,Exit Questions / Debriefing,2,Condition_InOut-both,No,Feedback,no
11,1682374955195,24/04/2023 22:22:35,1682374954335,-5,24/04/2023 17:22:34,131169,4,questionnaire-g2vi,,29070784,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,Exit Questions / Debriefing,2,Condition_InOut-both,No,END QUESTIONNAIRE,61676
1,1682374935822,24/04/2023 22:22:15,1682374929380,-4,24/04/2023 18:22:09,131169,4,questionnaire-g2vi,,29070813,BLIND,8657254,,complete,,000a83f0-558a-4469-902b-c6c2417fb76d,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1536x864,1536x746,,Exit Questions / Debriefing,2,Condition_InOut-race,No,BEGIN QUESTIONNAIRE,
