Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,allocator-k3xu,Randomise questionnaire elements?,Question Key,Response
1,1682374865222,24/04/2023 22:21:05,1682374864829,-4,24/04/2023 18:21:04,131186,3,questionnaire-g2vi,,29070773,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1656x783,,Exit Questions / Debriefing,2,Condition_InIn,No,BEGIN QUESTIONNAIRE,
2,1682374937287,24/04/2023 22:22:17,1682374936982,-4,24/04/2023 18:22:16,131186,3,questionnaire-g2vi,,29070773,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1205x570,,Exit Questions / Debriefing,2,Condition_InIn,No,ImmsersionSlider,7
3,1682374937441,24/04/2023 22:22:17,1682374936987,-4,24/04/2023 18:22:16,131186,3,questionnaire-g2vi,,29070773,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1205x570,,Exit Questions / Debriefing,2,Condition_InIn,No,ExitQ_Immersion,no
4,1682374937441,24/04/2023 22:22:17,1682374936988,-4,24/04/2023 18:22:16,131186,3,questionnaire-g2vi,,29070773,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1205x570,,Exit Questions / Debriefing,2,Condition_InIn,No,ExitQ_SettingCheck,two people doing heroic things
5,1682374937441,24/04/2023 22:22:17,1682374936988,-4,24/04/2023 18:22:16,131186,3,questionnaire-g2vi,,29070773,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1205x570,,Exit Questions / Debriefing,2,Condition_InIn,No,ExitQ_PlayAgain,no
6,1682374937441,24/04/2023 22:22:17,1682374936989,-4,24/04/2023 18:22:16,131186,3,questionnaire-g2vi,,29070773,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1205x570,,Exit Questions / Debriefing,2,Condition_InIn,No,ExitQ_PlayFeeling,no feelings at all
7,1682374937441,24/04/2023 22:22:17,1682374936989,-4,24/04/2023 18:22:16,131186,3,questionnaire-g2vi,,29070773,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1205x570,,Exit Questions / Debriefing,2,Condition_InIn,No,ExitQ_PlayDecisions,yes
8,1682374937441,24/04/2023 22:22:17,1682374936990,-4,24/04/2023 18:22:16,131186,3,questionnaire-g2vi,,29070773,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1205x570,,Exit Questions / Debriefing,2,Condition_InIn,No,Debriefing,Yes
9,1682374937441,24/04/2023 22:22:17,1682374936991,-4,24/04/2023 18:22:16,131186,3,questionnaire-g2vi,,29070773,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1205x570,,Exit Questions / Debriefing,2,Condition_InIn,No,Debriefing-quantised,1
10,1682374937441,24/04/2023 22:22:17,1682374936992,-4,24/04/2023 18:22:16,131186,3,questionnaire-g2vi,,29070773,BLIND,8657262,,complete,,5ce2cd91-8bce-4901-8797-97f4a6741dc9,computer,Desktop or Laptop,Windows 10,Opera 97.0.0.0,1366x768,1205x570,,Exit Questions / Debriefing,2,Condition_InIn,No,Feedback,no
