Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,allocator-k3xu,Randomise questionnaire elements?,Question Key,Response
1,1682375962632,24/04/2023 22:39:22,1682375962402,-7,24/04/2023 15:39:22,131169,4,questionnaire-n4qg,,29071566,BLIND,8657271,,complete,,0c8b115d-6493-4a93-951f-da3864408b03,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1366x768,1366x635,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-gender,No,BEGIN QUESTIONNAIRE,
2,1682376050999,24/04/2023 22:40:50,1682376048618,-7,24/04/2023 15:40:48,131169,4,questionnaire-n4qg,,29071566,BLIND,8657271,,complete,,0c8b115d-6493-4a93-951f-da3864408b03,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1366x768,1366x635,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-gender,No,PGRD1,5
3,1682376051974,24/04/2023 22:40:51,1682376048620,-7,24/04/2023 15:40:48,131169,4,questionnaire-n4qg,,29071566,BLIND,8657271,,complete,,0c8b115d-6493-4a93-951f-da3864408b03,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1366x768,1366x635,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-gender,No,PGRD2,3
4,1682376051974,24/04/2023 22:40:51,1682376048620,-7,24/04/2023 15:40:48,131169,4,questionnaire-n4qg,,29071566,BLIND,8657271,,complete,,0c8b115d-6493-4a93-951f-da3864408b03,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1366x768,1366x635,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-gender,No,PGRD3,5
5,1682376051974,24/04/2023 22:40:51,1682376048620,-7,24/04/2023 15:40:48,131169,4,questionnaire-n4qg,,29071566,BLIND,8657271,,complete,,0c8b115d-6493-4a93-951f-da3864408b03,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1366x768,1366x635,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-gender,No,END QUESTIONNAIRE,86218
1,1682376258529,24/04/2023 22:44:18,1682376258750,-4,24/04/2023 18:44:18,131169,4,questionnaire-n4qg,,29071724,BLIND,8657398,,complete,,53206af0-fb44-405f-bbfb-cfe2ae7d06bf,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1280x800,1422x770,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-gender,No,BEGIN QUESTIONNAIRE,
2,1682376273258,24/04/2023 22:44:33,1682376273414,-4,24/04/2023 18:44:33,131169,4,questionnaire-n4qg,,29071724,BLIND,8657398,,complete,,53206af0-fb44-405f-bbfb-cfe2ae7d06bf,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1280x800,1403x770,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-gender,No,PGRD1,5
3,1682376273374,24/04/2023 22:44:33,1682376273417,-4,24/04/2023 18:44:33,131169,4,questionnaire-n4qg,,29071724,BLIND,8657398,,complete,,53206af0-fb44-405f-bbfb-cfe2ae7d06bf,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1280x800,1403x770,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-gender,No,PGRD2,3
4,1682376273374,24/04/2023 22:44:33,1682376273417,-4,24/04/2023 18:44:33,131169,4,questionnaire-n4qg,,29071724,BLIND,8657398,,complete,,53206af0-fb44-405f-bbfb-cfe2ae7d06bf,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1280x800,1403x770,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-gender,No,PGRD3,3
5,1682376273374,24/04/2023 22:44:33,1682376273417,-4,24/04/2023 18:44:33,131169,4,questionnaire-n4qg,,29071724,BLIND,8657398,,complete,,53206af0-fb44-405f-bbfb-cfe2ae7d06bf,computer,Desktop or Laptop,Windows 7,Chrome 109.0.0.0,1280x800,1403x770,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-gender,No,END QUESTIONNAIRE,14667
1,1682376873569,24/04/2023 22:54:33,1682376872495,-7,24/04/2023 15:54:32,131169,4,questionnaire-n4qg,,29071931,BLIND,8657380,,complete,,a9a8a803-607f-4449-b2ef-4ad4e4923e44,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x825,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InIn,No,BEGIN QUESTIONNAIRE,
2,1682376896550,24/04/2023 22:54:56,1682376895057,-7,24/04/2023 15:54:55,131169,4,questionnaire-n4qg,,29071931,BLIND,8657380,,complete,,a9a8a803-607f-4449-b2ef-4ad4e4923e44,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x825,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InIn,No,PGRD1,7
3,1682376897060,24/04/2023 22:54:57,1682376895058,-7,24/04/2023 15:54:55,131169,4,questionnaire-n4qg,,29071931,BLIND,8657380,,complete,,a9a8a803-607f-4449-b2ef-4ad4e4923e44,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x825,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InIn,No,PGRD2,7
4,1682376897060,24/04/2023 22:54:57,1682376895058,-7,24/04/2023 15:54:55,131169,4,questionnaire-n4qg,,29071931,BLIND,8657380,,complete,,a9a8a803-607f-4449-b2ef-4ad4e4923e44,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x825,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InIn,No,PGRD3,7
5,1682376897060,24/04/2023 22:54:57,1682376895058,-7,24/04/2023 15:54:55,131169,4,questionnaire-n4qg,,29071931,BLIND,8657380,,complete,,a9a8a803-607f-4449-b2ef-4ad4e4923e44,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x825,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InIn,No,END QUESTIONNAIRE,22563
1,1682378651538,24/04/2023 23:24:11,1682378650978,-5,24/04/2023 18:24:10,131169,4,questionnaire-n4qg,,29072348,BLIND,8657536,,complete,,378fe6f6-0b55-4d09-ae37-6725914953ef,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1536x864,1381x698,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-gender,No,BEGIN QUESTIONNAIRE,
2,1682378663986,24/04/2023 23:24:23,1682378663480,-5,24/04/2023 18:24:23,131169,4,questionnaire-n4qg,,29072348,BLIND,8657536,,complete,,378fe6f6-0b55-4d09-ae37-6725914953ef,computer,Desktop or Laptop,Windows 10,Firefox 112.0,1536x864,1381x698,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-gender,No,PGRD1,5
