Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,allocator-k3xu,Randomise questionnaire elements?,Question Key,Response
1,1682375291818,24/04/2023 22:28:11,1682375292578,-4,24/04/2023 18:28:12,131186,3,questionnaire-n4qg,,29071022,BLIND,8657269,,complete,,79c59496-73d1-4de0-ae77-82f9fa9a7850,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1080,2560x929,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InIn,No,BEGIN QUESTIONNAIRE,
2,1682375301310,24/04/2023 22:28:21,1682375302121,-4,24/04/2023 18:28:22,131186,3,questionnaire-n4qg,,29071022,BLIND,8657269,,complete,,79c59496-73d1-4de0-ae77-82f9fa9a7850,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1080,2560x929,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InIn,No,PGRD1,1
3,1682375301412,24/04/2023 22:28:21,1682375302122,-4,24/04/2023 18:28:22,131186,3,questionnaire-n4qg,,29071022,BLIND,8657269,,complete,,79c59496-73d1-4de0-ae77-82f9fa9a7850,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1080,2560x929,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InIn,No,PGRD2,1
4,1682375301412,24/04/2023 22:28:21,1682375302122,-4,24/04/2023 18:28:22,131186,3,questionnaire-n4qg,,29071022,BLIND,8657269,,complete,,79c59496-73d1-4de0-ae77-82f9fa9a7850,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1080,2560x929,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InIn,No,PGRD3,1
5,1682375301412,24/04/2023 22:28:21,1682375302122,-4,24/04/2023 18:28:22,131186,3,questionnaire-n4qg,,29071022,BLIND,8657269,,complete,,79c59496-73d1-4de0-ae77-82f9fa9a7850,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1080,2560x929,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InIn,No,END QUESTIONNAIRE,9544
1,1682375354682,24/04/2023 22:29:14,1682375355910,-7,24/04/2023 15:29:15,131186,3,questionnaire-n4qg,,29071053,BLIND,8657343,,complete,,a39b4438-72c9-4acd-b00e-3e33dfbb4189,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1600x900,1280x636,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-race,No,BEGIN QUESTIONNAIRE,
2,1682375366782,24/04/2023 22:29:26,1682375368031,-7,24/04/2023 15:29:28,131186,3,questionnaire-n4qg,,29071053,BLIND,8657343,,complete,,a39b4438-72c9-4acd-b00e-3e33dfbb4189,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1600x900,1266x636,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-race,No,PGRD1,7
3,1682375366985,24/04/2023 22:29:26,1682375368033,-7,24/04/2023 15:29:28,131186,3,questionnaire-n4qg,,29071053,BLIND,8657343,,complete,,a39b4438-72c9-4acd-b00e-3e33dfbb4189,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1600x900,1266x636,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-race,No,PGRD2,7
4,1682375366985,24/04/2023 22:29:26,1682375368034,-7,24/04/2023 15:29:28,131186,3,questionnaire-n4qg,,29071053,BLIND,8657343,,complete,,a39b4438-72c9-4acd-b00e-3e33dfbb4189,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1600x900,1266x636,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-race,No,PGRD3,7
5,1682375366985,24/04/2023 22:29:26,1682375368034,-7,24/04/2023 15:29:28,131186,3,questionnaire-n4qg,,29071053,BLIND,8657343,,complete,,a39b4438-72c9-4acd-b00e-3e33dfbb4189,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1600x900,1266x636,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-race,No,END QUESTIONNAIRE,12124
1,1682375382879,24/04/2023 22:29:42,1682375382694,-6,24/04/2023 16:29:42,131186,3,questionnaire-n4qg,,29071069,BLIND,8657282,,complete,,366d55d2-b6a2-4a40-aaf0-f93d1284a9b1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1920x854,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-race,No,BEGIN QUESTIONNAIRE,
2,1682375398739,24/04/2023 22:29:58,1682375398609,-6,24/04/2023 16:29:58,131186,3,questionnaire-n4qg,,29071069,BLIND,8657282,,complete,,366d55d2-b6a2-4a40-aaf0-f93d1284a9b1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1895x854,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-race,No,PGRD1,2
3,1682375398917,24/04/2023 22:29:58,1682375398611,-6,24/04/2023 16:29:58,131186,3,questionnaire-n4qg,,29071069,BLIND,8657282,,complete,,366d55d2-b6a2-4a40-aaf0-f93d1284a9b1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1895x854,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-race,No,PGRD2,1
4,1682375398917,24/04/2023 22:29:58,1682375398611,-6,24/04/2023 16:29:58,131186,3,questionnaire-n4qg,,29071069,BLIND,8657282,,complete,,366d55d2-b6a2-4a40-aaf0-f93d1284a9b1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1895x854,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-race,No,PGRD3,1
5,1682375398917,24/04/2023 22:29:58,1682375398611,-6,24/04/2023 16:29:58,131186,3,questionnaire-n4qg,,29071069,BLIND,8657282,,complete,,366d55d2-b6a2-4a40-aaf0-f93d1284a9b1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1280x720,1895x854,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InOut-race,No,END QUESTIONNAIRE,15917
1,1682375391908,24/04/2023 22:29:51,1682375392476,-4,24/04/2023 18:29:52,131186,3,questionnaire-n4qg,,29071076,BLIND,8657292,,complete,,fe9e72fc-cc01-442c-961e-3f1daa0f268f,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1440,2560x1289,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InIn,No,BEGIN QUESTIONNAIRE,
2,1682375408388,24/04/2023 22:30:08,1682375409011,-4,24/04/2023 18:30:09,131186,3,questionnaire-n4qg,,29071076,BLIND,8657292,,complete,,fe9e72fc-cc01-442c-961e-3f1daa0f268f,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1440,2560x1289,,Perceived Gender/Racial Discrimination (Clone),1,Condition_InIn,No,PGRD1,6
