Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,allocator-k3xu,Randomise questionnaire elements?,Question Key,Response
1,1682375430312,24/04/2023 22:30:30,1682375430411,-5,24/04/2023 17:30:30,131169,4,questionnaire-cfn1,,29071065,BLIND,8657252,,complete,,4e4171d1-5b4a-42e1-830c-5714dabb16fb,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1241x697,1654x835,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997 (Clone)",1,Condition_InIn,No,BEGIN QUESTIONNAIRE,
2,1682375453073,24/04/2023 22:30:53,1682375452954,-5,24/04/2023 17:30:52,131169,4,questionnaire-cfn1,,29071065,BLIND,8657252,,complete,,4e4171d1-5b4a-42e1-830c-5714dabb16fb,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1241x697,1654x835,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997 (Clone)",1,Condition_InIn,No,MIBI_CS1-RS,1
3,1682375453263,24/04/2023 22:30:53,1682375452962,-5,24/04/2023 17:30:52,131169,4,questionnaire-cfn1,,29071065,BLIND,8657252,,complete,,4e4171d1-5b4a-42e1-830c-5714dabb16fb,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1241x697,1654x835,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997 (Clone)",1,Condition_InIn,No,MIBI_CS2,7
4,1682375453263,24/04/2023 22:30:53,1682375452963,-5,24/04/2023 17:30:52,131169,4,questionnaire-cfn1,,29071065,BLIND,8657252,,complete,,4e4171d1-5b4a-42e1-830c-5714dabb16fb,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1241x697,1654x835,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997 (Clone)",1,Condition_InIn,No,MIBI_CS3,7
5,1682375453263,24/04/2023 22:30:53,1682375452963,-5,24/04/2023 17:30:52,131169,4,questionnaire-cfn1,,29071065,BLIND,8657252,,complete,,4e4171d1-5b4a-42e1-830c-5714dabb16fb,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1241x697,1654x835,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997 (Clone)",1,Condition_InIn,No,MIBI_CS4-RS,1
6,1682375453263,24/04/2023 22:30:53,1682375452963,-5,24/04/2023 17:30:52,131169,4,questionnaire-cfn1,,29071065,BLIND,8657252,,complete,,4e4171d1-5b4a-42e1-830c-5714dabb16fb,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1241x697,1654x835,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997 (Clone)",1,Condition_InIn,No,MIBI_CS5,7
7,1682375453263,24/04/2023 22:30:53,1682375452963,-5,24/04/2023 17:30:52,131169,4,questionnaire-cfn1,,29071065,BLIND,8657252,,complete,,4e4171d1-5b4a-42e1-830c-5714dabb16fb,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1241x697,1654x835,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997 (Clone)",1,Condition_InIn,No,MIBI_CS6,7
8,1682375453263,24/04/2023 22:30:53,1682375452963,-5,24/04/2023 17:30:52,131169,4,questionnaire-cfn1,,29071065,BLIND,8657252,,complete,,4e4171d1-5b4a-42e1-830c-5714dabb16fb,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1241x697,1654x835,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997 (Clone)",1,Condition_InIn,No,MIBI_CS7,7
9,1682375453263,24/04/2023 22:30:53,1682375452964,-5,24/04/2023 17:30:52,131169,4,questionnaire-cfn1,,29071065,BLIND,8657252,,complete,,4e4171d1-5b4a-42e1-830c-5714dabb16fb,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1241x697,1654x835,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997 (Clone)",1,Condition_InIn,No,MIBI_CS8-RS,1
10,1682375453263,24/04/2023 22:30:53,1682375452965,-5,24/04/2023 17:30:52,131169,4,questionnaire-cfn1,,29071065,BLIND,8657252,,complete,,4e4171d1-5b4a-42e1-830c-5714dabb16fb,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1241x697,1654x835,,"Multidimensional Inventory of Black Identity (Centrality Scale) - Sellers et al., 1997 (Clone)",1,Condition_InIn,No,END QUESTIONNAIRE,22554
