Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,allocator-k3xu,Randomise questionnaire elements?,Question Key,Response
1,1682375445623,24/04/2023 22:30:45,1682375444881,-5,24/04/2023 17:30:44,131169,4,questionnaire-rzlz,,29071126,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1366x657,,"Social Dominance Orientation (SDO7) - Ho et al., 2015 (Clone)",1,Condition_InOut-both,No,BEGIN QUESTIONNAIRE,
2,1682375468479,24/04/2023 22:31:08,1682375467771,-5,24/04/2023 17:31:07,131169,4,questionnaire-rzlz,,29071126,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1349x657,,"Social Dominance Orientation (SDO7) - Ho et al., 2015 (Clone)",1,Condition_InOut-both,No,SDO1,1
3,1682375468628,24/04/2023 22:31:08,1682375467774,-5,24/04/2023 17:31:07,131169,4,questionnaire-rzlz,,29071126,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1349x657,,"Social Dominance Orientation (SDO7) - Ho et al., 2015 (Clone)",1,Condition_InOut-both,No,SDO2,1
4,1682375468628,24/04/2023 22:31:08,1682375467775,-5,24/04/2023 17:31:07,131169,4,questionnaire-rzlz,,29071126,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1349x657,,"Social Dominance Orientation (SDO7) - Ho et al., 2015 (Clone)",1,Condition_InOut-both,No,SDO3,7
5,1682375468628,24/04/2023 22:31:08,1682375467775,-5,24/04/2023 17:31:07,131169,4,questionnaire-rzlz,,29071126,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1349x657,,"Social Dominance Orientation (SDO7) - Ho et al., 2015 (Clone)",1,Condition_InOut-both,No,SDO4,7
6,1682375468628,24/04/2023 22:31:08,1682375467775,-5,24/04/2023 17:31:07,131169,4,questionnaire-rzlz,,29071126,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1349x657,,"Social Dominance Orientation (SDO7) - Ho et al., 2015 (Clone)",1,Condition_InOut-both,No,SDO5,1
7,1682375468628,24/04/2023 22:31:08,1682375467776,-5,24/04/2023 17:31:07,131169,4,questionnaire-rzlz,,29071126,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1349x657,,"Social Dominance Orientation (SDO7) - Ho et al., 2015 (Clone)",1,Condition_InOut-both,No,SDO6,1
8,1682375468628,24/04/2023 22:31:08,1682375467777,-5,24/04/2023 17:31:07,131169,4,questionnaire-rzlz,,29071126,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1349x657,,"Social Dominance Orientation (SDO7) - Ho et al., 2015 (Clone)",1,Condition_InOut-both,No,SDO7,7
9,1682375468628,24/04/2023 22:31:08,1682375467777,-5,24/04/2023 17:31:07,131169,4,questionnaire-rzlz,,29071126,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1349x657,,"Social Dominance Orientation (SDO7) - Ho et al., 2015 (Clone)",1,Condition_InOut-both,No,SDO8,7
10,1682375468628,24/04/2023 22:31:08,1682375467778,-5,24/04/2023 17:31:07,131169,4,questionnaire-rzlz,,29071126,BLIND,8657277,,complete,,42bcc406-8406-459f-b6db-90741960cef1,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1366x768,1349x657,,"Social Dominance Orientation (SDO7) - Ho et al., 2015 (Clone)",1,Condition_InOut-both,No,END QUESTIONNAIRE,22897
