Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,allocator-k3xu,Randomise questionnaire elements?,Question Key,Response
1,1682375310083,24/04/2023 22:28:30,1682375310857,-4,24/04/2023 18:28:30,131186,3,questionnaire-rzlz,,29071034,BLIND,8657269,,complete,,79c59496-73d1-4de0-ae77-82f9fa9a7850,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1080,2560x929,,"Social Dominance Orientation (SDO7) - Ho et al., 2015 (Clone)",1,Condition_InIn,No,BEGIN QUESTIONNAIRE,
2,1682375323406,24/04/2023 22:28:43,1682375324195,-4,24/04/2023 18:28:44,131186,3,questionnaire-rzlz,,29071034,BLIND,8657269,,complete,,79c59496-73d1-4de0-ae77-82f9fa9a7850,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1080,2543x929,,"Social Dominance Orientation (SDO7) - Ho et al., 2015 (Clone)",1,Condition_InIn,No,SDO1,1
3,1682375323557,24/04/2023 22:28:43,1682375324198,-4,24/04/2023 18:28:44,131186,3,questionnaire-rzlz,,29071034,BLIND,8657269,,complete,,79c59496-73d1-4de0-ae77-82f9fa9a7850,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1080,2543x929,,"Social Dominance Orientation (SDO7) - Ho et al., 2015 (Clone)",1,Condition_InIn,No,SDO2,1
4,1682375323557,24/04/2023 22:28:43,1682375324198,-4,24/04/2023 18:28:44,131186,3,questionnaire-rzlz,,29071034,BLIND,8657269,,complete,,79c59496-73d1-4de0-ae77-82f9fa9a7850,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1080,2543x929,,"Social Dominance Orientation (SDO7) - Ho et al., 2015 (Clone)",1,Condition_InIn,No,SDO3,7
5,1682375323557,24/04/2023 22:28:43,1682375324198,-4,24/04/2023 18:28:44,131186,3,questionnaire-rzlz,,29071034,BLIND,8657269,,complete,,79c59496-73d1-4de0-ae77-82f9fa9a7850,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1080,2543x929,,"Social Dominance Orientation (SDO7) - Ho et al., 2015 (Clone)",1,Condition_InIn,No,SDO4,7
6,1682375323557,24/04/2023 22:28:43,1682375324198,-4,24/04/2023 18:28:44,131186,3,questionnaire-rzlz,,29071034,BLIND,8657269,,complete,,79c59496-73d1-4de0-ae77-82f9fa9a7850,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1080,2543x929,,"Social Dominance Orientation (SDO7) - Ho et al., 2015 (Clone)",1,Condition_InIn,No,SDO5,1
7,1682375323557,24/04/2023 22:28:43,1682375324198,-4,24/04/2023 18:28:44,131186,3,questionnaire-rzlz,,29071034,BLIND,8657269,,complete,,79c59496-73d1-4de0-ae77-82f9fa9a7850,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1080,2543x929,,"Social Dominance Orientation (SDO7) - Ho et al., 2015 (Clone)",1,Condition_InIn,No,SDO6,1
8,1682375323557,24/04/2023 22:28:43,1682375324198,-4,24/04/2023 18:28:44,131186,3,questionnaire-rzlz,,29071034,BLIND,8657269,,complete,,79c59496-73d1-4de0-ae77-82f9fa9a7850,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1080,2543x929,,"Social Dominance Orientation (SDO7) - Ho et al., 2015 (Clone)",1,Condition_InIn,No,SDO7,7
9,1682375323557,24/04/2023 22:28:43,1682375324199,-4,24/04/2023 18:28:44,131186,3,questionnaire-rzlz,,29071034,BLIND,8657269,,complete,,79c59496-73d1-4de0-ae77-82f9fa9a7850,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1080,2543x929,,"Social Dominance Orientation (SDO7) - Ho et al., 2015 (Clone)",1,Condition_InIn,No,SDO8,7
10,1682375323557,24/04/2023 22:28:43,1682375324209,-4,24/04/2023 18:28:44,131186,3,questionnaire-rzlz,,29071034,BLIND,8657269,,complete,,79c59496-73d1-4de0-ae77-82f9fa9a7850,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,2560x1080,2543x929,,"Social Dominance Orientation (SDO7) - Ho et al., 2015 (Clone)",1,Condition_InIn,No,END QUESTIONNAIRE,13352
1,1682375383894,24/04/2023 22:29:43,1682375385134,-7,24/04/2023 15:29:45,131186,3,questionnaire-rzlz,,29071072,BLIND,8657343,,complete,,a39b4438-72c9-4acd-b00e-3e33dfbb4189,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1600x900,1280x636,,"Social Dominance Orientation (SDO7) - Ho et al., 2015 (Clone)",1,Condition_InOut-race,No,BEGIN QUESTIONNAIRE,
2,1682375402179,24/04/2023 22:30:02,1682375403464,-7,24/04/2023 15:30:03,131186,3,questionnaire-rzlz,,29071072,BLIND,8657343,,complete,,a39b4438-72c9-4acd-b00e-3e33dfbb4189,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1600x900,1266x636,,"Social Dominance Orientation (SDO7) - Ho et al., 2015 (Clone)",1,Condition_InOut-race,No,SDO1,7
3,1682375402415,24/04/2023 22:30:02,1682375403466,-7,24/04/2023 15:30:03,131186,3,questionnaire-rzlz,,29071072,BLIND,8657343,,complete,,a39b4438-72c9-4acd-b00e-3e33dfbb4189,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1600x900,1266x636,,"Social Dominance Orientation (SDO7) - Ho et al., 2015 (Clone)",1,Condition_InOut-race,No,SDO2,7
4,1682375402415,24/04/2023 22:30:02,1682375403467,-7,24/04/2023 15:30:03,131186,3,questionnaire-rzlz,,29071072,BLIND,8657343,,complete,,a39b4438-72c9-4acd-b00e-3e33dfbb4189,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1600x900,1266x636,,"Social Dominance Orientation (SDO7) - Ho et al., 2015 (Clone)",1,Condition_InOut-race,No,SDO3,1
5,1682375402415,24/04/2023 22:30:02,1682375403467,-7,24/04/2023 15:30:03,131186,3,questionnaire-rzlz,,29071072,BLIND,8657343,,complete,,a39b4438-72c9-4acd-b00e-3e33dfbb4189,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1600x900,1266x636,,"Social Dominance Orientation (SDO7) - Ho et al., 2015 (Clone)",1,Condition_InOut-race,No,SDO4,1
6,1682375402415,24/04/2023 22:30:02,1682375403468,-7,24/04/2023 15:30:03,131186,3,questionnaire-rzlz,,29071072,BLIND,8657343,,complete,,a39b4438-72c9-4acd-b00e-3e33dfbb4189,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1600x900,1266x636,,"Social Dominance Orientation (SDO7) - Ho et al., 2015 (Clone)",1,Condition_InOut-race,No,SDO5,7
