Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,allocator-k3xu,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Spreadsheet: ,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome,Store: RewTally,Store: PunTally
1,1682392460136,25/04/2023 03:14:20,1682374460136,-5,24/04/2023 17:14:20,131169,4,task-2g93,,29070429,BLIND,8657252,,complete,,4e4171d1-5b4a-42e1-830c-5714dabb16fb,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1241x697,1241x627,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,BlackMale_InGrp,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1682392468150,25/04/2023 03:14:28,1682374468150,-5,24/04/2023 17:14:28,131169,4,task-2g93,,29070429,BLIND,8657252,,complete,,4e4171d1-5b4a-42e1-830c-5714dabb16fb,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1241x697,1241x627,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,BlackMale_InGrp,1,Instructions,Instructions,cdub9g,1,response,Next,7329.155000023842,7314.029,7329.155000023842,7329.155000023842,7314.029,7329.155000023842,1,0,7329.155000023842,0,0,,Click Response,Continue Button,2,object-8,Instructions,,,,,,,,,,,,,,,,,,,,
3,1682392482262,25/04/2023 03:14:42,1682374482262,-5,24/04/2023 17:14:42,131169,4,task-2g93,,29070429,BLIND,8657252,,complete,,4e4171d1-5b4a-42e1-830c-5714dabb16fb,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1241x697,1241x627,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,BlackMale_InGrp,1,Instructions,Name,nn5ntg,2,response,Ally,3698.7059999999983,5431.429999999997,5445.73400002384,3698.7059999999983,5431.429999999997,5445.73400002384,1,0,3698.7059999999983,1747.0280000238417,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,,Ally,,,,,,,
4,1682392484246,25/04/2023 03:14:44,1682374484246,-5,24/04/2023 17:14:44,131169,4,task-2g93,,29070429,BLIND,8657252,,complete,,4e4171d1-5b4a-42e1-830c-5714dabb16fb,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1241x697,1241x627,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,BlackMale_InGrp,1,Instructions,Delay,7riscs,3,timedOut,,2000.604000095369,1999.3060000000005,2000.604000095369,2000.604000095369,1999.3060000000005,2000.604000095369,1,0,2000.604000095369,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,Ally,,,,,,,
5,1682392499241,25/04/2023 03:14:59,1682374499241,-5,24/04/2023 17:14:59,131169,4,task-2g93,,29070429,BLIND,8657252,,complete,,4e4171d1-5b4a-42e1-830c-5714dabb16fb,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1241x697,1654x835,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,BlackMale_InGrp,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,14995.498000023843,14994.75,14995.498000023843,14995.498000023843,14994.75,14995.498000023843,1,0,14995.498000023843,0,0,,Time Limit,screen,0,screen,LoadingScreen,Deshawn,Jamal,,,,,,,,,,,Ally,,,,,,,
6,1682392501668,25/04/2023 03:15:01,1682374501668,-5,24/04/2023 17:15:01,131169,4,task-2g93,,29070429,BLIND,8657252,,complete,,4e4171d1-5b4a-42e1-830c-5714dabb16fb,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1241x697,1654x835,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,BlackMale_InGrp,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,2428.648000000001,2415.7819999999992,2428.648000000001,2428.648000000001,2415.7819999999992,2428.648000000001,1,0,2428.648000000001,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Deshawn,Jamal,,,,,,,,,,,Ally,,,,,,,
7,1682392501746,25/04/2023 03:15:01,1682374501746,-5,24/04/2023 17:15:01,131169,4,task-2g93,,29070429,BLIND,8657252,,complete,,4e4171d1-5b4a-42e1-830c-5714dabb16fb,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1241x697,1654x835,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,BlackMale_InGrp,1,ScenarioIntro,ScenarioIntro,ghavr7,1,response,Next,16.659999999996217,0,16.659999999996217,16.659999999996217,0,16.659999999996217,1,0,16.659999999996217,0,0,,Click Response,Continue Button,2,object-62,ScenarioIntro,,,<em>Two traveling adventurers decide to enter a local tournament at a colosseum. The Gauntlet of Trials is a renowned and immensely challenging set of enemies and puzzles. The duo will need to rely on their strength and intelligence to make it through unharmed. Each adventurer will be rewarded proportional to performance.,,,,,,,,,,Ally,,,,,,,
8,1682392519650,25/04/2023 03:15:19,1682374519650,-5,24/04/2023 17:15:19,131169,4,task-2g93,,29070429,BLIND,8657252,,complete,,4e4171d1-5b4a-42e1-830c-5714dabb16fb,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1241x697,1654x835,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,BlackMale_InGrp,1,Trial/Encounter,EncounterIntro,wtupv3,1,timedOut,,5999.1600000238395,5998.142,5999.1600000238395,5999.1600000238395,5998.142,5999.1600000238395,1,0,5999.1600000238395,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Deshawn</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Deshawn’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Deshawn’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,Ally,,,,,,,
9,1682392526332,25/04/2023 03:15:26,1682374526332,-5,24/04/2023 17:15:26,131169,4,task-2g93,,29070429,BLIND,8657252,,complete,,4e4171d1-5b4a-42e1-830c-5714dabb16fb,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1241x697,1654x835,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,BlackMale_InGrp,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6683.318000095365,6681.291000000005,6683.318000095365,6683.318000095365,6681.291000000005,6683.318000095365,1,0,6683.318000095365,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Deshawn</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Deshawn’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Deshawn’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,Ally,,,,,,,
10,1682392534823,25/04/2023 03:15:34,1682374534823,-5,24/04/2023 17:15:34,131169,4,task-2g93,,29070429,BLIND,8657252,,complete,,4e4171d1-5b4a-42e1-830c-5714dabb16fb,computer,Desktop or Laptop,Windows 10,Chrome 108.0.0.0,1241x697,1654x835,,ImplicitDecisionAdventureTask_2Opts,1,Condition_InIn,BlackMale_InGrp,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Reward,8480.065000000002,8463.404999999999,8480.065000000002,8480.065000000002,8463.404999999999,8480.065000000002,1,0,8480.065000000002,0,0,decision,Click Response,RewardButton,2,object-70,Trial/Encounter,,,,"<em>A gate opens in front of the duo, and a menacing mechanical golem with a crossbow becomes activated.",<em><b>Deshawn</b> lunges forward attempting to force his blade through the protective plate.,<em><b>Deshawn’s</b> sword pierces the plate and destroys the construct before it is able to shoot. He is able to proceed uninjured.,,<em><b>Deshawn’s</b> sword grazes the exterior plate. He is shot by the crossbow and is dealt damage.,6687,,,,Ally,,,,,Reward,1,
